job_title	post_url	company	location	summary
EXPERIENCED Cable line maint. tech	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEfWlDcbQ_2d6h38S7hXnJpxYF45KU0gaNae_kYgZ7QGNq3KCOMQuNOoumE5VS4Xp5oGfp7Tj7VJlj5SrFpKi3vOYGmL1SfPebvLOkNgsqkMe4Dbr5V3JPYYB5ocyNUibf5-TOaeD4sw-dHlbe-pC-ExqYJJQi7Tzv1QghAA7goVAT8lOHjG2Vum-uID8qZb3YmrfQnoNQBMmCFnOwS2IPCGskWONxZRVGUWf2VNv6jRUzVsmaod0cVsqbIyga5aNqvb7DYLMQ4tvAkSUFgXRZdBCJ7JynHynklWbINERcrdXA1f5yUnHD8N6T2NGyCQwHyCVMg3MRMgBMNRgSAYZrrEkiAiWPxu35C3EHK0NGpXwOoVZggJuTCTJBTF0o7UuFgU1hcagoo_smCwyydprJkpx7_LfuhcC-Wv3azhGL1u7dRqwt2bvjYpwbGVOzOlYb-BvPF15WL-iVnhVjnLYQ0lhodcyHHhu1P8lpDTHNmf55fu8xux3ootMp_mqhE9IzkQjj85TZkA==&vjs=3&p=1&fvj=1	DEEP SOUTH COMMUNICATIONS LLC.	Mena, AR	Seeking a lineman with experience in aerial strand and fiber construction. Must be able to work from bucket, hooks, or ladders. Must be able to work both...
Corrosion Tech	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Af23yx9wswZSZJ9bSC6MlBmLn6SWesyr7jY6jYMWwe0-NkmydHu4vo800j7q7g1qkLmpsrKfI-HH_540lrbXFs2fPTsCFUfQlXnpN3hJFc1ljfgrhY1t_HvnszLERDA625S-QHCNRxzRm3e4sOhPc2OZ9F3_ZHnxfpYfC1Zy1enEDz81feruH7DMvrw2U3IaAUGKVe1GUV_mvMYW1n0mOcbuXrkjltAn6izdc0at0hbfYmzsyvXDyaC2qVYlKrYtZixTJGvuDOm7VnhoU3nJzM_NXoU2EuchHDx2Cl741Oo9adli7CTUJwC5oskg6ysa35uiEOt1b-hbuGLruPgChHvEALc5lw2P1LiJ69zusyTs8GYTYvhYppd7iH90qAlWbp7F5zkZxBK30W-owq3bIIWVkTS-gcXdpJ2SmLzClHIxnM630YgWOuP44rCGp5X9M17klgWhEPakP3n23jMyn-gFBgVf7AEUg=&vjs=3&p=2&fvj=0	Trinity Industries	Jonesboro, AR 72402	TrinityRail Maintenance Services is searching for a Corrosion Tech, in our Jonesboro, AR office. As a member of the Production Inspection team at Trinity, you...
Systems Analyst	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B90Du1TAJAg0_WJT6OJnNlk8axiB_EF6l4p8hzmJkL4-U90EjvcLiERgx3jsbg5NxIU8zpuppq7c2wIKlCi9KC9eKzwlpXAZAAxLdP7uZbzXQZtcfhaJtraPfPkC6dxh3BapI-a9IUhj_-HaltMJLId-GsI1kXdyHhdm4kXpSYXSZFZ-wfOMU7cwsJptRj-zTX06nJRE-M8Qj2roO85L-JRNE0u62Jr4moqAt6ChLJbeYkkd6sh9D5vzzewAIAyCSw-OUb8aVtBc9JQkBZclS6oY-f7zQrLnCrlegbORCEnTMJUmNct4_Eh0M-LaSVqvSq2loeJWV7rOroMB19W8IxtYIZDEXKS0gTGyo_PGm4_pLcGghuEciEM5IwF9S-u5e1YTqttL5TorxXpbu8wE8Uh5nTTMN7MMAVdpy2RAT9qTOG5xhkPyHvHKGEJ_SufnE1tdxR57XjjvFZHdtxQFQouQIAMNuFUq-ioW_AIgs9xw==&vjs=3&p=3&fvj=1	Compsys Inc.	North Little Rock, AR 72113	Implement and maintain a variety of computer, server, and software systems for various clients. Advanced troubleshooting of various hardware and software...
Entry Level Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-OREm-Hd2JiccH-YSnwQ5JVtNT6wGm_QWkOKnWdpkBGWMKJ22N8mzumhBqBplc3ww_7Zt1QlndDKbjwopsUZqLvaRiBdzavKiFRtJzaQm5OqIrHjV9kGkJ0z_pRqH0EFviWizKAQeP77pEVdr14sEkEtax2ZxEcoulc_C0MucMG-ik8PxckoALo1Zi4OOML_ZNELdc5paIt2vUkLjH9uh44ErMXXy_ub1D6I_SG18iVPDR3YOJBqcC44TJoXT5Diz3SAhlMEMfYPi5LTSmlkApr57yJnMweTTkYiaL-iVZjYYAm36xKT6hkHtyDtcSfTZ2kwPsRpZz7Xf51-Elz_aQ-kXCeEIUdeBcWyfT0BA4LD-zHXuK97aBnoZZk4VgtMkbb1u8H_3BsBhyLsRbD0CDuvxSEi4pXFRQg-mdZAT-F8_TFmSi-MOA_1EfuNgHDFe9FNkhohMWESXCGWhqz2nil82LxF3A12lQ==&vjs=3&p=4&fvj=0	Smoothstack Inc.	United States	Junior Software Engineer / Entry-Level Software Developer. Computer Science, Engineering, Statistics, Math or Economics or equivalent training or course work...
HVAC Technician	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BeoZBnRlsmhh33DGcn95sQoPTcZMbKGlZocGkagA04bLzBH1HqRFd-Ecgv65h2Ld4rwocxO4jetWSTZwh0s1gbHpjyrtF5qrtN-winUquIryHP4cJID8oCTw63YzhrtjhwkDwOKHVeLdAzaezPZc2th0UvcsEy4umDnHeE2l98Zw8_x-gtvum09N36s6jCKTLhtb7bX8yCkLFwS8MGYJSB6eIZ-oJAWottuaFKwySSOyrtlXOnENamxSWKzUa_4SzbFJKXmXF08u2sf5CT9PyJr7enx8AzedfYoAJsDTewPLoi-bFouzI7wgIBv6DJc1z3Nve_5eRmKWAP7-p0fA-OGNSgQ4vKWY8R_Zvo40yEUIJ2W5_kOwhwPjo96jo5A40VjysrKsrx90wyH_m8zP7dw1dSRpqdjEzx0PZfIqLWuKA54EOox351_TeAH9igNnndimuZama8AAhhJi_-tU_d70bStdmJvcPOqG9m5JEEGMLSTQ3gY5Wt&vjs=3&p=5&fvj=1	SCPT/Local 155	El Dorado, AR	Multiple companies looking for hvac service techs and installers. For Local 155 in Little Rock*....
Information Technology Technician	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUy8BMbl3eNUQatw7a3bgkRED4rU9rFAEiUluuCeJwVqbsl707nViakYYZFPHrbanSvOip-dfdwGiS8L4m9r_0ms2Cj7weTxi6UShie6uVAJZeTdzGMbgoOY4CqI-kYq5nXiBiiP5mvTGURUGQf-iGpKXtZ-3YBP7dVHulcSsVjdr6fZ85PYrrCcBT5ZLq07TRQqf-IysA-yTYDOYOvr_NFeK-_SDDJfy_SGWoK6-wCFpMyPeNyG4fqK1FpiVunb0h434Bq9DIzGBjwIcu9NOV4ors4Ntv8glY_HNRg53z25c_nDS9ToKi43n1ahDl69TN3f4GyZC-v5ezBMTDJKjPJNspUFrhMC-lHpHEnFKrZhjn5zm9Wg_dX2TpoUmMThnmI_V8Od7vLZJNYeV9OCN4EpYfuCcJTtw5uNJWt3PTZAhf--0NZAPMrK1NqXnmnyY38Oeh5k6OtP8LAOXMEfsfDT-Kr8A6V9YQER9IKisCEwRUtzRLdrAmVZSIkWY0wJhggJRYS-IJSQ==&vjs=3&p=6&fvj=1	Southwest Arkansas Electric Cooperative Corp	Texarkana, AR 71854	Administer computer software training for employees. Assist in maintaining the cooperative’s engineering data information files for NISC, CRC, and GIS....
General Laborer/Lawn Tech - No Experience Needed	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CVVV0IX9dPTosrRX7l6FIpkidn33BCp84KxY0maRrBMa_-bh4kuj11Dx4-umN4r88_xOBIHJEUkt8KkEizbAVJIIvzweYCw4o6WQwHS4B213eGfb_z95pNBgxMcxCYOQ3tIb2beMrphp-mmePch-wMcFG7JRzlRGa_Yjgwl8ijlKHisX7fnPRMJTGmKPFR6A72fGiscqmZP_W-3bn4j19Sdr5kJojazKOSJr2RmNDAl5dN8cKyT7iqj9oBZGV2v2-l2EtCorDdO8WObjPyLqjrdPmBkS5wbzf5CoiSprx4Y011Y3Y0wfsj1cVrgmmmhoov4dNCH1M1o9UJTSmWwrFqFfWWzFcMob5Va-r8Li7XKJEJBbnkPeM28qjSUHUnvHW-PnHHx4n8BIZL0hxCEjAoQA6zNwofEy3VOZi2ib54GXHuWNCxOI1K6AR-h8rvTzDgw8VPGCMIVKd9mFQKGBAyhYZHH5WUpd5XLZ7STD1a6xCj3Q4FyYe4&vjs=3&p=7&fvj=1	TruGreen	Rogers, AR 72756	TruGreen® is America’s #1 lawn care company, serving more than 1.7 million residential and commercial customers across the United States and Canada with lawn,...
Waste Water Tech	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Af23yx9wswZSZJ9bSC6MlBmLn6SWesyr7jY6jYMWwe0-NkmydHu4vo800j7q7g1qn74Grn3_uswx0ibGZTEDz5bmkpg4RPSPhjy4Xs-U2ffolHmbzyuEss0TiSkHqtiALVG9SzCrQ-1pBwB2Mm_-t2J6vKiX9e8PoqHWwARFjuUQQpMcumsyKE6bmNhHBBKmjezWqP6K83L7VpXVa07osSJInR5vYzDK_iLxLysdIwXre1gYhG_hSZlHt0KXbdy_61aK36ZCmu74HIBeT8p1LWjCFyor_J3VIVqXpKrgIjKpnVtnAzi3oi5CM-5FQn5H4pCelbdK6GLoCCRwaEKaryKyKc7lasJ1f8VrIPmNAM4-__6iRJWafxCF8SuccXJZAAZ4VBw-0LRYckwCP48-DCEJWIj18q6KhnDYWouj-YL_9F_k7ZxUhtyA-75fgLRQhQ0vh9JBRGDLlCUITMEj2S0jITeM__BrQ=&vjs=3&p=8&fvj=0	Trinity Industries	Jonesboro, AR 72402	TrinityRail Maintenance Services is searching for a Waste Water Tech in our Jonesboro, AR office. In this role, you will maintain the wastewater lab and...
Information Technology Support Specialist	https://www.indeed.com/rc/clk?jk=07f6d4c6d39c5120&fccid=cc5f3a7d808cf0a9&vjs=3	United States District Court	Fort Smith, AR	Announcement Number: 19-USDC-02 Court: U.S. District Court Western District of Arkansas City, State: Fort Smith, AR Court Website: https://www.arwd.uscourts...
Engineering Academy	https://www.indeed.com/rc/clk?jk=33bab9e0a618c92f&fccid=6d492442c932d27f&vjs=3	Springdale Public Schools	Springdale, AR	Job Descriptions are included in our District Personnel Policies which are posted on our website here. RESPONSIBILITIES: EXPERIENCE: QUALIFICATIONS: Arkansas...
