job_title	post_url	company	location	summary
Full Stack Software Specialist	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AQeYvr9HOk743ktXgMkcpgE98h1IR9fgQ9Hk9SCqZXi9EvIj4vY5EqOAMQ1VvFhpSHnX625xs05PDyXnim8_hr0hcT9DkjQsmUNp7sD3AeTra-TiWdcP8EosDNBhgAgJ1os7-CLYzaQ5OPZFpmJ_foKl_CVArYyXtndIGJCoQgRFg8UWIAkNnj9O2RH3sGFMmPCFeD2tlWjdJZsrO0Ww99Kovw5gmBSwRK3fSCv_mlmJRM2cOMrgWQS8SR9jgBrijXFYxZltKzjJA3rCf0Tr13Vr5-iZVraq8kzbSrb5pJkfnRyV-uZh7iOScNzXisJaxhwvENcJWdFQoB1PQkI0PJdhhD6z4cW91C1fGZMrbl8FVpNmYyHgZzYKLGAAJNHMAppQotlCIJJmWAt0Nf9038hRKFS3jfuBQDJiQ2QqAHPWt9eUiRgy0raByWgoxHzwo29y_X5cUNWghVlocmSzTUEQfZZmfCFJSkvppCS2HL7VACw6nWwJhLD8EQe-6DR4E=&vjs=3&p=1&fvj=1	Second Phase	Boulder, CO 80302	Do you love programming and also communicating with customers and mentoring team members?...
Care Tech 6020	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXplJ57U0IB3TC4Pm2L2MjDGXo1OvXiWXk6H4Nc4w1OHd7747TEBhTIN5bSl2bn_dHgTcPDpua9I4IGim8DnUkKfOHjTgT7wYX9yhr2BFv2NBBQnr0gJHYqvQB2L-uClfUjQbUZ9SnwrJfuFHC8aEAxNDu_feO_3yn8whbSzrBeXUyScEaV97otCKFVkAQyA0BsJdzZrzceVVQAbf48zjJjBWBocAAYdQVflToIIkjN94F8ZweCOYCJju6ZpHK3wrl3OYOR7pHmeyxn29hoQBySYzxSg2nWwE2dWHmQTtVVpT_TV6CO6MiSyLvgJWywQ4Uat2uR4YfWPU-ILEClR_TS1uVTW6jCz2yNZrQi9rzWUFdfyLYgtC6ar2SYAgEeVH55UaeWNNwYDyv1cxmst-kHuo987lozGkxLLzQCbYGJcYlLIjH93IVaOozXJXTaO9kIAUdTIjw5cet8LlDg5lx1-OCYmZhYOjIQ7UOxdcQcNFlLkrLmW4Lq-AsTcUuS2X9jUM2qZB_TAJ8XvEDlul2YLVhDzGVWnKzon8YwBgFwkm9uIBFzJd4NvAYSfFapuA1bfy6AMWmxQ==&vjs=3&p=2&fvj=0	Vail Health	Vail, CO 81658	One year of experience as a care tech preferred. This role is important in relaying information between the patient and...
Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0COeRBiMPkZJKLETD-4E3Ur7vfy-uXwd55aFKDTEFncYETxjiZ2FkNATZUV9TNoKJ_umY91li5P0HEuGLHXivtB7BT6R5iu9UaOF1pqtepBYt34YMGYXMIwbMc95R5cUABKQ3EnWu6JwB5G5WBInYyt8Aesr0boMUYTTkdj4z471ANkWmjfLjHmeWUaeeeG6_PcfL9NOtToaY68xOn9VkFS5DeC2z9L-reJQJE9wm6yMWILN2cbJ7_ERYrbfUJHF87KlsjDyeHk3YuBR7jIDNdlVfkPzqpipnh0TdsBGDAm7xtjV7auUITgQY9wn1XXtbnIWzSlbD4w16ooCea06kFdnjGoLDA6obcGfs5JqCvScrAuUlDenNFaOmvwPfAuxziHER2cZd4v1aN-5276DuLbDGaYnumdfy7WKgaTk5DWGEcM9avl_5LYqjRyPR8yywEcBmRwQskwCUUnTyfKV4KHZyZf3_K6nihWR-_6RzVXzZ1A_2ooQE3u&vjs=3&p=3&fvj=1	Colorado Engineering, Inc.	Colorado Springs, CO	Object oriented design and programming experience. Working knowledge of software communication over TCP/IP....
Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DX4cwHx8X912Ot4mKTJGT31vlt2aYvBeK9CH4p5oMoRqwRL65MueVtC7i19kN1HhgZ_zYoAYzpwtjZ1wT74WS_YYwGrpHF4oFs5Ll1cYm-0cfEDA19bYTiz2-xnnBV7wGD9Ydb7BTgz5cyCS6uKcW-hBIg6UUMLuEgs-tsC1Sa9Scr-_YezsYNJjLVyDO-99Zgb_nWCdPuPrGxoD46qCJtp-bcWzDGpMmlnCHVnePr1Ecdisuj7ZRctsRcX238wKw8esx5L5oNkF1OUNObccfv9ZOPHUl99ImGpjU-DFI2_4ZEb7yjOwGB8eHRYA8hywapPuK0isFLdzxhvnxY7IYitYH_fNt7sL8HlfMSOgbvq4IG-yrhOT9C60pc_xNmXYNx5PjwO7e6hygo1cAaSO64E6BigVG509Eso5p-3vpGiE-pePVskz5BpNnkPr9ImWhxXL4xPSGm9TsZsxTnD3ahErLDWGWYs-EoLTm28y02cF-xBHsQiA_4d0gyKmHIQWk=&vjs=3&p=4&fvj=1	Active Release Techniques (ART)	Colorado Springs, CO	Assist Senior Software Engineer with report changes to software in development by using JavaScript and MongoDB...
Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C9fyQPt2YSJDSX_QKFnFrCcToa51fUmZLbCGxCucBn0BztUFf1LrTEXXuNyfglUKekfXC-EYrSsyF_AjQuKfZQoi8_P6pK91pfOXkAHFmpvTKp-xNwthtIGRhNGffLjkxXzGlqWCsLMHu7AGFR4OZe-XgI-9NuezJ07laimX6rpYBMEwqSi-zSH26JM69sSREaO0d8FW0r9tjNOmT3erD2RjMNpxAX3N6Q3sc1lPoRPsMxZ4y9IDCDVNuq_TsuLP429zYW0btQYn1gB9FSfQMOR4FDzdKwBLnmFWE3jPRXS9MVLMLDwRhIp0iU6Jw3KoE05A2hVIlvLb0CmNF_F60vEKZlsMPtqrs55e2cbhMQlkw1EE5DjxiZxkoMwS2fVogrWcEgf9AWtcArGWW71YXqG2x7I3dCYZ6gdLdqb-YcUgCW3-1oFop3NsOhAH19yjcjcbHEPEqCACF1XExa5JAy2jSwJMn_bhXUN8MJmICgxwJSZp_cMWzV&vjs=3&p=5&fvj=1	AccuMed	Englewood, CO 80113	AccuMed is a healthcare data technology company that establishes, refutes, and defends medical damages on cases...
Kitchen & Bath Design Assistant (2020 Design Software Knowle...	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CPKzF0pnJXLslJJWVru-G82BB-20oA1EowYiZXDWteScriFQaRpdYnsYleQ54wlUDlKrORP8INkvu06roqEKnCGeaDegdltMsaczwv_PP4yLWdk54LviHI3BIOouTjsjO4_7KeOSRMWStuM16MgN4nnOuNhOpEwtYmSE6fGlfxlq81Wo2RqHYx-bDw77YJy9KwlxD3QdUufXkyOWq3miurmBb2ZHzJDRNQdBUQOlVhuDjK4Cz05GnGP7DDZ8lLpZBoX_18B-fvlJ7A9auaA3QTxB7Q-xHelqQtLVtwBfcvrEY7yg77n-3m3PjgrKjM36TyCrEEowAaHyO8UaLN2T-RF4ml8ZRh5jfp3qRpuAxOeBov2o6bB8ccjsweA4QjdEEMr_5gqFgRdCbZ61IzID2EdW6wikcC9lEI5EDRUED8eDBw8JDGDvH8Hxpn-rOzRR4u9X_f3gH_kckYhfi7NUGytM_WsZLxhwgghqbl8melljqAoW1KXs7eL3VyAQAfLtPaSoAxmmh8d--_vuK038WnnXScC91qlz9iRvQVphdtaUqbLKujBBv42fZGGm5n9d4=&vjs=3&p=6&fvj=1	Kitchen & Bath Ideas	Colorado Springs, CO 80915	Proficiency in 2020 design software. Provide design support by utilizing proprietary systems and 2020 design software to...
Lead Software Developer, AP IV	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DYfwigON3Wp4AEF9hkWkuFnfUwwQq1_MQ9bsnnU-Ob2eYKuaEpn1FU73sRcH4KPKu9t5yb9TyN-Wd2SLfMh6HA4AE60RSqZK5FBZ8Ot3zEHXUqWDDy7jmA5btSkAbdeej_GgiD2CW0nYfRtrCevVq-An7pBrJ147FDW0RFnWZin2Mcr0-4qixNBjRA542zRsqV8ALIbVsA7TVZ-Dx73oGax8wVR2ygpvc9lk2NvhUZjftyKRJkzLvlCr4NnGAy1KeHZF8SiJUEwQBNyH1gh1a-EgvUqWwAsaR7hSCBYNaPgmTrx2rK26UyJnCd21Pc8keaNmSag_7JkK3vlyBwqWLnnI4i7EO_K720crsIkak4gXgLxjjugS9i_-dEYCG2T8OHu388FfwXgk9kNOylyv6itLVNS0kROBJqRxtSjMcvb9nHTO7u0iomH8W_HvYo5g-7HzjceWqqMhkIZtj-umvcNBApGwSa6HI4cqDCqOpl_VndVvwvwrUSl4simdOy5P0=&vjs=3&p=7&fvj=1	DSoft Technology, Engineering & Analysis, Inc.	Colorado Springs, CO	Responsible for using agile processes to lead efforts for the development of a software project to solve complex...
Application Support Programmer Analyst, Web Application	https://www.indeed.com/rc/clk?jk=404df1af12f127d3&fccid=a3f737e511d9fc8c&vjs=3	Visa	Highlands Ranch, CO	Bachelor’s degree in Computer Science, Electrical Engineering, Information Systems or other technical discipline...
Front End Software Developer (Entry-Level)	https://www.indeed.com/company/Second-Phase/jobs/Front-End-Software-Developer-e1732b84f9c60665?fccid=e208dff65cc369e4&vjs=3	Second Phase	Boulder, CO 80302	Experience programming in Javascript, HTML, Java, JSP. We are looking for an entry-level front end software developer...
Data & Technology Internship - Denver Human Services	https://www.indeed.com/rc/clk?jk=2ef0634386bad1f1&fccid=20f730f4f3d57604&vjs=3	City and County of Denver	Denver, CO	Dealing with structured data sets and data analysis. Currently enrolled in Computer Science, Information Systems, or a...
