job_title	post_url	company	location	summary
DevOps with a focus on client-side & server-side JavaScript...	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0gQuWwrPvEZ02vpriA0c-FAC2IlCxD-JqwuHPDkLwRekUrT8BiD4zKq-G2bbYur7hz5Vg6pOYAO5bOPQSzxZmLSXB7SOxk03wh-DoEGXM82jEOKRxR5aergi03aEJUclmgBtN7UBwkCs5MsE3UCEFTwqD8klhLHF3qciJ5r32GqXML1bWGdBz1GOD-RqouIbfjIaVvrcozSWbmapmz0YZ49GuvZbekhFmClTL54ab3AriTtkQr0yGSMkm1IC2HOtDl8oTSD6J3kgLvI_SvaM2ZmPEOeETA_IEqkoGoxHy-Vz0N3eTE1S1ouAt4RU5CPjbmrTcSSPsmIZNAPk-PAHv0hDSjs9Jm9lxg9SvDC8ukxXYgTChLDfOmupUitdUdRlf11ajm959tT8EUdLsiweiKAAfsZFPkg8V_AK8oE2d2bCdXYk3PQ9i_v0lWae3o6qKUDIs70EsRIs9UAEL4EzOWb8zZEClWYgMUKQw7eAmPyLk7YUUP9IV9t49ASZ8-Y0Zkh1C3sv7VTBmKQRPjGNK4HOXFOgzMSRu3frQA70KVAc-daLPYf2H&vjs=3&p=1&fvj=1	Saxon Infotech	Rockville, MD	Programmer*/analyst position in software development for research projects.. DevOps with a focus on client-side & server-side JavaScript programming*....
Astronomer/software developer (illuminance)	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DbeJcOvnqts_20nsNJE9J-RhaA7hSUk9WSy-PKtbUOt2TS_H1PAu760YADEY_B0Khre6WykiVrM7gJLImtB25okqdDaiyN-g1FQShSyhaCdBjuNdd35-4XwXmk-wSXidAir1p4BqdVncI2YVFeaAHhoT9mH4ONrt9pq28-mdBpKfIkx5qm7T5TcV1AEBDkPNQiaDLBqkNSWJ5fQeVaRY79X-pLz8iciM7_B6oz7uQ_K-X-XL_CZSgWnyGvTEeFUuWxMixxQfTM4sMWcdWlWKHoHlF2hHwaNK_etuz5_JqfVZMduvhJoisLfHEu8jJIKt0ZR16nyPGxTwLeqOgWinzwuIW-swuyfBwtrCa0L4f-0wjqCNcp1NZOkKjGeJo5U2hEU6YD2UWooaGVcyejcC1OqsE5XS_cGyL0YlrzXE7dD0Hu1rtuzwyXe_ENCs0S49ss4uwNveMjOQlbNAp0nTgAUtuyD5__dIaAeojGfyA6wqqab5TgOXNzCrOrNiEtODeqrq956XpZJDwYbYKIbdyZ&vjs=3&p=2&fvj=1	Computational Physics, Inc.	Washington, DC	Experience with the C programming language. Experience in the software development and maintenance life cycle....
Earn up to $1,250/ month walking dogs	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS49wU-Nrh2jPsAS9jhWCq6bSm4zo48pW_WnPte91cr8W0I91uUcGrS32j34aDorDaS_-s3jUj2a0PUK8eh0xdeBTN9ZziNpWiOTH7Ar0aeSd9uh1HkxR8BRcBmXZUyMwKTbvjCdXoxxnJm6YwnCd51xg96cj-7WuZR92p6rbQqXyBsbG1h3D7RKz_wVFt8CAesOdToDaeuh9oECGtpb1aTQJUhM38j9PWnDYK9q6UGBMyUiNoHWptgTMnNm0kGorCE8BF22SO9ws5c-dw-_fDqQJtZH1MsN8ioaYbKCFu_16E2p4Xh1piDKRVmTZUx5T7Y7i_-gdlCTsfjNyHTqRbvX_ZARTfqPkSbcCrMK4t0PU7bRMH4b8XupfSNMBqXOF5v7V7NhWMV3NvRau_X8rQksTsBxu7IKpRzOV753QtzTfHVmJPMpXmXqj8tCfiOhTkTbecHsxuvAZklkvUz9RpTQhFq1IVAnI=&vjs=3&p=3&fvj=1	Wag!	Washington, DC	Data from average monthly walker earning in 2018. Proudly featured in Forbes Magazine, Tech Crunch, NY Times, The Wall Street Journal, Chelsea Handler and much...
Junior Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dpwng017giZKwiaXIZXKY8p5Lzpn0aY0NqQb71d3C_tKU83lRLyYViJn4AfjTmff6wPy3DZ7AcH-6SD4RQ6TgJ5hstTGRmFeHswV43DLIzJKh5SsLA2Dcr1lQsUoOoZbB_g18kitRJSosjsEATXd8hn9L2JersI-N-2l6U0IgCnC9faPw8enSbZOrv0WiAjjvvhmx3S2GqsHmD_8OY_K8XXsddfPJScJksabt-chuQBFOokqifgl3L1jjGblES6JVpi7SzvWxKqleVet6S-WVHuLPivLD9Tx7ZupDTQl1MqtH8IZecDpVgwlyPzzM00g3dZa5uWuVyDHfoVwvg6sQmWaZ5sfgVNWEru7ZII1-lo1wQ19FCx5L4urMUGG_oYm21nEBbfTrloznrWs6cAqUron0q8mqPjOg_0u-ojAcXodzioKnOHA5xM9N-YcN_3qHDFYdV_VgHsw7D9AbfNcR2pOw1eZyJx2ZJyw-Idpa3riMJc3vXHLrql_c38fx1sNrPpoVHZ5la_5i1GWdRL_qdSD2KZkUynHWxFQevjvJayPG0jrc5z4vMXzrtEQQOoNIJ_1oIwdumcHS7EZBig7LY5Qr7z8SgHyOYPvdFkDL6e0Wy9XcMj4pv&vjs=3&p=4&fvj=1	FDM Group	Washington, DC 20007 (Georgetown area)	Software Developers*work with a range of responsibilities, including:. Bachelor's degree (preferably in Computer Science, IT, Engineering, Mathematics, or...
Computer Programming Counselor	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BzKPhf9GPrydFp40fGldf0LK7cte-bU1VhDhGeKpGKEg3prcvafX8khPzvDwpOY5JG7iga8tfV9c25n-wq-HTuiW5NBFriBKTPEfFcvqbmPeUE-98EFqzGneW-95jLCMlHdvI4h_N4Hai1Kp5Lzfz8sZVUSmLPseTDNyHv8LonPDX1mG-uwXxvb4R3BaMsKBkknMZ0QV5EL5Y9tz5_YNwlosrvMgC26Ta_SPUXbOv5QOvUgnDOLQGllBcBwORDEkeOtrXUF6ToTJoeUe5P_jfNRAouqGqthuWFZnTxTKpTu__2Bb-UfKRkuflKpYM6K7hiWD9sTc_FkdlfF3Ag25AgkCSsTIu4jQz4ssAEX1Z-b7lLmxl32NfM-BAPjIN_Aw4w2s2ireSqrGsAV0ombNggF-C_jb6YlWWZX5Fe-jrUgiUb9suZgiToh1mqqSOHXG-gJmWqhj7LR9tN4g9Mic2mdgg4rvDBJGXThzY_eXXnxqUrmzAo2jXJuCkdzgSh0vU=&vjs=3&p=5&fvj=1	TIC Summer Camp	Washington, DC	Work with four campers at a time on two computers, teaching programming through projects the campers define themselves....
Enterprise Data Architect	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CeKxdithzpfhX3ER5Xzf0FzwlHLWivLb8lkF-J9WGAhW-TRAu0nCFrO3ZylqeNWrQ1K1ffxhOFiFODybNRIMB8IS9GRv1P-ytCEbscQYzXTnTpjpQe_zmjV3gA11Suu3aer-VWgbvmU3o_YC954v9lfHExb5H60WIF3WeTc6gl1mBlEjDl07KZKpJC4Ojp_zSoU3kS8gljEfMsaZH2nCjHYEjvKoQf_WAelQrLFibQlhSJtNu94oJuASkpypU0jM0XcHlGjy9y8U7GPfbryRfTLZbYQhnQ5zoGw45hY4hqNPmkUNiLEO37-cnbZzZATQwUNg0UXuzaVRs-0BfgZJHTaIKxF2st4J6N6a1pgSOLaAr87Mlaw34S7aqFfenZ2eauwVtz6msKvD9FSZZnTeWoSn_TdYr5XyYl3J3dd4bPNx7eKpl971OXIIuGyMtbpkpxIh2MneIfKD3RzkGclfnMThz3A5fu4iy_76fEuo73A1dahddchI092sQ8D4YxtXQYdJxI250NEVwxorftlUIQCcswqaTC94o7BjCht5YMWO0Hu8F-4RD7qKD4xinvSLDFirGCgeFVbBuIN5mC4A2FNKUlL-FaZGvVtEL_NWkNRxDQ_wx9rdbKddyMpmWcz4Tjw2N-bKpyzrlIiNHh_ZASXuEDoaAqw6MtDHnzzChb5PnLxU4dV-eV&vjs=3&p=6&fvj=0	Common Securitization Solutions	Bethesda, MD	Proven track record of establishing Artificial Intelligence, Machine Learning, Advanced Analytics, Data Governance, Data Storage and Archival Strategies and...
Software Configuration Manager	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BpJ6rK8JrXdHZkBab3Cobg3BNAb-0EBUCoLlbXpfPELpsSctvTTs4LimdlKB83tuqAtOFQ9OQ5h3DkV8Raob86_RVmS4vn6mN2mYUr-FgY_MfrOIgtwjV3SP8W510J61ELS2FSHl27-eKcb8K-F56t_3QOFDSDTub1PQEgRr0NaStg0haCQtCXSdrA9jltYmr8JOljRexrnPlrCz3N8z3YrON75G7NBhrTVIgiMIw19xtb_ugXB4fawIO6RmK568N902nK-yvNVRxidDFIR71f73zV9uzIKkBou0b-QmPEM5-lOtenuLFwYIM689e_bajpxoBOdYD-qm-nZ_Xo2NFHm6LrUW9ps-ZejAiqMddcWiZWFAjG_XBIf_TzV7qvLIHZDpZb3Q67asan9kMn8XeaJVvBlhhZr0nSxsvsL9s1EO-yo3bZ3xm03Phk7RaBoaB-ozfleuI085UronjJmA6C-W1Y82n_3cc2c7xtdVJcHeOAJG3fqoH4G6G5tPm0j5o=&vjs=3&p=7&fvj=1	Advanced Technology & Research Corporation	Indian Head, MD 20640	Perform software configuration or build management of a complex, multi-tiered, multi-baseline software environment....
Information Technology Specialist (Application Software)	https://www.indeed.com/rc/clk?jk=2cc4b1a5266ac740&fccid=cc5f3a7d808cf0a9&vjs=3	United States District Court	Washington, DC	Announcement Number: 19-DPS-10454745 Court: Administrative Office of the U.S. Courts City, State: Washington, DC Permanent Position: Permanent Minimum Salary: ...
Entry Level Software Developer	https://www.indeed.com/company/Dhatronictech/jobs/Entry-Level-Software-Developer-a36dc29291990773?fccid=2ab83a6f82c0e82b&vjs=3	Dhatronictech	Washington, DC	Bachelors or Master’s Degree in Computer Science, Computer Engineering, Computer Information Systems, Information Technology or related technical program....
Junior Computer Programmer	https://www.indeed.com/rc/clk?jk=64910ad290c3d5b7&fccid=684336227770390e&vjs=3	Delmock Technologies Inc.	Washington, DC 20004 (Downtown area)	Must have three (3) years of computer programming experience. Position Junior Computer Programmer. (DTI) has a reputation for delivering high-quality...
