job_title	post_url	company	location	summary
Junior Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3K06j3zEHFfRfFjMEB1ErzNBeFPGv6FcLo5IuTCkP9fSUNv8karl1gFi5AMbkVOMG0l2fB3tdsARu2dx0s1oft8_cCMYYx7MdKwcM6yt_oM0BiSEsH7w8-oF0LksvCjGzEO0F2Ai2oh2GlB-ecUmMTfFfnyI-6Pixlymg0RpK1P5NkzMC398EmYVQjnDq3xhVtbft48lzS7fu9mv577kZRPLkxHLyRoO2L4Ixqpuz-otrmAgQ45f7RzQuNmQI8U1xMngOj4AJS8hIEdz0S8y2nnNzeSinVoWt_xqExx3ptlzbs6RmGpnkFnC3YtITX9XyUj3PL1mC23Sno7yx4EsXKY3T1KM51jFawuOFYmrqMkjMgMnu0nkKOtNgZ7O4-1t_FaADNw-rMXWShm_3HfygCKjz_1yQHaRN8t4omDh_OVRYuC6P6uU3JcIVtLeBP7_HGi8IsmsXO_0RLRbFejRHxUTw0rSuqIoYqhvlJGl4zgVoY-xJuv8IXafLQW6_D_w=&vjs=3&p=1&fvj=1	CSols, Inc	Newark, DE 19713	Programming skills, including PL/SQL, VB, VBA,.Net, and JAVA a plus. Bachelor’s degree in Computer Science with a colligate background in laboratory sciences....
BigData Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bk35jLoXJ69SENx-_Ouezxlltg0ISYI9KzPbnSSNRwG9OGS9Jj-B-iMzAI8LTpo0H60nAg7UCUdLo4MwCCv3sVdYEuo01NYTRi6GdNRopFnXB3qiM7bE_Ps60EcekM8Hro35bhZOugQJ-NTt26dpF32fmaAb_P81mQH4bl85U_juTrV6rjk_nMfBHAf17HSVGrp7kdM6uBhYLxmCiBYgntdFpS1J9eoEOUvJN_r4DeSLDImoHXrswqwlrKvi95GaFh8YEOSU23it1jZkuOwC4xgIV1eIpxMeX3kBqvIJkC3kthcizdPAhcGCyX4957QNgJpurOfV0CuxWoSVKkflBDa0COOjOF14Ig9Er92Kqj-mtk1wQqlaQMGq6Y0LxkSunNMeF70uhqFk1gGKDV172vX1v9Ki8IdU0VqQn8vDJcw7Vc0yyUk5ehLKvdMNmETWXZAMauocdXu5QSQdajgClvDEtxHoifj5rDL2eRJHeMPiM92hmnHncG&vjs=3&p=2&fvj=1	Even Mars Technologies Inc	Wilmington, DE	Note for OPT-EAD Students ......PLEASE DO NOT APPLY. Client doesn't hire students ------------------------ One of our premier Financial Services client is...
Information Systems Data Architect	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CYGYG3dV6iWfuFuLTyXL8TSMirIZnzhUYlRV5uKIaxsrAyOVcie9fYeHdTueqaTSWdljWbc2GAXK3rHprkxC0K7l8Q9Hfakt767mWAkns7XsekUTVYQz1r0DZt-NXy2sTyC22mHflCSJdnz34bs5WN2BGZ7ShiybeC4mZrXPiBTusVZaPAV3dAh1OtsMQ6PFD_KEo0NNychOCo_p-IeLR0YHbs47LE-nvqHD08Sy7JimHjHUSBJZ2fDIdDl86A9_FdGX3pL_8EgZgcHHJUdCKDl4yar7dQGbKedO-FFte7CRg4VCO-B81BTOqbhT2154KyegqpV2mIO7m1Z4UCSic4zYAK47fFjuNh-d61BRLoQy548MEFlqfIUcYUFauf3AC4KDrx9J1dMU4q2t2ubIDif7VFznMnDXJt9b9S0B8TmtjIz2paX0D5jtyF1YBmC7Y4FURfuGKWgdWem6qhLI9KF707mBwmc0XXp88c9JBq4YDSz3qc-6Kx&vjs=3&p=3&fvj=0	Nemours	Wilmington, DE 19803	The Nemours Children’s Health System seeks an Information Systems Data Architect to join our Biomedical Research Informatics Center on an exciting new project...
Senior Health Planner, Re#47047	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSBV7vN5HEZL0UkeWitOn73MHzgIJ5HdLhXrs1R_ZujeQ63BbTiJEKxydsPxeaJopZl9RGexrSUiqhq8CJa1eIObhMmw1f3G4-WCyeyoEpy0F_0HcfTiVGFXRDORaLbPC0JM9rSnc96S3kHoH5OXnfYidb2vgRomdgXHKEunMnfbf9ZHuwMrXb1cyUBFUcp-ThSdvRp7yIPaVp83E-kSaVzgVyRPQCkRtaMTLkgNog2LKcCP06qH99yhmc5v3AyOLbOIMRuFpBbCYaGZBYdh5zYuDp5KE76kbb0-BnDlvj2oONH-mhBb1sSycClhflQxt2l8HqTfvJjT_KdcntFLMTVMV-BMCoYVwCMtyRDNmKNejLupbpjdiMIrlfzPecQ_54uMgSUeu6MJCeKH4PINNQMf_03AeBX9G3FQiEYPLwYz6IB-lkNjUjSO1rk5XG08eJTs5WN-tSd3O1stn1PvICkxd6NNk1eDq7_cVDivGiSKFgsjGVQGrhaweHm2kQGhKo8oumE98-uvQtKnN6MrvY2TqN2BDktJlQFdDxa6oKVK33KE2rtCOrgKXGtSlMVHR-qUwXExEHviZ1ZjG9wtEQrzoHjvQpBq1uYy-84QBC3MBZNFvvPTT2&vjs=3&p=4&fvj=1	Christiana Care Health System	Newark, DE 19713	Creates, applies and maintains information resources. Christiana Care Health System is an equal opportunity employer, firmly committed to prohibiting...
Software Development Manager, R&D	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpH9ia0WJubq-4cxLJQnD1vtThpI8nUv3uDYKzPx808iojk2d5V_pSx2plR4mladkU2ICGuzpcgeQPozh3YZDUuheQlrlhZCQzvqP_4bRfqBxX6SaPyPjuW5oHGD_JDo6IPiRbmj5yPtORej92CVwXkPCdb-8UkV9LU94-PYcGD-_aVPA5r0mw4oNrP87YKPPtpiCptOTNhWPSoSc96QKmwFwWM2T-WFGZmgkHwKPTllYqMWwGeiUiuJjNDt84r6znmvW7uMdojRuaWlWCo8Hqb8-93mLIX5mME7zeR_ze2u6ffl5de_97vuIMTvytCeIIols7ETx7-qDo5wgA-ikQfydM90Yzyu9IXluy_gKZzhHsb2MsLIXmltqhq2PcLbYDjsvjml-J-uI1tdQlL6zDZvY4v0S5AxrzpSRVRDXW20NfaBu_xWQN_JSgGmKt7srF9cws4UJgwnDqYdUtBV7w-3LSVSGpz0WsL_vh5UA3lE3gseqJmjCVy3prGzwlvCHCDi50Fm2fQFAKsm3NTHth2gmFxsIA93ytJ9x4xBVfAbyieR4POAI6&vjs=3&p=5&fvj=0	Agilent Technologies, Inc.	Wilmington, DE 19808	Working closely with internal or external outsourced development partners around the globe to integrate OpenLab Software with associated subsystems - Platform,...
Data Scientist	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AQpr74tnZ3VKKIFpjt0reao3UFuENnS-GN23aRJAEA-XbtdrR8RnVdOEMzLTW6Z2ninNLlWWbBrc4RWVvOb8xXiTk6a5Gv9Q0AERbXCdmNGuDQzkL3-ICyLCvWCUIDK9LNJbJl7mFNKnabEvXhq04qYfqnt985AB_O-Rc_K5AW5p5zyt8sf-ywTxi2VPIhWsFde8peKvVw0Zxv238EwoAe30rF1xOYOIdy6FULC27PKRHDv7OsmR9ujiBnzfAVcwAtkSs4zJvBCg3NeV-LCY5T4dBX64N8OgrwFsInm9D-A0kJDePBv0SyIKJ-y3KRbgRGwuXahQWIYUWKGV9SJf7oCNFGlWEctEgJafpPWW_ctRGT9eepEUb0gna8RheCDrqWFZKBWniIyWlW42t7Tkq_I__tvygHrj3e74TLHXUJsNrlwDc4sjtuyvRS3jUoAa-FImuFaJ1dbENa4VKBMZBeKZi_yEMoDeUKy0LR9V-k2N7juEftoppN&vjs=3&p=6&fvj=1	4C Health Solutions	Wilmington, DE	Bachelors or Master’s degree in Data Science, Business, Engineering, Computer Science, or equivalent. Deep knowledge of advanced analytics tools and languages...
IT Technician	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ArMUTnIKC8Q3EVwZpwgheKTIE9-Ly7lPxLqRC6tqFd6DbLFfXcPJgJn6hqT4yFxWfydE65qFHYKmgavfdxA_O1IXUNBklNG_kHM-lqWdiTJGcI9IWQhan_S8yIoZAi_khKzy1JXptPyLvlZRCDMJT__L3_GSeRG4N-REcXFgoVYVcQE95mEMlMVh3k3QcS5OZeJjCtASIoA5iKe5mDu80a2GT4FalKz8YUEvyLHfFewESJQ2SR65KlO0QfQXoPmg_UvO-ye6ZptANyKBkfwW6K245E1PfwlyU-cGQAN_A2cixd89OQ9k0q8-0X4YaS4T4Y-3QE-KV5Nd359ZjpNluUp5Ztl3jfdKH77I-YCzd8LtJPnU3I10fb0mhcQie10p5e4mJfJ-4PXPwvijNzLqHi5o38U_EteIDbneARjLTs6hFSy2jcuSSJ7oPuYGJTtL5wCUu6uXpRsivPpfmhFaGlHqC8VDHTfx04W2G4ZCf5gQ==&vjs=3&p=7&fvj=1	Fine Line Websites & IT Consulting	Lewes, DE 19958	Data management and backups. Familiarity with installation and maintenance procedures of software packages. Ability to work with hardware / software vendors on...
Software Tester - Summer Intern	https://www.indeed.com/rc/clk?jk=c1f261792da5b5ed&fccid=8ecf0a26bbadddb8&vjs=3	Waters Corporation	New Castle, DE	An eye for software quality. TA Instruments is looking to hire a Summer Intern in our Product Management Team that will be exposed to many facets within product...
Machine Learning Operationalization Resources ( MLOPS Tech S...	https://www.indeed.com/company/Horizon-Consulting-Inc/jobs/Machine-Learning-Operationalization-Resource-255ebc5eb5e5f6f2?fccid=e448d104fa99f351&vjs=3	Horizon Consulting Inc	Wilmington, DE	Provide required data for analysis and perform quick data sanity checks on the raw data. Manage data pipelines to prep data in Dev region....
Entry Level Software Engineer	https://www.indeed.com/company/HCL-Americas/jobs/Entry-Level-Software-Engineer-c10c3981bfcde94d?fccid=33fac48d55359688&vjs=3	HCL America	Newark, DE	Basic understanding on LabVIEW programming. HCL America is looking for talented Entry Level Software Engineer to join our team in Newark DE, ....
