job_title	post_url	company	location	summary
Computer System Validation (CSV) & Documentation Specialist	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUjFvvGbcF3dnzSR9o3TjRKqzi_tTZUPPV-kYA_Cv1M7zt4_MI1kCE7Gtb2jPIUSiuLEV2ecqVQnmbPBffH4jU8vb6dwTWZnqzRqWtD9fHbjiPnnyDRDmZBh2a4RHHve-4nLctFVQ6W57DlPWRpkAoH_tujLapeBCArr6qveLQUBA_Rp3hKal1WWJhOLKzj6Er4HyQW17-2bLOePpWlOPG9NRrMwLoWVm4lrqoUs8xjIrq_wi_rUWwGCuOFbtp_4-06IQrYTzRobSUP7oqr4VgFCkdPYgrpwoLmNJM1NPwLI0OCWETyo_AFq2rBcN8MhZ0Mq03sS-NPP6E0EegSxfKvSgqGVCgSyfHke-i4oU_CCK0RxUrfNjLakEuADyoWJylAFPG-D3G5kI21Cf8vobgNlY1Nb5o2KT8EqTFKl7YVAMOVf7yrcZ41a1Tp9We9OU3rxe-QVWGP8hkBKPjTNLlgK_bcI1ZGNX0-uG60We2P642VLXKzVjrrvEBVliHasP1k3roqVSiX5nk86HEyLgbkx03Xgo0rb67Bxw9Y1HkIQ==&vjs=3&p=1&fvj=1	Synerlution, Inc	McPherson, KS	Knowledge in computer programs, Microsoft Office (word, excel). Designs, modifies, develops, writes, reviews and implements all Computer System Validation (CSV)...
Kansas Radiology Tech	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BuQqYWNwpOUGt3gNa_886s2KVWHhZNxRJJglerQ3Zw4WIHt3bE2EOfmKqzsZ04Cyimd8o0i-nCf17SMsH-aWO5jDCT2kcpDezPwlgsuX2Azyx9Va8tU2S4Hc7k8_v-9Wn5GTnZvVIz9er-dUA9XZPoXopBCNla8YMnD0fWadtc3E7VWZImPgFYvQCcno372SKJfDUG5foEU7Ly88WYwN_xg9jLswVJKEtJLlY18EpslwMBcEnqopVnJYUU_kdZSUUTiuGxCxi-EHzT88E16M5i0P3rcXbJnCf-a35qjn78-72k3r3phTn74vx6WQZHQxGSbZaidDz6oNB9T6rfD1MR4EPhSvCyWFTAGsKsbnfypTIo-DM-ki1i4o2ZAutDqriGGdccD02KXEBHutXISgjaNS14EYtuQIJALESmlrhgJ_CFgGLXDYxhvtw1ts-ErR_x-Gre2oPf2P7EVLRKOcfnZZIv8GBz3O0DJfPiCrdidw26Ueb1ZB3wDzhmIe305n0=&vjs=3&p=2&fvj=1	Greenwood County Hospital	Eureka, KS 67045	Greenwood County Hospital has a PRN on-call opportunity for a weekend radiologic technologist working 2 weekends per month. Duties are general radiology, both...
Software Engineer - Entry Level	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BABmEwKv-TvjK2ADTPk4BpKxIQ--D0dYPxVrjj6CcCRKteSKBjRNMKEEyoaqBxRIdHTEEhbMgRRpepAKBv9WSAMs0UM0kbbM2oOeALktszoRVtMutvhJfF6afCtXXlp_RxAHfg1QbeUOK1QV_Z36V0CwG7WQZ9KdKK203qeDR98Cq494l_OuUp3Wf7ES8vR69CKf_vWSil2aMmCGEkEwQ8nG3Hcjb7Dt7cbHVl4CKLtb-5_0iIN8XPp6Rij_P85RlPpJkBjLyFT5QcZzPTE3IPsUd4zBABJtLG7PWasZ9C7yWilXSFZqM52ozP7sYXUilx2J-Ge56cYWQIupXFIrqCcLf4W3erNJ25iO9YKFlzQwZT6rtoW1ngnyjdPgaX5y6lfEaQHu6IDC-IMDC7XTjIFsQzoEW2-MwxrvLC9ejcozU1LNmlNN9h5S-eBZRHnLn8d6vpnRnFTsQt6mc3nEj5iyLqyM_0NH2sOwHtyxmwjbpcMj-YXV43ZFZHZpKDYfI=&vjs=3&p=3&fvj=0	TQS Integration Ltd	Wichita, KS	Has some experience with programming and GxP environments. However, it should provide a clear indication of what is involved in the role of Software Engineer -...
Attorney	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C-NrRQycujvJt538AM4-5HtF9Jtwc_Ay7rf2bayCjit2UQDM5laglNe3nl8Png49V0nHi0QN8pxqmo2-5s_-6aD0gvDWgx4WCxDtIPOt0e9iLZolZ25CMHKNIXt1EwC0wmwhyl6Z85x6M5DcotrZwtwMtydPpW1gUUYviMSmIR4k1zgzxIWQNp8zlnttugBGUWQ4xwmDIV56EiGS9vSRIjSOIATdqy6GYsTc04cn24p4uMssygztWOLawRo8xlaAiH1x8gc9XIIz75fJfPGKCC81E24FPDEjXxX249_ji-IoJxqYeVpGhyDHAsQxwNPuytUeyK2JWEGLXFbMjm6KEe3wsECbOVgKdxIL8Ki9T2uJl55QEPy90-DCs7EftuQyLotbEar_ZVufOsrGsvD1WwE4jEY3sv8IHXDcGNh6l3Hu7dzar3O0UkUhd73GCJzFGxu6kDhkgjkxZjUrKjpsflFZElXG2WnnOxGRJKovupTg==&vjs=3&p=4&fvj=1	Koprince Law LLC	Lawrence, KS 66044	Job overview: Koprince Law LLC is seeking to hire a full-time Associate Attorney (associate) with at least 1 year of experience as an attorney in a law firm....
Computer Technician	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVGzTr0GC4pSJeKK3mFt6Rk9A-9u4XnLgMcYGrJr2yhLS_Ut0lvthnrTuN8q_ii8XLHXJREySjSbTKJl1SYTos1n7WPfKsTCppkKfbh8OZZLk_FRKhQm82of6fsI3s8WY26BUaQdYvHwwb60hX8dNPdH3weoWF6YYDZpHZckv5UyJHPOgkeZTy_0IS4G-grEOGiLZwr3sOMKo3Bt8lED8_g9MA0WRfPGQe6EgObRiFuF4AXwUU4DRrMREnKyHYRIZZUIbdC7C1A1pi_vcngHr1V7dlibqqjcW86-2Wrw5_8snm9xBgYfyCu3CNpeVvyhUTQGvM9GPlhINiTk7kR7O0Ni5ajt-x5U1RKT1Dw7AkebClgcCCSLCWrNvKoq5BTIZe9QVC7DuhteFctiMQyH_YlznguZe-HPscn0IauvLDM4GbWwgSVs2MIMCN01T1pifoT64h-iDHWAqzgm088cohfrzMuCcmsVAW3eTdcdE_41mgRbtpiNsETuBFHXAaUBw=&vjs=3&p=5&fvj=1	Computer Troubleshooters	Wichita, KS 67202	Seeking full time and/or part time Computer Technician to join our team. Candidates must have a technical background and be fluent in all platforms of Microsoft...
Railcar Laborer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Avxfka5Xq6WYGpu_5B3W2rsfp3GpUEpdNYD1TtHBqumA6wZbLa_rjEXUXHoOcu0DL7aQx2ZroYISrptGTwvLl4dBrEDpaRj_fXn6mojruP2W3o8Lo-wdla-CCzeAhs2WLYGivgrpzF91UQB4oWQ6QpvHRTwKCQR4_oh6qzmKy5xp5U1dU-DgOCcvJMht-tZn19pokIFortXd804Rvhq8TKIT9pI_aVnp_WhVB78P_pMk6Wa61FTqQpWAFHEYkI20oY6yNMD7MT6MslRvYsBEOJnWk9IupNt2KUVATBrt8KoQjDv8nvz9GUcsJTbnMFRqqkxaZCCa7b_rSwd5mrQAd-Epod6p35bTEtmolvYzrZ27R3oMdoqPv80hBTM0xq8tHAVkT2lk0b9bJ_toRqIxJTevphOyih7XQtNVACypnnfytg9YoQy7_nC91LhWwS7bqymMiguFAOFA==&vjs=3&p=6&fvj=0	TM Track Machines	Parsons, KS 67357	TM Track Machines is NOW HIRING hard-working, reliable individuals who are interested in starting a career in the railroad industry. We are looking for...
ONE-Net, Field Technician II, Guam	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AUQZ8Asas8Wm1wDdnz5O06L7oB7puhrAg0PYDUnAGveaUzYAQ1DOalsmZE4FqAt2wOTnPD1YY-gsSp_F8BxkvnSyl8JPtgpurC3_F4f70T92huJzTW9j5PqQsRR8g0r9G2H21FOym4k6-Xq_Ce6w0mM4ipjsDIDf0BVt5YtuvowzKK8PhSg_4Vnx45oLeWiO54Q_PSR6PxpVZaOj3sMRpV_Uu3VLlZmsq3E2VYKCjYuJ1-_7OyS1f5pjTBzAHz2RozL8HiXwXXMcpI2X6iL241YmsY8L_jPZpGQkdqk2jWphRUyIjpTkEr9TMIXm9xsUvDftL70w4Hqn8WNda107FUrrPY38Xo0wHZuqZggapzQTwWiaJ1ldDQMz0O7FNstJjVL3eKxmRZ9YghT0sKWkRjpidf7oiYkuzqYQkawts52BogzfipSKRxztP8Vhsczq10o4wLz1JssKXoqVVG8sGn&vjs=3&p=7&fvj=0	GDIT	Independence, KS 67301	Experience working with network\systems software and hardware, data, voice or video. Configures and maintains computers, communications devices, and peripheral...
Information Technology - Junior Software Developer	https://www.indeed.com/rc/clk?jk=f1e7d80e4c3c73e5&fccid=d369dbb6a950f8b8&vjs=3	Ash Brokerage	Overland Park, KS	A Bachelor’s degree in Computer Science, Information System, or a related field, or equivalent experience; Build third-party integrations with external software...
Entry Level Software Developer	https://www.indeed.com/rc/clk?jk=9a5dbfdcb5ce0742&fccid=24f8cd57633df8fb&vjs=3	CentralSquare Technologies	Overland Park, KS 66212	Knowledge of web programming technologies; Developer will also develop software independently. Proficient in object-oriented programming (C# or Java)....
Software Engineer (Java/Data Science)	https://www.indeed.com/rc/clk?jk=519a48385319c0a2&fccid=70a994275a3b9062&vjs=3	Garmin	Olathe, KS 66061	Expert computer skills (Mac and PC). As well as, customer facing web API’s built on data analytics. Experience with distributed systems and high-scale data...
Software Developer - Entry Level	https://www.indeed.com/rc/clk?jk=7fb4c64ce9ebd437&fccid=ce5b856a265a02e7&vjs=3	Medova Healthcare Financial Group, LLC	Wichita, KS 67203	Bachelor's degree in Computer Science. Assists with software development quality assurance. Provides training to staff on software solutions....
Intern - Application Development	https://www.indeed.com/rc/clk?jk=00f6594e7d9ee22d&fccid=88d070a75f3896d5&vjs=3	Sprint	Overland Park, KS 66210	Training and demonstrable experience using the following software development platforms and tools:. Sprint reviews applications for employment without regard to...
Intern -- Application Developer	https://www.indeed.com/rc/clk?jk=23ff27932064544f&fccid=88d070a75f3896d5&vjs=3	Sprint	Overland Park, KS 66210	Experience with software version control, especially subversion. Experience with the software development lifecycle process, including development, unit testing...
Summer 2019 Associate Software Engineer Intern	https://www.indeed.com/rc/clk?jk=51d110a30ce107f7&fccid=ccf9f96e8cae7bb9&vjs=3	WellSky	Lenexa, KS	The software engineer will be working with the Transfusion team to assist in design, development, documentation, and testing of commercial software programs....
Software Developer	https://www.indeed.com/rc/clk?jk=bc1521028bc70a3e&fccid=9fb009c0f3140a07&vjs=3	Aptora Corporation	Lenexa, KS	Aptora is a stable twenty-year-old software company. Three or more solid years of programming experience in VB.NET or C#....
Software Engineer - REMOTE / TELEWORK	https://www.indeed.com/rc/clk?jk=686efc76ed1cceff&fccid=f3b836e645f9b36d&vjs=3	SAIC	Kansas	Software Engineer - REMOTE / TELEWORK. For more information, visit saic.com. In computer science or software engineering or 4 years of additional experience in...
Summer 2019 Data Science Intern	https://www.indeed.com/rc/clk?jk=88fddc6eb4e64846&fccid=ccf9f96e8cae7bb9&vjs=3	WellSky	Lenexa, KS	The Data Science Intern will get to learn about deploying models into a product environment while applying Software Development lifecycle to data science....
Software Engineer I	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De7ejuTDZUbOqugBN9dic7aObx7lQ_G3xpVDfkLqbHw46mP-h8bKEyiSjGNnTCMp1OUKF4LzIKF9qz-PAtH3mpPboTt5K4_0c-FTj7mNFp_GYO5M1o1by_BRYBvBJXSq4IUCkX-yD_xjli_GIdiHtlMBHVIpiO9AL4xzHa0ovJbMD4duNlD2x-VfVTQ06J_F6wK7AJ_c4Y3sKmrggtw4sZ4FRHf9zVO2q6MDIfkXpe_O4ppUt4236jI1TYoEPUQUxixmbsXHQ6X4Jy5Pu7a-kiMOk27LTLDZjqc1cSK089uXB-3aU8WhTY7AhjXN6nAKprKrKuUlDUH9YYHRcOTEqT31-Iwn7K_mQBeUd9lXRa4manN5mgr6pRvkAG8EBFcqR6L2j0RiqchNPXjGjXKgfQsKPbqUAWhj47hPkXTtXSOPQf6GTZ73nex_r-AYy4EnlPtwjRVK8h7-BJzOmdx4XHECAanBE38YizNuhGqzwcumE5z1ko8LJh&vjs=3&p=8&fvj=1	MetaMorph, Inc.	Wichita, KS	For more information about MetaMorph check out our:. We primarily use these software languages & technologies (experience with these is a plus):....
