job_title	post_url	company	location	summary
Software Application Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DvgCESUq26b773fymjm_Ey9-lju5ZEiCsuEKz8plImrA9NGb4_hL2aD33axuIyJ1i2dgdrGpQaNFdIQj64MXZj6lkiY24roxgl4uwY2zzPMHLkqlokIPJJETzSkkEegUmf22WsJSbznpV_qX9pS6RLRSRe2onfM1u86RPGnk22MT44qGFkAQ8tzHPjwBRx7BdL16yAdvyyIEWVvfyX2CRAZX90mlQanwBBvyfNFkfdx7BwC7zrvEwOuu-ftelH0K0D-CJyVGijeAw9p6zW989x8lRbyQnp0sZXXiW0SUz739aUPviCIiS32IxL4Y-EMZiaqs8N5IsoYsY4EdalnIQZSx_AzatQjcLE4uADYIK7xnec_qKrH0Lopi2GLVgvSrHspdJBq-15i0xq1R0YMNtWujX1XzvfFb3G2bXVa8bLT47dEoQYVkclTaMFcVTzcbsIkQouYYyj_kne_hrRYQi0hqFBmbWQeDfDOYI9lFoRTC7u2XH-HHP2IEiN6NHBKFNgyX2OchaTdg==&vjs=3&p=1&fvj=1	Ulrich Medical Concepts/CorrecTek,Inc.	Paducah, KY 42001	Bachelor's degree in computer science, computer programming, information technology, or a related field. Effectively participate in all stages of software...
Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aw6UZE71KxE3Mb0NtD_5osba_E5btjOysO6aAFC3aCaFm88XihNYToryTw99Y03WEgHczsjftmJBlwdoT5Np5BlKhoqR-tquTuD1nWwnyRw5F0iiZwekmA2-Zyd8n_iGHBcnAmaEK_dNehGThYXMurUX2cCL0ncXKOaJ2E8XkL_kqlzuQC9UeUX-I0Zxq--3AFbTlqhCQbXe7B-U6yyNc_o2iR142vYtYC4XpSw5sC7U1iQtfvJH5JI3SM4J2mVPrVoNH8Wy3WYBGo8wrmn62Ile8V9cWoLDwd1U-aZAbtJXlffZzdd5WQynrMoKi4hKbj5nBkcnSBmdRta5w6mGFPgzna9LKU0IcxN8Q_ExMxN-6rYIk8Y93jPDOSQcauVM__f4NcetNkN9ur_MgsZy1vK1dS7WqoFzhwTD16Pt79HrmwHJRoqOi4mjL2bmusEwWkx_vyX_Rr9Mw5vaENvbSh-_4QOA9VmUQY3Jd1zacgB8EX0VJI4nGb&vjs=3&p=2&fvj=1	The Jockey Club Technology Services	Lexington, KY	A strong understanding of complex computer science and software engineering principles. Software Engineer Description*....
Entry Level Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-OREm-Hd2JiccH-YSnwQ5JVtNT6wGm_QWkOKnWdpkBGWMKJ22N8mzumhBqBplc3ww_7Zt1QlndDKbjwopsUZqLvaRiBdzavKiFRtJzaQm5OqIrHjV9kGkJ1_Ezn2Tn_HsGeSzObLhnQyoi5_ghk2uzlRmYe8Mb-DWGSl42XfrtSU8oZZZ35O-ZiUn-f67miPPYEsqW-ZN0E-AwQBoC86Fi3gyGgc6Asi56o21gI-rQH8qUxxL02ikMu3qkjK8LZujKFX8TO0aJvJFB9HDM946h4sZV8g9Q0v34sLvuYhSvIFwPkUfENzd_vfk8NIO_KuDTQxNA7m5kPE6-FE9T4It-btdwr6CZfB25Kt1QCTzGbxkEKbUjKjhTrXac_yEKdD9jCCJODg87fbb3041Y-8pwnsJEHBP4-NN9st1H_fxDJOyxev--7wXiLSRARqDhJBmjmdf9qCAa4ltZlAdZtIeRFOn6a6_YhWGw==&vjs=3&p=3&fvj=0	Smoothstack Inc.	United States	Junior Software Engineer / Entry-Level Software Developer. Computer Science, Engineering, Statistics, Math or Economics or equivalent training or course work...
IT Tech I	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AT6kUKq8KufMXj6OCEVFpF5Vcc7FAvlgx1GVOdc6LIw_0KbCy8Ikro0bA87iJwosjH2VODZfZ5uGwhueJudfBKZWFyI8gxflrKDtqHVHeQv0ass25S8zwRl72ldYAKCAm1YnpFdDnr4idSeiiBsg37Ok5tKGb1aaW-2K63Z2Y9aZjELrBWFMU8RNtiG_Th3euZil6tamWM7kFGF8DwYaoVlUEMROJQNmyStvwGVPRsslT9p5hY5Pz3ELmF0u1GrMJwScAnIGVJPqHMJsNr67eg8Ppbdd8u-IqQ9BJg_1ZCzquIyP2E3E2n20IHyJFwAo50BDc8ZuSfxjn0O_0KA8eK7CROIx9qvcWWaflrmrQVUzdm7FQH0Bl0Acd2cxLCLqgfuuU-bRQPOvFMqaKjoHcAxozKR1yuk1RR8bRIhL7K4wc7J8jl9Bg-ss2glo1V0QpPDMwYSp8uAwxjWwTmRpxYPtZAkQH5TsE=&vjs=3&p=4&fvj=1	Framebridge	Richmond, KY 40475	Degree in Computer Science, engineering or relevant field. Provide orientation and guidance to users on how to operate new software and computer equipment....
Development/Engineering Intern - Campus Recruiting	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BxdzeAHFmNSkxk-9UVwkWZ3dLEkWckRMohJWYVETMG0iJUVU57x7OmId9XHa1Mjt9Z6YFd7SWYPFiypbsI2ZUCIdUBdO_c_99Fsq_j3MybsFBe6eUJR_6jeRlXrq9iSobbS_jFmJuLwYgtS5MjxmXAQBEjJPlEYGpbBB_wmT5BBOADzj0zl-K0uOKYX8hHXDSGpS_byOXaHW5MtQYJLOSfxqiUPjaL0Hr2yQyeOLc-2kA-mqeiPMNlWI0PKjEjjNzIxau8eL9Ci4viCKuczyHPhMSpHnVnJYl8GGhoRSD5fyWTSEajnDmFfBXD9W6zrfQW9T51ZFh0xwX0ZMDer4uT2H6CUtgLsX7xP3E4Vdrq8_w8_cGyhTO4-N9hc74mqnkUG_WD3wWe7S0G2dzIxUBzT8tuKZM2YG2-Xtkn6zBgDdBd1CZLoXsAZ3xdgHUcKONxisFhRb6Qi85sq8JKeMZJP_6spcGOAoHX0ZH3KMBMjXCSfc_pomIuOa4QZZoyu_g=&vjs=3&p=5&fvj=0	CGI Group, Inc.	Frankfort, KY 40601	Computer Science, Computer Engineering or a similar major with extensive computer-based or technical content). Applications development and computer programming...
Xray Tech/LXMO/ARRT	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DsT-N29Frw-w2oNLcazMgh0V3k8E9GWoaPDVu2Ub_3zFTr1amwsgxS6QDPQkTqwAiS-KmpXD7wVAJpLFRWpVEbGKNQHGLqH0iWRXxSyZAds6ukZ_rok0Pkd_In0-48mXPpMwtYPF9l7GDBsAFl-9Zrxav-iYDYNMSr_vevvhbNOY4jV_rRmJlSnz7Ab1MCABZlwXjXnvporgz0IPJkUyndNFBgHh1zeFRLHLyU1b1my2I5ypRMh1hn2rbn1Q11cCaH1dRbOZ_J66oD6D78nzC2Gu9EA9EHOfQHpaEGWpZVjkiB6v7l_BZe9l1F8H2gdzY9_3aWgHP6cXV0qSIOlJSq5yHaxui7azbwROfrOd1Lu64UPzOpa3X01r62m38hAWmtSt98nzsQ244hdUPgf48A2Q2Og-W6h0bfT6B-YUuguICrmUj5927OhVG2r9YoXaOEE1ydQOuJovZASMMyKCAvp7c-VfF0ul1hJi4p54qPrSTK4Vy_jBho&vjs=3&p=6&fvj=1	Healthcare Strategies	Frankfort, KY 40601	Seeking Radiologic Technician to perform quality diagnostic imaging examinations for Physician/Surgeon and Physician Assistant. Produce copies, maintains...
Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aq9SL-JplmLU22Gy7GXxzHUMFCQYR7ia_HqgnLD_jCej-yFaLFyhpCUoGhmVUgifLj-IHV8jf7dDXKr0EmGt7knpQrTwvyRzWHu6tGYhmnsY6eYZfrvrTdNtHlEQn7kiKf5UuxlcuEM7-sKungBA6zEy3rPWwTspKXQXC2y01BrKSm0-AY531d8LFvblxzW4CVeRXUe3taAEGY2riyiJSiJrWeq8RoHC-XJt-YDEwlKQ8UvdR_CG6NABfrcqAWwkCBgUdnXXUkflnpSA3Lk2A2Wm-kXc4nNA-ND0fjZwSHyb8C8WKl3StYsgUEMVTBaxF5_yCyLHxL-RRoNnIHLzN24ZYvDBG8Rw8KCPv3II8zeV_IH3RNxIGb3DSdp62GjZTbXutvVsEbhNHe87L9qQJevXitzX8e-zMQFg72lHbeE_F9-JZPEvOoanjzBoh0RdryU4RyxAk6SWmiixRNK1ovdGW9D3xo1J1QwBnz-4tevfkQPVXNsoyp&vjs=3&p=7&fvj=1	Veterinary Data Services, Inc.	Lexington, KY	Veterinary Data Services, Inc.*. Is the leader in data conversion services and integration solutions in the veterinary space....
Software Support Specialist	https://www.indeed.com/company/Veterinary-Data-Services,-Inc./jobs/Software-Support-Specialist-8387a06b5ac996ae?fccid=a0f4ea32e2753500&vjs=3	Veterinary Data Services, Inc.	Lexington, KY	Software Support Specialist. Veterinary Data Services, Inc.. Normalizing data through mapping processes....
Crew	https://www.indeed.com/rc/clk?jk=bf8da734ba88fac6&fccid=c5b88685ea57e539&vjs=3	AMC Theatres	Middlesboro, KY 40965	AMC strictly prohibits and does not tolerate discrimination and will provide equal employment opportunities to all applicants without regard to an applicant's...
Intern - Information Security	https://www.indeed.com/rc/clk?jk=7b79457f2fd3435b&fccid=04c7c05a4ba29a2e&vjs=3	Airlines Reporting Corporation (ARC)	Louisville, KY	Monitor and evaluate existing information security systems and software. Active student in good standing currently enrolled in a Bachelor’s or Master’s level...
Computer Information Technology Adjunct Faculty (Online)	https://www.indeed.com/rc/clk?jk=54ca1e6159d76783&fccid=d5c8d10e359c76d6&vjs=3	Bluegrass Community and Technical College	Lexington, KY 40506 (University Of Kentucky area)	Part-time faculty are needed for online college classes and are paid at the rate of $725 per college credit hour. Qualifications for faculty vary according to...
Humana's Summer 2019 IT Internship Program	https://www.indeed.com/rc/clk?jk=fa26e608e3a64018&fccid=5f1f0e6dcc6cbc83&vjs=3	Humana	Louisville, KY 40229	Be a current student (3- 6 minimum credit hours) pursuing a degree related to the technology field (Computer Science, Information Systems, Information...
Computer Science/Robotics Intern - Summer 2019	https://www.indeed.com/rc/clk?jk=582ea965b8896cf5&fccid=06511673a4571c02&vjs=3	Jabil Circuit	Lexington, KY	December 2019 – Spring 2022 graduate with a Bachelor’s degree in Computer Science or Computer Engineering. Robot Guidance and Customer Operations Engineering...
Computer Support Specialist I	https://www.indeed.com/rc/clk?jk=cd309866931b12f0&fccid=08f0dbb5cdf17d24&vjs=3	University of Kentucky	Lexington, KY	Required License/Registration/Certification None. Physical Requirements Must be able to move 50LBS; extended periods of standing/sitting; and working in...
Computer Operator I (CIF SUPPLY)(AFGE-D)	https://www.indeed.com/rc/clk?jk=4e9aec99166de4d3&fccid=79418d497db53e12&vjs=3	Advantage SCI	Fort Campbell, KY	Control and enhance automated information systems,. The Customer and PM....
Adjunct Faculty for Computer Information Technology	https://www.indeed.com/rc/clk?jk=42a232776a86e5b3&fccid=030782c26bc4cdd3&vjs=3	Madisonville Community and Technical College	Madisonville, KY	Madisonville Community College is in need of part-time instructors to teach Computer Information Technology. Face-to-face or online....
