job_title	post_url	company	location	summary
Software Support Specialist	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AtPu15fcnU7wqICzoT3ZwAHq_H4PCbyrnElw_HBP2wS1odQchvgNhE1ve1xMyOSWhwj7cWtqTqfsCwWbKFenk4utr9biUITSZ4zf7IJ8bGG_TjNfBbOYr0VYFc6U6F386WjfA6nXoLQlqVs6qxO2QA0WuY77RpL7tiIS2ehHNws8VkgBiGn6oT2I11QXsyfxOfBUMRDXVsF4N86NHaybQjm0fQ75Bw_-6p4nPTyuRSesSH6Ij6s65EjnhpwwmIMwobWtuBfM5PCM4XHmv3tNKds_nA7f6eGa8mnw78puMeWHrkJFW2Hz2UPjhnb6Anka7yGfxMNlS2LL2CGyS0O0ADRh48PlMYE6V8UhYo93g7WVzE_-kr39lX3D57HgpWS6g25Hcm7V9birItaHWpINUvdgrdUxKSzkLc0nFSt4vq_v7vtgwEsgQ2tj5A09kzNSPrpasbxV-mS-i8TtAPUBZa9Y8t98trzSX5dx9ujbzZAynQWLtyoSv7xhuxuHatWV8=&vjs=3&p=1&fvj=1	SalesPad, LLC	Grand Rapids, MI 49546	As a Software Support Specialist, the typical day includes:. The Software Support Specialist is the problem solver for existing customers....
Software Developer Consultant	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHwW8iWtsMFbWl1NO-1llzEgG5GAjodE7ullfS6OpdsnkjFAiQpePukzy7KFkcwWNyNOJjVPTnWGwXjh5BY-rbt6JEirIRovsJDbYLz3KsEuqoqka-NHiTbe-yGGg0EJKRP-WIL_KT_7PnJ6Lf5_MbJ87cexJF74bll9hbakzOPGKRGHjSf0ra_aZgjYM7Mbw9XvIMN5XE82wdbdfap-xgG_Up_49TQvi0r-u4CcmW4aroIOW0HcOOG_v29-JuQs5X2130qweo0-BfSO43Brn8MvLm-bDR6PGGNQevs_Wvx5G1Qmlwzmfo2I4FKTm8CI2eoI4ypt95gmx9RnOKYka6qC7iG_cnQNET1dFOtVyPIufmEgrlvfr-rcfmhuIb0oD_QeyFid4AtegeEdm7J4ad0q1J3o8-hjdcqtfs8DrynkS5KXKzDpqdQGa98zakPUbHGgaBBj86oDzEAj9q1pNhBRmTMD-r0hIgq__DpyEZnlEw7_uRQCtvcqH20wjyjHI=&vjs=3&p=2&fvj=1	SAMSA, Inc.	Saginaw, MI 48638	SAMSA is seeking to augment our staff of developers, as project demand fluctuates. Our development environment is typically LAMP Stack development, focusing...
Full Stack Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZnTttoiZBMD0jdPYseZb2HEPlZJuoNinGZlKs7M5ZiGScdtnFubRrhVYCEeJ2RC-OTr0gApf1JM0U06crK5UqvK49Na63JwpA6zuL2QeAoa2wTbdRRkUgGR1jD98RC11Nfk6xuELRpBUZj3gO8_8q7aFguTvLpLo4MkqMQPUhwRDEOJZDpF6ATgHlKKwru-j8UH0e1sT5cvYwIImO9lR2bTfD3WhRyqBn7RSNY8HhfC88dNedAfxwWVmAKghpJjaWD7cUUh-r0TUTiG6wsyJTujDfxPNwAWneXLIwmGvedNiIkDiFtX5y8XVF3-LT3rlrxNp17rh3VlkY408jamfUhFYA_2T6qdm3wb6fu56j8edZ0L_usksiaoC9yJ-V6wl37ZeSABaQYEsrqkpsrs84yHHCVTq0-hlus2K8LkNl7XjxSWiFgWQKBg1C8p8focBzHnQsNhvzG776FZb2XvoN3nniAz5MmbOITfj62Lz_4M2oc6RrZVfr4etXqh0HzV0=&vjs=3&p=3&fvj=1	Xcentric Mold & Engineering Inc	Clinton Township, MI 48036	Computer Science/Computer Engineering/CIS or similar. 5+ years of relevant PHP software development experience....
Application Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChWxueQLQwqTnU1SOb53aNpPiymogyWP7zJdq50ADPt9XALJdv4MiKSyLVzaupTt2vHKjXXGQ48_ZB5lk4sFJEb8rZVY5kykVB2X2gvx14K3123UItis642yOdPVnF1Qx3BRJjYatYTunRENKArTQGHho4pXHpbAf0rMJd3_ewWvnrQOAjI9xbBzF4qKQMOAGFNh1DZaVwXDLqnzBspDFrpvifP-mIcuGGLNoj8OEm1IdUnQqXn1xYGy3Qx4cqnQALmu_ehpnBXcxBVT7RrzT540zDrBWvk_5oL4emqfBH8XPCuDsv2YAmqHZ2qT7tFG3wgAONxskMxnpqmfFqrL1uO2VvmGwiUuC5zQ0HhqXCm7Iwkegfy4fNa6V4bMFHOMorWaiUirl0o-gXmewAknlnZihaaWOwTkxd1d7CzdgMczDi1xyfVWpLLqdD-zC4Xl5Nc0jWW0ivbf4uquYJHgm3AnTfb0NECPtfJUOVEQgR96l9NHiBN-0XEfHiJ6IUXue95RI59ZQzVg==&vjs=3&p=4&fvj=1	Safari Circuits, Inc.	Otsego, MI 49078	Application Software Developer. Job Description includes software development in a variety of programming languages, responsible for translating software...
Sr. Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOxi6n8HsuMsel8oOdLKpvIPsAh_2IZQY0TcQUDVqHzOFq64Tshys9g994UYp82b2Apn4Pdrl9WpL8L7OpwrgIEH87wyjsvCly_jakMFpQ4sXi9oeLKHSh6StgCUx9mlJ97je09_6EZfwSVtFtfpVL8dRk6nhM1VibBZtfLIfWAvuf_8lpuhZjeA_R8Ik8-6Yi31RoxGFQq8oBZk8NYqnOj1qa4twUntOJXAWCywiD50e2Fca7-XPXcnrrCcGtdHNXKUnlsc4-1iId8cbopnTjP1KuVr-hVMdl7a0lk1dsLY0L_NoSZ-LRsX8TXALS3a_iSJNk5MsS_GI9apS_w-P6RlURTU8eSVCb-Vqae2vvDN2eQlgAQ375W0vDAkdGf2TwONiZMZrvTnNrNGdocgIV_uSK0cfniQvUfMiTxtU_fqHsvBaVB0p1MZad2yF_2QnV8OKBzdzZb93-UAW3N6sklb4wLAXSdUo-Fp0XO4Yo4OXIPf7O2ONt&vjs=3&p=5&fvj=1	Navitas Systems	Ann Arbor, MI 48108	Software, hardware, etc):. Experience with product life cycle management software and version control software required....
Embedded Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bp-ZQ-eJfxuw0kyQVkBCEOiT-sHgOxUofIroznBHhJT0jAVlHrMBXcFskr5FKbP6OwYdqXoIWaIJGDo0WKAhNzL9hb_cQ1BSAxgxp_DySdbOBKbE80vTklxUlPp-V88Tb2wNxlX8zTUDP4vkvVedxQQ-Asae3c_vyA6RU5Ac2-sw8Fj36HnISyCALcj5bE8gyULMGfESWRVodLSI79Jtji-ZD_6-DhMXw4nNPXoBLSfL1QfHeWNVVaOuhmq3mTs2x3oOCk2RA3u3xQ6gcX1e_Oz2KQwFOqoo0G70m-w6LDpK3s2iGLx5KhYIzwcquvK3sOfRgsBcGLv9aZvL05Puy0AOBgMo2ngnGwz9WHF8DeNvsolmAh-nx0nhBB48oE-hBVfbZhKwihEn72GBjOl6voO7K1m_IEML7GGre3Ri0kX-pKiBL0xgwZcBCQuFKzmN2_eMhI0PS37JgxU-MrgEUslVKTgzlQMzknqxLeT-OCqltSfY8vsEpuGMWiiy7z7UjPUJCFqMTICYStVY5kE5g0BSd7gz2YXc1ppyy6oSHSzQ==&vjs=3&p=6&fvj=0	DornerWorks	Grand Rapids, MI 49546	Developer, software, firmware, embedded, embedded software, embedded systems, electrical engineering, EE, computer engineering, CE, computer science, CS, C, C++...
Software Support Analyst	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVZWczZe3ZWdcEhrqHn5mQfCtMc--GP3EZ08JOuxhqt8gBDH10IxgHECIC4pSUV9XegNWY9KtYjfFpx4OvXyq2gilDQtCVexS43qsFpNiFFuPFxlwE47vK5kTY5_Fb-rFGG2Zg1ZMxrcrOUJgzKKraKq5rySiXXOuj7HbdVNvXb8rxAl8ejLQJDBMYj4JSBA501h_no-5w0KNlEHUyYOtxNxDf2h7Pht51UQhg3CXhycnKurq6K5Lh9sGbzAjW4WLNrZl1DDRtA5YuKCsViN7VmPj-jp4ORSYfZUjLpXnkgZ3u9rQUAe5lIkwq-gyvHyp82JvWkNr9GgySTaMkoIQgdw4riq1u-gjtOZE7R_gNQCTCh4f6-ja1wB1A6JGg0t35ZyZTNdP_X9y4WO1kMU_HzhfjcQwlfILWcoXN-JZvuaygKcLSBDT6k2p6dfh_3Kruy3bzdXY56xwgKjxpU4xZHVPKXSQ5uIX6gl4gTs2DcH4ymEnp-ia&vjs=3&p=7&fvj=1	AVL	Milford, MI	Software engineering support for AVL software products and device communications on-site at AVL customer. Pro-actively analyze software usage and problems....
Entry Level Programmer Analyst/ Database Developer	https://www.indeed.com/company/IMCS-Group/jobs/Entry-Level-Programmer-Analyst-cc4b747151b146de?fccid=fb8a60ae2995ecd5&vjs=3	Reliable Software	Northville, MI	Basic Skills in Computer Programming terminologies. Reliable Software is looking for Entry Level. Minimum 0-1 Years experience with Bachelor's/Master's degree...
Entry Level Software Developer	https://www.indeed.com/rc/clk?jk=add504acf6eb91d5&fccid=f28d659c13a0ec47&vjs=3	Reynolds and Reynolds	Ann Arbor, MI 48103	Review software code to ensure compliance with established standards. Assist with full software life cycle (SLC) of various application enhancements....
Jr. Software Developer	https://www.indeed.com/company/Cloud-big-data/jobs/Junior-Software-Developer-bc6704c15f17d260?fccid=70ab0e6ccd0fd153&vjs=3	Cloud Big Data Technologies	Northville, MI	We are a Michigan based IT Company with our core area of expertise in BI/DW & Application Programming. Our consulting practice has a national foot print with...
