job_title	post_url	company	location	summary
IT Specialist	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AGVt_MK3lGsSPRPJdG37mCfrMjLIFdBFrNxScvD4hxn8jWZdkZXtMzc_0x6IJhiShhvywoSguHLCSv-NsUgImiMENveNWY0JvzGWiAMfoVO6Wq14Vy7iHIuRlip19Rm2MzNeWBA6IOZHB905EE5sezkY8YXA-SrilKVVoZVNjS8Yt8jfZCy-AJsRyb31N-bEUunXLsHfgngO2_cVUG3ybmZFhg5-YSkU0T3Jrgnqx8oyEtGa562lGn6ifs4_x72Ra4Bzs7ny2eWjplcAFUeqlNKRxw424WfGMQaSFkIaArk5PmksLU4yBQw4oTWibU4q71FEIf11a7-DtRQ0GA72rRKlc28LAj7WiKuHyHLFcLbsgaP4M_84naBpsH7iavS-V0qCk5RIjQGkNX5YhaNP1tNjOL22XOu515sQ_Oe03ACc0RAo9VpmJEP5yxb1KnRwLsqmLzUvI3FNVD7jqXLBGKB_B_HUuvHKc170Aj3j_lGA==&vjs=3&p=1&fvj=1	Mississippi Job Corps Center	Crystal Springs, MS 39059	Loads specified software packages such as operating systems, word processing or spreadsheet programs into computer....
Software Engineer I	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AvTgDLh9wItPqxKhm5lTAVHlHRncsZ9zq_OT-Chty9zxnGu6yQ-sLSYzKiB8MpRsuF7-718aWVCMX3UBuj8qUK0giNTH5ysNpUjhsFUT5YFVzReb8QRPozx6RCRcIAS7jZcZFdfkd-BnyYcM3T5e3sPztBC0hXSQ2-mOYTPBWZ8WaZ0Z9pnF74EWnzyI8t_9bK6VLhgRbl9gtyrJXziX8_4ULw0jOxXhX1Bsv4Z_CrhCtGfD9O0ksnbcZ3cvXm5Rku6kfW_OOWHvdJdXVYsylq1b59NRcI_Dln7t70PQFPervFfFEr4rk7__0liSOFmEwe8To_lTaDHHOcekSq44QwNt_uG_V-Xx1lK16gpixspL11OZuibDEdPtj-i3opnfEmRNXV_6m5yIABEHH-Lfv_0Lszfuy85rQC8LlZtG_kYGP_KSxepU54eINMI6gYUMgI7siQ-uSoA-6UyonDaqUD0OeNKlntYMFHISwSnGdrqWere1uDfAzuN_sQDSroQpk=&vjs=3&p=2&fvj=1	American Healthtech	Ridgeland, MS 39157	American Health Tech*. Bachelor’s degree in Computer Science and Engineering, Software Engineering, or related technical field....
OnSite Support Specialist	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CsJHKXFUZ5tusiBTx-S3W32TL0MLkNgt9oioGfIMJ3XUcqa_WaAyY99xrgzsm16Nz7HIkG0wGcpevnmY9aRzRmtN8EKLCQC5UE07srxL7CmHDKTPwD85p35AGDfsTWmu81TXYd0OMy8T8BzGS7PMQtMheAjaXde74GXLn1pV650fE1FELs5ty2PBjPZAuLUeyFi8iGENHIySkQNM_vGLsW-_Ps8ahndlMP7FVpzQpjSpCurv0ZBl2XiUWOYfW5uhRyj_Ahn2a8vvvvca_pHUEzTxM9RpKAd3-4fVDo7vsmrJBlQh561uZikzyrKVo7vYDDY6mlupaW6BwdXXnWV9Umnzh15eo7JR8XSVZ983zdjJxBZ-jgLY4zV4riXY-EIO8KH1S1byHIjSVl95tm8OuxcsqNrlWpEpD19YBJ1eItk0-G8dwaOESi0G3noNI_NbGi4VjZ44fIRNS9WbJdl8S2nDNtAJRDQUjQMo4nLVOFYQjiCBzESU-bbpXcNqnnEXRmtqxxhWfkH6z4WsdLz8p_swQnRCtiwHxjBHm_YakFziDhTYLnxDwoloDNEeunLqcgAzqaeNf8XrpxJ4BUq4sxETbQcxItUFs2TefqmfiSFXCJ9N3d2yo24IcPTJ7iiaVulIYTHSprK8bZOEOsfpmW&vjs=3&p=3&fvj=0	C Spire	Tupelo, MS	Perform computer build outs. Candidate should have Associates or higher degree in Computer Science or related field OR an industry standard certification....
Data Base Admin SQL Server	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdU1WW-0pbi4WLhUveEy_jtZWbwz7gY-OZarE6Tzf57qWSkaifK4jSVq1KRhhUdCmyFAoNYleOgQk23SKqqf3uHqxOcOZ2GzUGsEJEqpJLrYKhex0PMJREjnEOiKxJYO49HKh6wOblK3vJ6jeqIcyVNmd5jpMxqigwSNwjYpHKSwTVamek5l22kUpgYFHghUTSi0lNuNaomSypUhFd5Zy3zp9wtKvv8-ya0TDzP2ymDmB9tn4r6uFwkYWE3LFb6Bu1b8AEvX45NA0YwjwrGpPtEOi6-7x-FShefGZdt9rmyV6bDid9pXHzpdX8TjbJr4jRU0UfyDaT5ybK1m4-YFRgLmm6Jf-wPnquw8q6szw7iqAzwWJBhSfLB7Bn9ciuLT455PNVwEZstaohfcrpWwVVPLlCcv79ogC2valDsCp4H1HDlrxy49r_omI6TaCfS8PgoXcly5O9BMC--dzaL-YXk2hH_kKFzfeaYzFbnbqTR5CaYzThAX1k&vjs=3&p=4&fvj=1	SkyHawke Technologies	Ridgeland, MS 39157	Knowledge of advanced data storage technologies. Secondarily this position is responsible for the development and maintenance of the logical data model and the...
Summer Internship Program	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DLV-UaSYmUGdLXVL6_1B8zFUZW7Y82fkC_OLOMd66BG77Sc7fal6ARv07wuhjfiJgCL7wWZ2NlIuveJ_Tgt4_b9uPh1W0IJG5RSDvjyNTlFoU4HeZtwtiAmOKH3Z-ZEW97pzNO9jlmEkpfbZnnwRxindat0jfr0EH9JgpDnxEN71Sm70AEg-jq2k71Mket2TvcTOjmniJhZig5iIKbfc8MMcz6pCE-lEDPb0hY4MWB_PM_ro-zzsjBfUjG0BKEbjb2wXbMJbbsYP7xtdZNXidbI04kuyKptputGu2kNVhJAkLZxtFYIu4zXaxoSYYmDxWR_paRpVHrZZVhNyjk4Yx_XEfcb2e_IukL1k-na-8bax3l3t2g1PjSqcqaqaahV1rYp0TeuVqvh_DAPZOeY9p5-1eQa9la_M-s2K1tRbYrccm1bUYmqk0qVQLKuNLW1HqG1rT0F1IZMVVzby38dZvaFvfvZJ3YnPUohK2rrrkbSrJ5fJzOqSdJK-nIV63Eytqq1sx3CYIGQA==&vjs=3&p=5&fvj=0	Koch Foods	Forest, MS 39074	Click Here if you forgot your login information. Summer Internship Program....
Entry Level Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-OREm-Hd2JiccH-YSnwQ5JVtNT6wGm_QWkOKnWdpkBGWMKJ22N8mzumhBqBplc3ww_7Zt1QlndDKbjwopsUZqLvaRiBdzavKiFRtJzaQm5Oq6qkumXWtk2LxM0E_DAVLccznR2JK6-i3AE2P5aT2Vh6C0Lop7dIlaxpeD4rzgUSBX5ANbHqbnXt5KITdWo3EIyUai2XOxVE42bgRo0dgB7wuSrwOARLFZzTMpQL1yyLJYIymaBdHKTY76WamWHamT8GwtyeLz-HIL_TrL6PxSAZxlVERhdJ-zDLFzPha5m72TM0nBQqypkId6mloUa6jOM2emkWQDASBAP-v1ifVwgeeE383V75uAYKC_QKyh5RR-zS9WkU-D6cMsJT2ZsLwmD1YLgs9qgdraKN6wwAegN7eekDbSuWJSYxz9S47w4AyQVWE0yIUeBt8qX7NLPyEHkXdrDBVttOymrmWUxnnSp1OVTNnB82gSA==&vjs=3&p=6&fvj=0	Smoothstack Inc.	United States	Junior Software Engineer / Entry-Level Software Developer. Interest in web programming and Object-Oriented design....
Crew Member	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6E2ocesNWU9wK2iK8RLgrq-B_1ZU_MzkS7cTWWI5KtwfA6bTQZN6ZeBRj-tQUAym9JWWwGdyqLMupMXciIuKFvWofjiVE2yNtUfd4k1mC7MaLtrOADlfBanHIOmtdrkuEreAM0ok-UKWAgmUj_NxQz9m1vxrDtlvehzyeY_ObRd7-AXqztrzigCy03htcskYBXyqinzucr_MLCv1Y46vD6de4OgbT1GPkw2TO6LxkJpuKrLmvlGZRoru9WRRbbWpRlFBpAtqMFqVDK-CA7-XeX-oz-iE8xEp_ffND7jU9WYbozmnlR2BpJQCszBnJdVhHVCPW79k8NaGu_920c7icC_h60CP0qs1hhWzIm549m73mU9-sYYinCG2_AIy9srRzGu4ZREHSJBCsrXZ6rCPNrLpuz73WUnARq1nNWMeNzsbMVpmsbr8ih7nQcjBrSGJ_1iDGgEiPlO_9JmCCXO3HHujqcdOPBTludTmIQRoSHHoeLzZ7V-Za&vjs=3&p=7&fvj=1	Wendys - The Carlisle Corporation	Hazlehurst, MS	Knowledge of computers and/or cash register systems helpful. Ensures all food orders are assembled correctly within stated time goals....
Information Specialist	https://www.indeed.com/rc/clk?jk=22d67e9bd6e8aae5&fccid=2c6c7e36b60d49f4&vjs=3	University of Southern Mississippi	Hattiesburg, MS	Services, career counseling, resume referrals, information about online resources, including Handshake). Ability to use office machinery, computer programs, and...
Tech helper	https://www.indeed.com/company/Saucier-Veterinary-Hospital/jobs/Tech-Helper-c5c5116f8f0478d0?fccid=c02e46d0579682c9&vjs=3	Saucier Veterinary Hospital	Saucier, MS 39574	Walk dogs, clean kennels, assist techs in their duties, clean all areas of the hospital, laundry. No experience necessary, we will teach you....
Career Opportunities with Department of Homeland Security Da...	https://www.indeed.com/rc/clk?jk=67cca9eb71af4ba7&fccid=f3b836e645f9b36d&vjs=3	SAIC	Stennis Space Center, MS	Data Storage Services. For more information, visit saic.com. Program and project management, technical expertise, provision of hosting and general computing...
