job_title	post_url	company	location	summary
Internship - Software Engineering	https://www.indeed.com/company/Flow-Science,-Inc./jobs/Internship-af8b91b849268179?fccid=99681a0bef0b8be1&vjs=3	Flow Science, Inc.	Santa Fe, NM 87505	The candidate must be a recent Computer Engineering or Computer Science graduate (December 2018 or May 2019) with a Bachelor’s or Master’s degree....
111ST-05 Surgical Tech - Full-time	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0z21AxPoMF5ReMxv2s870aC9nc0l41ZWTQHdkEXd5AZAgVVBopcpdJ2CUMchY9ET7oDvpxZW1P35u07kSEdU65UfgaagSsLTERfbym6HvQKw6P8zSzl-WwDtR5ACCBV03vc8k8mjIeJ9VGoIZXBv0H4y5FwKsyU79tQiq4iUZ_La15q4BNSC8_LfmZc4VweqZovLc65ogzNJqn2MKNaiNTu5u0wZWTdPwyWyOBl0iZBwyeEuu5YOXPHRWoVUaktZzNhSEuezegBMFfyTO4-lK09sUxYFdsZXSsvyFyL7hfhaUHN_0pNJiLY8g4CNJPu5qsbAvdotDtUuYZ0yJJcbz0aKJrwMQJW92xl0gxiw0Oz1URvoXV9G8xfp9MIBY6adrtAFgBu1r06aRixeoLikyFflbZKD-L_NdypkJAHur30qdchHNr7N8q_mtYBxnqM4so0UisrwstoWyyQ4RpmOP3DWZs0hfHz1A3F4AQPlw6NkTHR6G5dHIx_Ps0ryus_oApOqucvmTJxaXI8C0mOx3dr9GINHbPX32eq7q1Y0ydthcVoHBgPvQVy9KXXxz5oFMWQeN5t5M3-mohtXCFNo-DJG_uD8UIb8TfpoSsVNN3TmCM_7p5zGzyKXYPrwHis3uLyqiwJakGlbvb_u4NO_gS2fi1qfm7BAFL84Avggxhce2cm-Pa_f4VYHv1BdzeAE=&vjs=3&p=1&fvj=0	Mimbres Memorial Hospital	Deming, NM 88030	Completion of surgical tech educational program preferred. Under the direction of a licensed professional nurse, performs specified technical tasks, scrubs on...
Hazmat Service Tech	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AaaGaZ3dsAoNeQ8tVPzBr0CVNrnh0ooP0M9c_C7LtbYWkTBjXTt5W3fZ-Tn9V405-Ylq2UwacPOYn8bPBI7Yx0LX65PVur4uNtGdLy1o3pCcAOYFljH14NGs7_muKd6lkoBzKw-RGQh-SOJdQOBNX_b8EnlFGPISPAGiV1DTIadMa1NR3AOwfVET7XTR8sKRdhbtA_mOONTRL-Kgbphhcvaqq8f_JRWGLKPFMm5ifDBDOA7fmUFovTOx4SFyBPzK0zE_Ynm_uakfgcG9dVfbvi0wQNeWX9GzpXdKgqvVDVCVzqXokqONow2hrg1bizkgzxM1Kpfpq2k5WTZUwdgMFmy8Yua7jKBskXXDU4BWgQnd4mDfJkPK7xhA7yh80HpiAxUjKnkPWCF_7qHKP7CzHGegG0BvQFip2tF1-RH4G3YkvgpJ95FXkCFr8NlGK5WtqBl2iwqIKePz0x0H7c8ne1-uBdiDgvv1EXgpHgSD6EIOPvehOUAz3j&vjs=3&p=2&fvj=1	Pico Propane and Fuels	Carlsbad, NM	The Hazmat Service Tech is mechanically minded, energetic, and highly presentable. Scope of Position*....
Entry Level Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-OREm-Hd2JiccH-YSnwQ5JVtNT6wGm_QWkOKnWdpkBGWMKJ22N8mzumhBqBplc3ww_7Zt1QlndDKbjwopsUZqLvaRiBdzavKiFRtJzaQm5OqIrHjV9kGkJ1CT8cN2lrei2zdUky8Wn7gjvg718e0XGN4Hws7lUkEy-GUURBmuArhCkIksPXHc5jj4Cgrsxv6fNb36e_mUcb3EJ4j1dB0Ob6k-8KtUb-of-wzyVlWnWXgKqGoCxss8fTAOOpNgB1xp6YJMaHg-lwymAdYdfaAZHEJnEfdg__-dmLZg7G901k-tBL5gXgRsMre0Tc4Md61SWRUM1VYISR3aWDR5okb0bhTaWqxrVPTtL2TW1uGMog1abgp5-w45KirNiHyBlP9565VEGMoim1G_WlCL-Jt30s_0DHbaIOWDDOZecSvefVP4Rd7ERhFl7tw7SLjLnBeLsyU46V2cPqw9_k-0c8-PJpQzebNADBubA==&vjs=3&p=3&fvj=0	Smoothstack Inc.	United States	Junior Software Engineer / Entry-Level Software Developer. Computer Science, Engineering, Statistics, Math or Economics or equivalent training or course work...
PATIENT OBSERVATION ATTENDANT - EMERGENCY ROOM	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqy6yjUoJnVWMdwCtv4xKWw_iAl9PLMfmqWK1fh3aXAmNKcEStBLtyLueXviTRxqepG5MMWzeW6L6ulWuckKFA2SGi4bReAXAA-DU0qTFBXJZbRAA8h7Xl5kfXmPnBV06QVtbBeitg2TUlJs5mN7IfwHh5uQKKV6ntsz_ft9xh-PFfc_B2IKF2hVXdyM87JKVCLUdSob5UKnpOpU8cij0iBukKUE8KrlxrMORQ-3m7fAbyZiQ_KU1eagY0J2b5qc9jCRijgkLK1ZVPz6sTBBTkDABjSNvlvorVBSJ5YTGHUR0oH7m4o3h_Cu-bxMVOhwXjPF49xYxp9E-g61aPue-RILLldsUESuf_wgc_NYgMhoY-tVCnfNoD1YKJXwfuDGzsqN-18yrqUlM83E11a1qcQvJ0ZH_PcGbQpuQl7z6PL2fhGqHYEo113I0hS76drEP5xRNe3yAfXAsFeIYKOSUH_AWMFN65xK-7sGPRgGpWx6IBxIm89pIC_BVZb1NeR8Hu83G8cRRtSxc0j2Y1Womp3GarugLEubMNlKWne0QqIw==&vjs=3&p=4&fvj=0	Presbyterian Healthcare Services	Espanola, NM	Current or retired Certified Nursing Assistant, Nurse Tech, or other clinical support staff related to inpatient hospital setting....
National Hiring Day Wednesday, April 24th 2pm-7pm	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACxr70YVqT1sIJUOcsAfLu5mSBlBqxlJ8AY4qLZgE4w37k_g8snTYXVwVOSsZbrkYUX-ubcAEVntWOL8ZJCHuqsYSrYarXYMS7SfL7ehrML_2c-oVUOvRQh54HpcyyCTC75jU_ZODkcJsE95XRbu3Cbs7OalzlyoXckamqGG2S9iKprL1wYUx97LIq1ihzZfq3SnBuWqyj-XzkwL6LIIq-5JWa1CIU7LdJGUqVoVS33zs1YuE4Niue-275EsgEjKiuZxgCIRq1etlT7lC90DjYafuJRAd_68ZCXgRsUVm5lOrVovBPICfQTmuzRrj7RWgBdCpie5I6zeR21zvLQFzUsHCDkpcHUv7IUtmHz8aCtAVcft_l7Ky2UMpCFokkc0Tyr7BrjyVUgt9KDAQ1b6fEENIt5GQccbEgduQPd-5eX96gu0F2tWoDI9-0KjHMYGe61VRBtM70pn1dPVQbzum6zHxkevpKBPkUXvuXM2A073bQnicNrJQggHN1qd0Kwqs=&vjs=3&p=5&fvj=1	TravelCenters of America/ Petro Stopping Centers	Santa Rosa, NM 88435	For more information follow us on Facebook, Twitter, and Instagram or call 440-558-8643.*. Stop by and start on your road to opportunities here at...
Per Diem Jobs	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCqJbCncxRX95j8ihKyniYGOQBaBmmijwiWh9SCBuL2D64Nnj5fTO-jLjR1N6e0BRuCg7mWMOOS1QalBJFeaCE8Yk9_uPRY8xV1y-GNfXTV_QGS8sXLVl3Ew7Cm136hC1Bvrcpch8CqHB2dsPgihZWg1qZYdAfVOqFn-VmM0-lPgpNDe9D5S6I7bMAKKFA2tmINP-NqbZCbTEcACJyIPrg97Nu90KPFo2-kvFBR-VSkOZ5Bz0j0ctnbzTWhhQocnt7GV7VhxPWmp3IvjMU3HmNnLxt6L6v-BLEDjKN8Q4PZcMws_3kaneANEFFfoV-00N67Fyx0I7e579I1U1uYj9HW5yTdEJptGEPNSwU2yju_NUvmz4u09b4zcDV5y_TVHF4w1tCcilpFzqNwkYnaxji6kdJ7s1e-yqDOQ2lnet_bat5YxZyKqIib7Iw2wS0Dbvn1clClRhNSguoUJ7d54k2NIrgc00zfm8=&vjs=3&p=6&fvj=1	uExamS	Las Vegas, NM	For this assignment, you are required to be present at a professional test center, sit with the test taker, and only read the content out loud to them, verbatim...
Dish Installer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DABvJquaUQdJQMa2Ro0kaxSHLiBjV4weSzyKCsA0xIwx6CJg4YPBIqePgha9ZtF2XPcEunyj6SJEu_scVG2-mwbV04tNzp43nF4MoMo3-bqT0MKSM9CSk6DkGXOA0A8xtam8MVrRySHiDE7572f3b0YnZmg33uZ8e0qwmlfg_qxDJVQzdks-MKF89RXPDTyNrfLdabHZlIwtF6acoujDWjOZjTJfPJz3UDDRtTrqlOWv7FE6GBlBX_1wZkSw67oOL7OdcYunV3vog6TKOysPbO6zRNZM2i-58fg7A9WwJCjQVTeXmz_Vw2ojERwpC_sLobALyvGrSEkzGqbAp-hYI10IH7eLa_AlrnljinyUbt0KrCgRRpYJatP0obyex_XXyf7ogNDEVtFlVvNcnlAbYh5eGlkDlZ6ryAuHCf8kMytcskNuj41HaZY4J_Wa44B84vguAYNVsKaLfSBT8nal7esU9zJ3ftnUWaSxqNTiXaEY5Yk0GRVJLyvd8kdOHjHyc=&vjs=3&p=7&fvj=1	Today's Satellite L.L.C.	Albuquerque, NM	Our company has been successfully servicing customers for 10 years and all our techs and management have the desire to be #1. Oday's Satellite L.L.C....
Software Engineering Internship	https://www.indeed.com/rc/clk?jk=ee011ddc02e26ee9&fccid=99681a0bef0b8be1&vjs=3	Flow Science, Inc.	Santa Fe, NM 87505	The candidate must be a recent Computer Engineering or Computer Science graduate (December 2018 or May 2019) with a Bachelor’s or Master’s degree....
Scientific Software Developer Paid Internship	https://www.indeed.com/rc/clk?jk=bf19cd77ad32496e&fccid=9a44236192bb144c&vjs=3	Stellar Science	Albuquerque, NM 87110 (Uptown area)	Majoring in computer science, physics, math, engineering, or a related field. Computer aided design (CAD). It need not compile, but should be long enough to...
