job_title	post_url	company	location	summary
Software Support	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-So6vh1cB3hpTWUiGFv_Uco7n9A2nW4JIBYpEFO8fX2PQHzpottoramWK7lY4cTU_XjKuR6TgpICgAKE02g4M2aD8VdrkQ3MkiNbZmHWx1_Yq5T4ezQOEd9YFAZFfXhEUEG54oyj8nlbeXFVmGID_ZydF2QUlvmNY39-tY-jJDuA0j8-mW1pnX5NbhuF-PuEo1-THGsBIvkzIfduZ9XqA5k_PlPkl2OEViuyBzpGINpFrB7xvAlLO2TlKzoOgFOYUi1cGnJEQ2LqTq6N0xwztAW3f6KH5UB_4PNfH2hizpG7GIHnmCH7RJcIj7GeXAUqJq_s17Ff8GDAqPl0VVy-psllSEAMGmimV2p3CYeI1NKk2nN9cMypfSMWCxCkNPwI9uXuPAnUlWu1bfsHvWTSFoF9Z6-4O9or2A9OTGTjnPgcaKub7iV7QSc2kG2tu0qcOP1YBUUgzapYogoLF7JxVWnFpcGS1GWpx7uE0Syg4r5GkpShz1YKy&vjs=3&p=1&fvj=1	Sapphire Software	Allentown, PA	Bachelor of Science degree in Software Engineering or related field. Our software also offers the only package that complies with Pennsylvania State reporting....
Software Engineer - 5 years experience required	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AJZnZnx9r1BM8UzJG3xK_TRek6Zdho7nbd54Eass-6BHDWQ70u9mtPknJInsNl6aIlokNcnVl5L55PYFI0itO6MRU-1ff626Ely1VhD401b-GUCBua7u9756lL92EzWDEQ13Jgruu0ILpDRGM_Mc5--9oCo7G9HO0xQD3qN98AkObPbJXefM66KMtNd2GPorRMirAqB5eaCpMQiOLFueY-IsJoE-WTZEyZw1euA75Mq_0UYOMAIiBToOqz-TAyawXKGzn0-Yn5-5Gw6rR7aUtG_k-vYCNzhvZ0Jhl4QbNdoEorWzAgFdHx-JuY5cjeYLrsm3etDHWu4S8uYbxyZuH9VNbPHcI9Bv8zvLobQquVa4ws5G5BB1MK8sW-xWmHJ8d5OLJ4bd1jBwirWsOfqrFIpPZ2uphiq1od40FYh7ZKmUMDfafYybKMqjE94uZktkJeoYSGK4OWI2MA2JnWjoVIAAsITy6N4WrErrVe50lyyvh72eySgH57YKM8rj5Ej_skZBURzPns3AYUT-ymCdXVfqyWyhrDh7o=&vjs=3&p=2&fvj=1	Green IT Energy Applications	Philadelphia, PA 19123 (Poplar-Ludlow-Yorktowne area)	Software EngineerCandidate Qualities:. Secure software design principles. We’re currently seeking a Full-time Software Developer to help expand and maintain the...
Information Technology Cable Installer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AEhUIsuS-5LbJSBlZ8jZd4nTld7bJ8eeq84DUc1UNH18CrdUx25Gmqn5t37W_eZo1AsderQw6tYfw6w5FN7pM3cLYbvQD8DGKvLauqZ73tVOMD2IXwA0gZj4lsjMRBDgw_Xv-0nQo86COhDqgGNOEaWw-ZSeDlbj0fTXH5APyyqNFunDs-DBdgdBuxhYEf6VzsSPh6spupH3N60mEbO7FPO9g-JO4-FS300h7yR0RG8ohej__ntwZUrKpGjyPLVDdkbHyMZW3IO5EFJaU7UvepFNGLRKrZyaAyU6MTFpz1QZFBKaxDtV4_6ZMF0ZsjCnf8lL7XywPKtCnTq1u7S_d2eoAvZhUNFHmT0zp5jaHeEn60i3xf8Ex_v_NXjbbmpkxlRRn4Skbzb_REM-jv4fcvzYXjxrLF1g6yy2sXmqkLhHkQgEuqJp3ia_4SR-lfys97sSd3UmTnQ_OS2PzC8-W2i5DiRGbPMoIwAPhHOQi31y5tPE1vnPvN7XEiMEZzpooOdP0yS9InXSnZLLFELq8_&vjs=3&p=3&fvj=1	Dunham Consulting & Associates	Oil City, PA	Seeking a qualified and experienced Cable Installer and Cable Technician. Must understand principals of Wiring standards, Be able to test and certify cables,...
Test Data Analyst	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcN-CSYsSHqKwcM4umMtJnD7Xp83-kbE7WWiRRqmH493xW2bgfp8DvYy4QA2OntQ5doOaUwYiYEjlfoAZamsiJKjCrkFxDxJ7Jt3Yrz0pOQiDQ7JNXiQdGd6SgOYndOSj-h0c1GvKC_fljVrPesBa0Se_eMceAFmEmqjdUnFbvgnP9itybgJVcq3RoUk2-D09EZO2a8n_viLd7_8QZZyK8Hr5qHakHww6fbvTsW-lt8twcs8KRw0jmVMeVVzaDjDZDjJz0UssmAgjWPgTr5TYhyrD5P14Y5cF14YFXrrT-n2AWiFe8d_OMS1Aq_4pXOAYfaC-kvGU0RyHymwk8pohUh5ydbGLpDCiYTYe7R2xc-6JjwclZ_q33jAeJVaKRzpCCivcBpSVyQ5GT-MAJ6Rjm-WoScns9KGmXQt5ogynQA4vhJzMPw25S04FlQnpnbDZ9Mf6o5fRZ-MVYvSDgQDk0mJzlV75oaw1XBHAAgNvnfUpp4oACaAW-3H-sRBq70Pw=&vjs=3&p=4&fvj=0	Pennsylvania Higher Education Assistance Agency (PHEAA)	Harrisburg, PA	Test Data Management. Bachelor’s degree in Information Technology/Management Information Systems (MIS), Engineering, or related field and one to two years of...
Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7DRyfqonUsYaXau4B2AgIyT7eykTvOC1cfDKIYVFgQRvvp8wrqqboMzy8Gg-IkK4j7OneRyx0lmyGvW30o9jg70rGqIuO2NGqWicvZh8B2-BxVsWssLYqNFL7nJsSZ4FgbZqiZRQAmInhpCz4wf8nwejWOlCX_I46i3frp_BTM9b1zG2U8TVLyyfTEUIE4jfIOzQXdoap1n68m9HilBnOgA42NwsdYzaCsJPPVkOKLS1q9rVgA7ZHAlz1WL4o2pdVkxUe4MgUi6w-2RabWE7Lpxjtj3EngblGdf5fW-rBJNEshUmKTVh9HI75xSRqjFf7SX1yb8iwtb_e5FgyjNKo1nkLrybgpPGKwRMHX6Xoy70vMhkdNoJhYwHEY73d9aUeXBJ6Bv0T-WyIxl5cWZMB7tg2QKyqzqn5SrglNeWOBGNyGAcvCDYEWdEn9Nf1yV9LT7DiAs5TMx17jVv9UXjgS5UhpaK2HL6WkLSN7Cnge8pJ2jYfZ5IdVtmgBwTtGNLx6DjzVwmi0lwvgmW8grtoH_NEcvTd2auCDwmiCuTh5qDGazQ0rjS4rOL-c1OF-WESaPn7ntHnaVQH2Xg48SFy0l-8cVS5ZQFAIG5_DiEKpSN7JOSc9nPfwAS-ZGYk3-4=&vjs=3&p=5&fvj=0	Members 1st Federal Credit Union	Mechanicsburg, PA 17055	Bachelor’s degree or equivalent experience in Computer Science, Information Technology, or Business. Experience with continuous software delivery....
Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BI_SmW7Jc2NsGSlCclFSmpa1eVBi_pX6hkr4pp0DlKCzAfRqlLDHlaMFx9yelSVuT2Nu0W9Ep9XrQy_kBNw6wcotPscVgVGpNEhNg4-iWrqTwqoPpW1LZPmJzf8FnndK4RyD-TuG1u0RsTYwywCHPEOVL3NBYCRLGZy_2ESRkdSweP6PlMhdgURu11bUgH0gjzAEy6KbpdjQW-QsBnXndFhJzx9RD6kIQWVzFn9pqIK5KkZyfNVfo2LSVizJORymhZRaNXPY_wX3MGKtODVPPk0J18rUXDT2jpDJ2SMCVyPYxu2mELpvGslcJDlY2kQDWZhEPwh-gHgswJGWuW4LC6FyjX2HKR5WNJD3mSN-WPgC5lSH8ytMsoD4A2WEj2Ogkoy0-IFmwPwbG6oNRmtahaY3ork9xVO0PVytFZrVCTAMzzDB2AfPFcgwcw2px2P_VoV05hSdBlZt7pmgamD3h46zHbMLr0Lv9Z_APGToDyKFw1lF-b48XR&vjs=3&p=6&fvj=1	Deacom, Inc.	Philadelphia, PA	At least 2 years of professional experience in developing object-oriented (OOP) software applications. Challenge yourself by working with some of the newest...
Application Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DsT4UPdBVhWr5maQ4SqPrhs6nul6Erz6nt3HcjrXri2IkOg7N9iQZh4ch3Kn3ShzuFR-HVLQV6zWp9N5mSoSQ0rwdOzsSc3YY0yNpHg-E5ncd0yp17fsDxezCr-m-b-9NVjYuedF1OnxjofN8FKaDt6ANiwYwXmmwVvp_TDykdDKTs7hm8eMqSu1kVphD5KP6844DUOnVZYHJ4tfO_ZEvVV0Ffl7koeYMEyRk5zUJSicZfa58wV-XmnMidtEkvjhhJEhK0aeHyeU469SQi3Gjtrx6NBdHbmMCK6bNCMOdTngMusoTCSqpnZrYKjjWw3mz3zOYbYotXZJJcBMXHzhzX1_t2hPfqumSRTIl6v6UKIFpMNpJGhRLa7TI65Ugjh1JOZdX5ywlLdhR7T6gFkj-4qomR5bSerebZ382Qx-peIuq8sbD3OlqO_ZfjkZXPwJnRg1MDYtEF1ohrPFKv8NMl-SmcaG9HR8JYwCnhn5IkaxQ5oXkqGWUd&vjs=3&p=7&fvj=1	Century Support Services	North Huntingdon, PA	Computer Science, Information Technology, Associate or BS, degree a plus and/or equivalent combination of experience, knowledge, skills and abilities....
Entry Level Software Developer	https://www.indeed.com/rc/clk?jk=e20f4d188112f8a4&fccid=dd616958bd9ddc12&vjs=3	NetCloudTek	Philadelphia, PA 19103	Knowledge of programming languages. This includes correcting issues in existing software and developing new solutions....
Software Developers	https://www.indeed.com/rc/clk?jk=4fbc037a65fa6ced&fccid=204dae2a92821a54&vjs=3	InfoGenius	Allentown, PA 18109	Bachelor's Degree in Computer Science or Computer Engineering. Follow standard software development processes. Work for a company in the exciting Cloud Software...
Data Center Intern - Summer 2019	https://www.indeed.com/rc/clk?jk=94c0fe4ea5589abe&fccid=685f1c54e4bd3d78&vjs=3	Datto Inc.	Allentown, PA	Use computer hardware and software to create labels and identify equipment. Shipping logistics and/or previous data center experience....
