job_title	post_url	company	location	summary
Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhfJ_R4eHgNYy4stV_NRifcoMurw6Z0oFa5smza72AvboF-k_cttq9pOd7wBCd4AEompbSWE2ojIJNd1GF2um3iUqK_tyIimzOOFxwgIYfoElKV0FaEsKiK9jvrDtoHFGTTvJh0aKo61CD9SYKRIlPMBJJpI4x3GpshePkw0NTaOVwfpaGOVw1pCaeTxKjIEDnMVY5XyBB0aYpu5LjpXDVco7IvCLESJOtJXIw_hXaZXkFwYSooKZ1JTKmT9N3Uo4SBdMDJaljZXMQtaW2GMNa14kU7vk69yeGgJe8KoPLnIqGsEGAIyyxHANC103Q6H6-zlQe6xBsMyrUgpFN74978uEpSizKfAeBzR7vNeu7miBio3OjuJD4igOK813padSrUGZ8QPOcB0hdu6ur0-BRWGoA8D_4lEkJ2JNwvAdNBKWTo4oSDMS7grswaZcIxRYB9V-8pkwJkaN08NIQd9WdwYwLo4_6sk8w6AjiZbmFfb3btgKggL8FXcr2r9_BTuU=&vjs=3&p=1&fvj=1	7th Gear, LLC	Charleston, SC	7th Gear, LLC is seeking a developer with a passion and love for technology. This job comes with full benefits in addition to a flexible work schedule where...
BarTender/Codesoft Label Software	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ac6JiwSwzOZ4vzF_jS1ZuDnVgaXB1Xxusp5PqG2lY2840zdpbYR3isxHHiABhJd0B4qFwrC7iWBY5RUUYiS6Ig1raOVrK8q5KW89b3lop-8VDvCnHi6MAp0kLQH9W1vlziCXHi59oi2uFeErwaEAG7kfHr8UGll17xAKqRh6FwY40W1RiQ5SzqqkLCU0hxt4venC5Jtqol539QHOcLNpMsnvdAo1py6SbJVT1O2oEt2Lig1GcQLRcmJXcjorwTTUqCAit4vviTjok7fhi9f9aXeuRijoT6pYYOrBx4YyE8z4lDp9HiWiXyGQBfQ9ZOByUafH-PAkbiAmg5cbuAXHAk4XjrLxx0xqo8ughHwsyS2yoBKVsncMvbYV5Y9TeE5mquWtHJGvweWtVbuyAq9KiE12gcJle_827gYLQo0kd5BCR8rNtAyJ2eI3Vv9A3Vc7XhGOhEZAq2OLUP17bkuxFuHlLia3WSv4VzmPbYbVzPkDTwnz67hDqSQwANT_2zcEaST5EzIbRI6A==&vjs=3&p=2&fvj=1	Piton Labels	Summerville, SC 29483	This will include connecting the systems to a data base, importing art files, etc. This is immediate opening....
Software Developer (2019)	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aq35gdZBfsq7L3ZTgI22guyZlEMw9huiAFacjfIyxuFpl27dJMYQenFfv02GBjc5uOgpHil7Idp-zPLYaTz8nvbUtEMy5K2Y5vt6rPYxsRxWqkQ7vDCUEkqngMS2eGP5MMP9KwK0IM7AGM4v_3p8JC1iF-62RNPBvvyAQaaSHVZvqrUfNwA2Aun6wSs7RhNiukHvwpCQAaQ7y4QGmrIHhJLljFxZBHbARUXe1uQPFRjdTnPToUKfdqu7SnxoRm_RJpIaNI6UEx_vXZ0smBVj7LOAL50G0WF2TQy-CKgqu-O6QhEiPb7Fl5_pX81H-wIUjzN1rfoHC645emTqmatMSTaybcU8mjLjaF2lc8NT5RM97gv4L1i2fA6G7fMqtipTM9JyWBl_1A7vQQiASf_M8Zl0aG_Z9Vgs_WP9uipWyNrXAvjbVAUx6ONnZGDxWgX2D9Jn83knE9s2nxFWg65QO0&vjs=3&p=3&fvj=0	RSDCGROUP	Charleston, SC	Software development and implementation experience. BS in Computer Science, Electronics Engineering or technical discipline is required....
Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOvln7-h0nAc1lnz7b0aON79PnO5YfluJeuUIImyjH7cnbockdzUSahxn-96b5KOQTsFQUQ-fVgVFivAfhiSeSzpbdQje8I0Xb7if2lJFHRlMgfvY_qUFmbyADMCsr8Y8JIUfFvYBrcFAMkBgIOkLJZinKyY_9Oa57ip__rhUCM-bH7zSiaYCoxDKgS5AuFeqyTg3FwEfzzKPZ_PTtfua8-Av8QczcYz3YVDx6manpUffBusobtqaGruri9G0P11vqF0bhMVivQEFYBc1CRePAjnGB86fbPIjKRI8C-j-t6y2eQpKBgDuhBJtMJO_1gu6SvABxERrn0M8R_J5Ko7F0bf7oihE-VLk5arkbbdWaXXhp0GcxPSk1QJ8naEG5NeiditfHEEJQGBEiaR8A0k0ZHJfatLBf5zuuqsb0aRNdTI1bIY387AqmATyzp8lB-HF0PSYpGCEG6AyTHWLm19CjOWRkp_Uc-o6lVAG8HMauneD-ka_loReQ&vjs=3&p=4&fvj=1	Heatworks Technologies, Inc.	Mount Pleasant, SC	Software Engineer Job Description Software Engineer/Software Developer. Allocating resources to complete programming projects, and designing detailed plans to...
Jr. Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DnG3uErK82nFFDj_HDuPMEGE1orR3xu3sd_YZRxzYIZpWvq7w_Dz6ej9LL2-ZD8VrHVkBRcOZxKxmLRs2gUATuABAQLtk5cbKNf4Qo7Ya8DH_dI4FIciBQk7YOPYiFySWIBgu-IUQQSZkUnSLxOKbrALssWETIu0V4PkR2XgyjiFxDPSGF3OIDW1HCHmERINbxzxWfGGwRIOuzI4QFZM-uYmqMCPutZX0TRLlA6DoW3LHy5kOZp_5RQVOSqQW4Iv1bn5t_cqHFvheFzRPwe4I342IJtuudIIHctrhqgCHnCRb0Hf1ZjyBA0A36cVlUNKxAMBEW1utlkFvxiOTzoxEPTlyoZoRYQeKQbPqmorqRiVLTEtsySKBPhwdCRqLTdUnONl-VmDe2z0nA-GapIS3IUgM7PuyhzSR-YgeDu9TkSjrA7zHyAuk5GN27ERPnd5eoL6JkRK9Rxc1ibkw9zUo7lwOoBYf8m0Sz-FbtxvKUCOmx6rETNv4-RgoFcx73prpzIZIGZ020p1719lnU-mLVxNZ6U7_x_2FU3nBLHhbazgtWc2J4C-0sH5bhL5ZbphKCwwk_IMQlxg8hQKwJTYH1advzRV_gurAkJCJSnVU2X412wMr4DCR9J7H3AkNgtu8Q24gtHePqIGKzLCkuc67Dmrmj-qHzrzD7a8LHLu_ScpE625CEqAgem0rzQIlGPTLgjazqnocyOw==&vjs=3&p=5&fvj=0	World Acceptance Corporation	Greenville, SC 29607	Gathers and analyzes information skillfully. Constantly operates a computer and other office productivity machinery, such as a calculator, copy machine, and...
Senior Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bnr6Dstf2MC5924ft3YsSUxHDWPHrzia7RVwxb4756QVCnND_h6bM4r4oVL8azYAD5D1eQbx-DjGz52m-UX93aVbSt1C9P2yGTEwCAw9Vo26HH7zqL6GPSi7c2rAenitYZtVVtsQcvn3vlEyZBevo_AEwdxSe6eMDx4Pj3RX5h_0MFaabr9fXa0bAKiAxp60urbdVQcq-J2JL127H8sG3dn0y50cyPrlj_d-05lBaDl-UyMWPE-pFwBskDjGCg28XzUcil7G5X9A37DQxArSDvPF3XNdacKtrduAZxH6AiDMcV_UEyjix3Uf6yZ5NbT6MoWVhxZVNmakadi1pZDHto70FEaO2gG0brt9t6KrqJ7gtU71p6O3HXGqohi_lYAXeTHRuF9c15GYKn-nNE8J5XfxMjkwAHriCLvvpOQhOJdVsIqgTL8Mg0d0G-La7noC3LnDVG33X6pYC5PblXbCPyAO1KfgE9KBAeVKXfHPeFDj4i8QmcNwvxOsVhCIvzTCc=&vjs=3&p=6&fvj=1	Morgan 6	Charleston, SC 29403	Perform complex analysis, design, development, testing, and debugging of computer software in support of clients....
Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bnr6Dstf2MC5924ft3YsSUxHDWPHrzia7RVwxb4756QTNK2Vxj4UWROKaxLMDdyolb39AI3hpb9KudhUVeqKqIVjXEuMt4HqoQjdqtB3sd9MCtXR1fRhYbQMpKW7Hz66G7AAg_uFrvGAxVXUW3iug5cC5fDATfbF0s6aFyJVZp6lzDezZL7EDqWBBMmdq7CBI5IjWZGjYkB769ZyPyqMcpx7ygRjouie27iZEEyIKlWXSs1ZVI-MiV7A0jlIvTjX1MhLiyb1VLLl_lvpu-hBWF9BVd5D9eGeMzhP6eg7M9OJTYZ6_MGoxDvVJtrdAUjmue4Atxev5_DJZmmlP6mtljZyZF4MWDEG3YjqeGHleHXSne9VKcxSl-MhUMG41HnlalHsZDmBM2OFj_R0xkLDIdmo5h5eOYBN-pj8-ALrmup4kii6alEN9_coGnj0ErP6zv6eqWe9vMTSXnO3djrI6v_zoyUw6DP8aEww1_ZC72xEWol-0dyHYM&vjs=3&p=7&fvj=1	Morgan 6	Charleston, SC 29403	The developer must be able to create software in a variety of programming and for a variety of IT software applications....
Entry Level Computer Engineer / Computer Programmer	https://www.indeed.com/rc/clk?jk=f95ddc1569093c96&fccid=8ab49380963852ab&vjs=3	Savannah River Nuclear Solutions, LLC	Aiken, SC 29801	Other Major Computer Engineering or Information Systems. Major Computer Science. Develop process modeling or computer simulations....
Software Development Intern 2019	https://www.indeed.com/rc/clk?jk=26130bb6e15c6099&fccid=22ec6ef3cc441ac2&vjs=3	Motorola Solutions	Columbia, SC 29212	Work with software development team to coordinate development of new software features and resolve issues. Programming experience with C#, C++, and/or SQL a...
Software Developer Intern	https://www.indeed.com/rc/clk?jk=080fa0e4ee1eb0c2&fccid=c4464f2652ab3fb9&vjs=3	Micfo	Charleston, SC 29401	Foundation knowledge in modern computer architecture, data structures, algorithms. Knowledge of Java, JavaScript, React, Go, Python, or other object-oriented...
