job_title	post_url	company	location	summary
Director of Information Systems	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BtTJ_g8aOfnufwFRvdYeiUY9y0DthUi8D4FHvPa6p-zQgT24j19MwaYpILuVMaq01Xew0IGd8o7o1nn9FexdQ2hZ_J3oVVySNivoS-fV2DDWCC4sapxloJmjQymCeKopnZ_Q7T-eBzC9tvGy3AqsoJ1YOoyFLB_dfc9dspMimyaELnKC-KV0EOEsLo5mb60lvWu8ADdeLmZF8RNB8voiJlKxI2ApeF8BvV6VAfMsyLWnL-Wa_sawIJClN9Q0AFoirFAN2Z0Bd8wzEFlJJw5VyhxaZtuzdYKCcSyKRdq22kKNmvdfErtUQoS0EZPDnn5jM_5bWYzx5Uybkaun9yHJgtSpcjqnVzSjogdtXpjFbWNS7i6u6JVuh-T07ojVCZc1lAR2fJZH7ciOBbN_UGN5cOKyr5MEUeB9p7K-lYzYa-becvdtfqwXtJ68wvMihjHFZqwtAm2i0eBBiIi85Q0ZHrhpB7aqR0XJDTEF8hffgK345Dkn5Oq8QIbhL-T93UIQoBN1CFYmlK99n5p6usM7X1_UDM_5aBAgEQ3RwldY-07awq8xUy3OaZzZQea0VNAi9Q5g3MYpKw-E9NeW17ZNzNSy59D1GWRHeqOmIZdyYU8onwOp1S48UBhMDlhG18qlMKyABGBSzTOpqFo1XhbOAe18S8I4jlcCAyAaqqU9fFmlHI_zUnwTF7&vjs=3&p=1&fvj=0	Friendship Retirement Community	Roanoke, VA	Experience with Health Care Information Technology is preferred. Friendship Retirement Community is looking for a Director of Information Systems to join our...
Software Engineering Intern	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRqAlH-JnDNgekFC7J2VEVO2aVNYRngSnN5mtAVaqaLpj2Sq7YDoJ8A8mAZAbKFE6mFwGWo1jKEskO6CU46Dy7t6m07Ho466lqr0HCy1nGb-BQbw60yrVTIvU7zubOl3S7OZexOY5QFAORPFsSBlFwjQW-rBiBhpr2vwMFzIpUFrbLft9Jb_KsE2Bz5Q7WeETku2zxYdTB9t1zxAp_JM4v_ABaySrjRtFK4jsD6-SY5dkwF8vyuJI-ETqpQ2vs07PiaqWyg4fMy8mUAIsHRWSMTfRH86KU1JdthvEnsj5vSj8GCUq5t4bkvfVJYbRPpCE2AYq06PQQj8idAcUcN8fopnJzrF-0QdNzLmPb4bBk_qVIQEZvNKduxd2sSCBG_MTHYezaEq7HeuGhpnkkwWnP3UXgJHxCBbfqMZcpFCsumwZE8pOvIpeX_ZTCdbgmoVmjDZGTu5InB8SUwbwByPbFRva57WXbgdzER-Cg5fQAcookAot6qcUGFqsrKCat7MT5D2M-9ATQO3Nwm_Qv1Mjzn0DMqg-85MIAA==&vjs=3&p=2&fvj=0	Leidos	Chantilly, VA	Experience with software engineering methodologies. We are seeking a Software Engineer Intern for the GEOAxIS program, in Chantilly VA....
Software Development Manager	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ClDtCrwSJZ0kWsTYt79Izf4Y01pp4Vi5ageK6aeAVJRlMkMEq04KWONkZDvgNOxY79ry1eHZklkn44OCbAjDfJUCfm2UVed3VnEU3nGqaoLLYeLPcoI6H6F2WsapFVHTviHHkF9sj7LGYSFb_0jyoe4s6RHF2LQLopN-ko-MyGEMhFId1iG1tqDoJ0Sg3ssO7ThosMaCbTgwNGJznoyr0bR-x6nwRM2yUq0OUKa-35lTfQmI26Eb29PQnLmi3b9S5NIKcWpiRbHT6nXsO95VB5q3_klRNYSV_vttzMyND9ox03u2f7DiuFjxafgObZcCwEnI0OU0aMcp1Pb8oD0SGXANRL0CZGRrh67UDV3D5pmFKJtDaVypa2VMcSxUDnHpMqZiMRrMsGYFIQlvCzyWbeQ3p4Nc6hiffuPFEgJD_-Kk0h7jk3NAqGRocER7OGV8N45oTGUNaZz_fziQy5eDjQd-r01kD7qWRj_3bh7njlsUaihriziJTrfFSFTWyEbak=&vjs=3&p=3&fvj=1	NCS Technologies, Inc.	Gainesville, VA 20155	Minimum of Bachelor’s Degree in Computer Science or Electrical Engineering. We are seeking a Software Development Manager (SDM) to assemble and lead a team of...
Quick Base Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C72lcrZuSckrYiwLl5LGpFpkkM0jbhhTgzFb9V0LZHqGKEIKXm2GePVhaKSdFJCVYJHkFBpVJ897GgiWesIq6yS7VBavH9z8U5RDolXANVWPScQlPmB3qgxebMMqkYAMWdABx6P5N4YNbM4kKDC4Fq7VREs5z7oOr4vtPZRF_0nwDsBNuXfnBBArhuSTuuy5bfSHEwaSGp2F0MbJwj8Z6gHJq-ZHJ0emUee9mQruWssI_-u0IISEUr6zWCe0uDhEEW0qM4QbE_IuXZlecoq84p9iAlABpOxN7bpBHYI-QJqc9CGs_3wWW1EyHcYlWdmmW6AFEQcYMU1BoByF6gDgBz9wsUPyRg976GQT6OKuOZuoexvdMiobhljMmWWTeJ1XlZCNtG-TFu-ZyzvILtnVIc8MzFxfwyLmZijRRQM2fLNINpaRo586H5Ux7JxKu7hTBwGZqIamZRYtgdBtoUS6PYHofxSdkGSDyJ1Z6_q86ky3JR2qSDv42n&vjs=3&p=4&fvj=1	Sympo, Inc	Fredericksburg, VA	And a demonstrable proficiency with data base programming. Sympo®, Inc., with an office in San Dimas, CA , is an award-winning Quick Base® Solution Provider....
Software QA Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dhy1Dp6ZJOto93m1fOhOOCdBuJI3jFIn9Y_DpAGA8MgmuwRfo-33Ba9VQNoiMvma9SzyLvxGKDgWT5xfDeP1Y3TZ2QmGXTzkzD9GkVd_EL7U8Q-hCpuF-AbdtRfmo1SCdPHS3Zh9ms-l7OCGjqbA988AnAc7y44JoUwYVw6is7rh-3-_fhZ9xMwEVhMKFwl3PTVL6YDT6WhCJCX0D2PasYZUF8K7YLiSQISrP1VmbZbs9wG7WTuLTFZuwalbKBtUQ2Yk6dPHyBWseLZ8K8J-Ll-PNp6F8yzzxN0Mbrp7NLdCz4rFd0FdqNvTLDVz29KSVDR_ZGsebCd4mBbLOW8ELC8odZXkeXMI1efWABpmfY-X35r1XGYpY__vRY8hD1OfPWxAv4bLZSGGPOpJFP6gn4ZLRInUBzXzYLBJ52s2CCvRsx4i1nBodgdQcqkLRm972rhBEzTnxFIBiKO6hFd_8Pr_iMshb0se6lvxpVdtFz9uGvhPqYM69m&vjs=3&p=5&fvj=1	HealthSavings Administrators	Richmond, VA	SQL and data analysis:. 5 years of software test experience. Bachelor's Degree in Information Technology or related field;...
Intuit Customer Service and Tech Support	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWcekRklOJqqo_LUbT2f6_FtWhelbDasQPy51a8c3UT98KKwhIee41SqdyrliIMbAmH_LlSqVjy9S3_ouCklUSJCaPuMQV_jNdrqW-TD_Gz8YTtHmEt_xn_5ylkCM56UW3CPngPgKo9cfXc7Jy6ETx3Vr_0KBdrIqrEw4EQP4M-LNdq7_4LJPomb6kJT1P9AlaZ6lziHd61F5C-X4iem8qacXQ-nSiKGV8yk3yuADWgTHVhLvEufngfQyMopqvMQf5szrTy04Xsz_VtewZ1LbHeZ8HELw1KsU9U3HUIgum_47_0p4tvOuplcUOZxDsTgxv-mJeM7-uhH_Cbv8dOM8yDQxGasF3bwZcS15anmA_cbEIgJHJNeObUQhmxRFyJAZH8-XyAAybsXZzexaQlIvgmk3_e_FBqDjz8XCazquafrlpym96SjjtCnqltFj51zNcEnp4PxZwb8ExKtyX3NdCNc1veISQHnEJ2jRmg0eUM6KOoR3EmZpx2FPkfVmEX7kBsGox05oZ2T4pwUoLdjAz70H4fI30S-4lmixIeRFQO1xOIJ-stocw3Bh4Olcu0Rz8vvLbBt1nyWN9I-tPBOUEwIbZiKdNvx4-7JYAjP5tJ-PqTzxko0DqY8idMrFa2Ps=&vjs=3&p=6&fvj=0	Sykes	Wise, VA	Including hardware, software and networking. Be part of a team dedicated to helping Small Businesses succeed in running their business!...
Software Engineer – Applications and Integration	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dhy1Dp6ZJOto93m1fOhOOCdBuJI3jFIn9Y_DpAGA8MglLIXhbP0M5wM36pFLcfeMAMSMGr2ZeFtvofik51xBWkYKb7_wMP3k0eVnJYaLM8IoijNNnwbvO0Vtaafro47vqeLwFcbQzzTQulLsWU_BF9VhZTsfy8MWj0-SSjq2gPnJ7WMS5fJjhGwQGwNrDppVsU3cIOaiw4j97vuZeHTi3qL-h3qo44K37uGcd6YVkNXf_gUczvzLImyVSHy5dpAn7Ydbn6tsikvuwbYle1GN_dCDC1r49fTNQ3IQhPcU4Rankj5zzNXT13atTzTKcedvHrv5UriJSSWjAtlZSy7HGlFGypo0ZXUhhHln2gNaWBNDvmCPjb19347FlArUfPmpnkTZCddV58_dRteAxokhbfYoKRIDsRYKfXwKwMBx3J0FVfgutrFwo_fjdK02ZsSx6x7pTP6GNsoPX494J25-IjwcsvOSskGoY-9nM8dGsw7bZMAm_SGcPsWuXhXoDJmfkh4QGp2JxoTT_ZpshSiCZd&vjs=3&p=7&fvj=1	HealthSavings Administrators	Richmond, VA	Data Integrations, ETL and Data Lake:. Knowledge of Data Integrations, ETL and Data Lake (Matillion and Snowflake highly preferred)....
Software Engineering Intern - Summer 2019	https://www.indeed.com/rc/clk?jk=8fd9f2b3a99659ef&fccid=c9ad7ce122ee96b8&vjs=3	Aclara	Herndon, VA	We're at the intersection of communications, data technology, energy, and national resource engineering. We're a hardware, software and network engineering...
Intern - software engineering	https://www.indeed.com/rc/clk?jk=1fb179fcd45c33c5&fccid=047b62455c008da3&vjs=3	K12	Virginia	Intern - Software Engineering. AS AN INTERN - SOFTWARE ENGINEERING, YOU WILL.. Currently enrolled in a bachelor’s or master’s degree program pursuing an IT,...
Data Engineering Intern	https://www.indeed.com/rc/clk?jk=29f78b3248a46e47&fccid=cc35f9c14f8799a9&vjs=3	ICF	Fairfax, VA 22031	Knowledge of Data Modeling and Data Pipelines techniques. Pursuing a BS, in Computer Science, Engineering, Mathematics, Statistics or related quantitative field...
