job_title	post_url	company	location	summary
Software Implementation Specialist	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BltnRxnLnL8qLM-M0n3ijvUWsYeNaTjjs01ecE16DK11NTKwgVftuZ0lKis0zgfeYrd537sGNLrysOjj7D-PaQ31i_je0Sf6uxpJ8qrKjeGrFap0gFtD2vVXhyKyN-Ap-_JUuQv9Spt1bypVrbd9z6bDquuzxEPoXtu9mowVOD0P7paKiHByWkntHNCMujEoSLDz2j18UGDeLVvdAhrpugFx4QkF42agDInXqyByi-vVyMf1yLcVlvRzMkN0c0kplXJQWq_ci_OQIKDkHr1bNUr2OlK-rijGEMEDxlWvyIte1y2whEFQSXnnvWYqXMLJ1yIuMDvnHvIM3d2wErajWaoYZ3EixqJ8Qq5GDVe9gM6a8YHx89bO6Hof4tYxz7pN6_hGcAwmXRrOnyx9MuVISEH-qXQSwfOP8yuo-YGsnrFsciV_qbso-GNFBVL3OmFPFi5F7OnkaL-T7-MmAtSb15uGx6Ku7nFrR1TYQ1bUt-9DwCEBFQZW5jP7WPZsSXFcskVj2cgX8JvQ==&vjs=3&p=1&fvj=1	Vermont Information Processing	Vermont	Preparatory data conversion and hardware set-up. VIP is seeking a Software Implementation Specialist to join the Installation Team....
Computer Programmer/Analyst	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AqbkHCCudVK_2FdXWDGmLIwhdDnR0Um9uBYt0BMQUQ3-vahDWI-PcOyvFlfcrS_LmGya24frZBnfC6354gYJfjgEiHlnRyALoGABR-If8xkc9Ki8JZW82beH2e5xRU__RIsWtp-SxDKc6GgjJWWnn3Dr0qORZSDCTJmiix-dv0oFKg_B8_4gwIWOynJa4ojt2B8BTLAdvEa7uyYaf4HmdMNPlVrdMM2wvU6Q2PI15wdokDrL7BzhFnnDB1Sksg8ruE92tDbdsqFYGRf2OEet8ILrn728jCwVhOL9J2jDkj1AnomHTzNAW1TDgu2oHy6tm16IF3uhohmSBjUZAmbfOivg8znHwKJ-RyUelDQu0DuLCCCXIuIkvGKjdxudxx8gyTXK9i5_QCZK9jXWl5zAkKoIoCsQo6E-mEhydIxkv14abrLJG0_DSpcFYorgaTT-9Kj0dZksGmRI9uGL5VAzJCcvJ0iqzUdIrX2uM8U9PUkH9rLE76wrfT9_7UESpETLNeNwtOlKiBng==&vjs=3&p=2&fvj=1	Louis Garneau USA	Derby, VT	A strong knowledge of object-oriented programming language. College diploma, university degree or equivalent work experience in computer science;...
Programmer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXjGrE3zOlNl0sRUHGAWnes0xYepF1JUJIeQHv5aJOMhPFRJmIfpABlPogOF7ExV-eoZcET8hZJmoMj2zdwkDjlqkfh2UM1_I78ak6jNhoizWzzDQF2dd-Chu_bs_BYV5VfBKF5t5IMesYkQ-SHvS4drHhGxs6SOruEQ7ZZjIM44qTmPFMwRjLXkXeSTiGkXVJ98VTPpSZcVXLHTfLL-9IqQvfE2ZYX1cpdzlM_1Vms5pLCc0hh3d_0yENIY5Md4lQJCLbVcL_cafbOBdNemql9nF2IDnYwOBzZl6MsJQ7u1gp6yowe-s9HHCKt644ML8ZF_WdYCuDtKUPyICLLj_GdHOtro2IyW3n8HGQ1Ru9g2qvqKvnWGsIvM99usRCVHqnbNScmRBBAaUl51EGsIXiCjg4lWzsXFU96RAB6X2IgUXpdvda0fceYTVcoH58AZ_72-dMfQXjUYiGHz9Pk5e_ip5VP8_gvPI=&vjs=3&p=3&fvj=1	Omega Optical Inc.	Brattleboro, VT 05301	Software certifications desirable. Gather and analyze information. Enhance and maintain procedures for software testing and issue resolution....
Merchandisers NEEDED!!!	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C451fb-KrnSO-lHAkxJc73GJ3T_VJIRkbyzSLfrSnByRbZADJA_GRvBRDjL0NYLUQQaJ2yYCCer1bmngalNrY5ZdpsIuuWL0q-MW3y7azW95MUXD4yb5OZRXNdmQbDW7X4b0oo-DFqQYsF5nYu2rTFOaJnkxQRvHg814yYzAKkRiDCKucx23q8SaL5f5Q6wNsNZxEfQUorSWTUV9pLenBuhQrX5gq2zmqsLV19cET9g5KetlHLXODJjoX0Vve6hV8iVoZtF0sKDUMyRw006CZNrTT-sPaQJbq9fyeHYTZOriNpnau46vBCm71_YH1e83Fe2W0IODxVtRnAgpMtn-Ne2SEhts-aTO8bdgkA9O4_mNWNKCZGfBoYo7kzXDgI7ePZsLpGCTNzpGuE6vEcQxFEYe70mdaCewDL7X22YxACLZOZHyiJKAKP1OaIPgiq3Evi4C9MLZm5Dng7c64nGOrQDEpjqdde9h_HdQVt66U54zOJAG5lJupa&vjs=3&p=4&fvj=1	Hudson News Distributors.	Enosburg Falls, VT	Please respond w/ contact information including phone number. This is a PT independent contractor position....
Data Quality Analyst	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BltnRxnLnL8qLM-M0n3ijvUWsYeNaTjjs01ecE16DK11gYVASIwR_BxvJieaSturQETt6KiwF9uv6Tjzp7q9GHHib1DSqVEe6KMKgarfevjs8VjtXxX_KIOCUYi-jOwe9KNJtOeFY5J4qtFPiV2Du45tKiJkGUvyv1p80Lxj7anULupFr4ZhXebzTWTJ4FdCZicH_cUHYVnmebyW0IgCGgMEbGmFl2Gjb39gCvMExi99ZUQm0M1sikATELoZ7qcA2ik7gGjILC39dpaPpG4C8C1t2KVzfJUFplRhu_QfS22wTl1EnwUiOWvkQb9h7FpyS8tiQiR5ks9wxOhlfyIstF0gXGFVocmakiQfw05jsZTBq22UGw3_yIKDbfMxM4nRIevSThHIo1vkR0s6-O0INVmk7f1_51lE--ZT6xjaUYSyu9DE6B42GSeqE-NTTXWrNaphLYYNGp2d6Rcq6KUgnSppYTo5lTpAbqDDg19Nf_CuKzRqGwsvGs&vjs=3&p=5&fvj=1	Vermont Information Processing	Vermont	Strong computer skills and knowledge of working with spreadsheets (Excel). Strong analytical and reasoning skills to assess and implement information from...
Front Desk Administrator/ Patient Relations Coordinator	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApGGeQsb2rOxyop5U43uq7GbUuAivBQYB6Tq2mdtLZZX2WofSWPs2UimmkO-UMmNEhnQyOEAGkurfaIDheYRagZAnskYRn6KWH80EOuyKm6JT-dpoOhMGlsW9O6_a66lXAGxNnIBLH43WYlXwS4vLOOgMdTV0o3-wC-v5bu7rxkBKwcW4Zcd2KPaaVJqOYpQWa71Kj9f7j_Jt-RIW4PgHXZALeiHjTZ80uVeKERd-YMhan14o8O3F5vbhoYQyDw6gzuK-WUqqYYzHFVlAL4-uWFl8xfajCXxXVED3tOZfwTHtCGWhN6v6pRllLHFtuItyHEvqBDCdh2niX6uEDyYev7QxUyqQ2TZJY-_NuKdRHCGchOVhYzt7-UvVdnosAV6NdW1IUjwNGtlDi2XKlH_4GI5DKwqtAJhFrZC-73YAodbCf-khJMXk9Ogx1Fh_PhwucmFgEx7xzAGVBzb6HqWl1D98bIA863HZ6ZhZ5YmI31yWAy7-GQA9b01t2_x8mwQk=&vjs=3&p=6&fvj=1	Chira Orthodontics - More than beautiful smiles	Burlington, VT	Computer skills on Macintosh platform and a background in finance and billing dental insurance are preferred but with the right candidate we are willing to...
Network Administrator	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDAS9l9J0b9bEPYJuonvBuLLCUVMoNVdhbvUVgUfk3pHKzyzvb-s-hcgqs5f5-Me-eKDmKzm7cGzoQfpmarx1Au4-Wpe6HPyC-HKrv48gkbG8VCPwqLBHFQ5wuvFNdldPWGtJ1K91aACto2QVmldij2YFtb0GMlD3XW4Ng1iBTpCLAAIpLyW_V9LLZc5OYRaJIYVBrP5MQxU3ni1_rFD11aYFb9vGu6c7Kq_sKdbw8VIx8SfLaKEqsRlSTMBeRUBgdkceXuwK7F2dgX4lt9AKOp6gcmFHhN2tuhqAT6WC6JCScwAcGvjWOP9HjTeG0iewziezFNTcLyed8eRhzYjsUgnNSDQ_ng_jB45xXvK0kgRw3NE0aE_DDKwUJ8wNn5mz-tfwDBvB7ZRTbxmNZRk63puhZtx1anBA1gHcEF3y5UMpYSuWnKLaL2CorcKKoig2I1SXziRIYf7Y_86B2L6-fis5vil8HdRjUR7l82zr3c3VkbT5KVWZL_98Zj9iXScU=&vjs=3&p=7&fvj=1	DominionTech Computer Services	Williston, VT 05495	DominionTech Computer Services is a growing technology and Cloud consulting company. We are seeking an experienced Network Administrator to serve businesses...
Software Developer Intern	https://www.indeed.com/rc/clk?jk=2d71d4912ddcbbbb&fccid=c7a4f45e467435a8&vjs=3	Harris Computer Systems	Winooski, VT	As a Software Engineering Intern for Systems & Software you will be able to utilize your classroom training in the real world....
Software Technician Intern	https://www.indeed.com/company/Control-Technologies,-Inc./jobs/Software-Technician-Intern-e621cf7fb799480e?fccid=c4f2cd306072de61&vjs=3	Control Technologies, Inc.	Williston, VT 05495	Software Technician Intern*. Exceptional communication and computer skills. Candidate will be assigned to support the programming and commissioning of HVAC...
Software Developer	https://www.indeed.com/rc/clk?jk=b205511dbf81eb45&fccid=a20e89207dc52553&vjs=3	Cabot Creamery	Waitsfield, VT 05660	Agri-Mark / Cabot Creamery is seeking a Software Developer to join the Information Systems (IS) team in its Waitsfield office....
