job_title	post_url	company	location	summary
Software Developer	https://www.indeed.com/rc/clk?jk=f24d486c95b7ede5&fccid=f111e212e6da523c&vjs=3	ANB Bank	Cheyenne, WY 82001	Prefer 4+ years college with computers and/or programming experience, work experience will qualify. Data retrieval using SQL and third party tools....
HERDS TECH	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BidgkETkkLBvW0X2R1x_UaQCP39oSGcr_8SY-DqoIIoIp4EDSdhftOYMUM9CnkgOhT4FbsBSv9K1UmD5UPQ54kDeZ1KclLgOi1Geac3ejN2sGQXWl4_AkUkwo9S7NthVEe9UqPDY76sQdmShEI6qMYjU085RNxcxDFPhROyoW5WThcqY1kvjtGc2Kq9PXNFYOSLN5yqCH1717rVzTjZ0KKcxnYOB7r4k9-nVzsxA9aPBJMcYg-56rLK9R9GSPWoBX1sSEM8G8TBFmmnHnaXaLdeNEWzNkRKXaP1FeRjRe3J4DXf4zcsZ1B-2XD92w7ImRyPMpkCdBWHAv8vB0ClImOyAtQVMR1H9UJn-b3NIPcgVnK9gIXRFsY9tAom67hpAAineXgD5dTdKwJtjXZ6kpkHQGeS46ahTwrEQRu-52RMqC7vIuQSDtkdcj7wz-VwW41d93yJiJcPjr5XmxhVM3K6otLTnzljKe4kt5eWM2ByQ==&vjs=3&p=1&fvj=1	SMITHFIELD WY	Albin, WY 82050	\*\*If you are self-motivated, love a challenge, looking for a bright future and enjoy animals that make you smile...WE WANT YOU!\*\* Assists other Herd...
Office Clerk/Receptionist	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CvRbeehjSzcm44OxLzdCEMhmdNEKVApA65iF5IKTe6IbtH9NG_QhliY2HjCGzXNRDnHfcGpRlMEpMD2kmQYdGBKzV7NQAm1mOvTbrId-t78Jaz6VO4xMffRHtt7UaDMDTjLVWVj4NTRT2JTSh2TU8FjiGI2H8j0ZFLT9gYQ_3Oba04jqq_2ST51EJVqn-iKuITBAEHTVVWOuIXtY20V3qZV-mXJVQ70L5gz6PoxIlNUZkNdoVN1EV1mOdReqG7UL__53GbecCO8RNTdV87ilK0wQc9TD4VF0ybWDoxZ2fLfmVuiNAR7yp1RD1fu5zsTplCtYmXhJZza6V2pqL7b0yFnRj2-QksPqKibqiyL0FmoUR481otYei3oqqDmXMcp0g6A4OC2vTO1l4c95QHI1aYLriXEE3L-j-5uD1Uj7IYIR_b6hvscw14eKrT0eBBk20LEOusaizT399TEEok9tTeFxQfJsf6Ys9-YmVgzXygjgvjWqTzfRNWgFTQAuUY-B0=&vjs=3&p=2&fvj=1	U.S. Census Bureau	Wyoming, WY	Office Clerks transmit information or documents to customers, using computer, mail, or facsimile machine....
Water Facility Tech	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A4uTb0yRP_54YjsBEm67Ux_A8mjzOXBGzUWe2s65WAjHac327v1h8gh4sZuspH5yyAenKFY859XXdhqLeGYG1IwcwNo8Z420btKrQS72syFrS55HksP-E-UYcUnHzpSwRrVYMT32RLfFnwoE8TlHpyAKnPv6VBojXlpjiGXvGDfgq1N3n3PyD0U1EFkbqqKHVuKu-XdEuQUylajhpWMcotWGLTQLLDEjyOvtKDfZCNVKc6pZV1CmUMIEcByws2nwHF7FTYx_9AbhvKEppfkaAx4IDSIaGiZr_bEX66NUtaPxgGtSYhbdBl5-8yXDZedpsWJPHh8SgH-tK04tjLdxsQaDrPyeQUhIsHF1gUAPOnneZfrpjX-Jv26nzXg4vMR4eE7qsd-Lo0nEBRBtDEQNwHodtk2M9jHYECtx9SoQ5Mk153Lad37stXS6XKf5yFoWcHDX_bATDh_tEXLH-KmfI4jsXrpBfW0iOrLJV9ZfFQS054ni8Sxk6R&vjs=3&p=3&fvj=1	Freestone Midstream	Wright, WY	Record, maintain and relay data to management in an accurate and timely manner. Responsibilities and Duties:....
Nurse Practitioner / APRN	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BtsRzj98Wbt4fFd673g0skURu4SZ9n6ZJVdZfGKQVjvd0lN-ESrH9yRI_iLiAG5DPoom8_kWs_zWoU7-RVeeb2m_pVvsdP5cuDLm2AHrnw7bCwr887PexfDd8iTrRj1R00DAVN0UawNvzhZpxCEBxYvpvyiGeauzel5fcKd6Ixtn9m1Pl4rU9pkbXBQ1RbklmXjXoIqkVqPZTM8a92AYN_zmJsh9a9DGyJV0zaBjsZYUXQd2ZuW5Wry7soSNNwawzuddW5QiAKumh4ComtXWD4jlJCTKKyM59gjBiaErlVn_GEvytjvUS3c4W3EFo5WY5vpO5MqkVxzFoLeXVyGQCupPdmS9Hzu_Gdd8FSnklmnl7zcZoszX9Uj06z1QfFJH3zjjqIzabbJUUfxUsu7DDNkCnRHoOMR_H5N4gwZRwAhvrRBEjkSsOy0km_e3xtg_Nt5pe5TRiggRY8MmTJWNWz-wHhaxctRmsWy17DFatt4FUHEjttiaL5&vjs=3&p=4&fvj=1	Pain Care Center	Casper, WY	Looking for superior interpersonal, excellent computer and , excellent organizational skills. Pain Care Centers is the largest comprehensive pain management...
Lead Teacher (Birth-5)	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C77GN0gRSjjUWi6NzxdMxmUh4xbDiwnmZ2zsJIZ32m4ggI1OVGK4ldBnx1GqGbZXcRoz71yZb9xl1vi0z6nhf98lvJ7oKGjoG7PzAcMCViZ6IrcccUIFJxqYS059lEo4XMhK_wj1rikSJs0harWflQaau4XEV0U7I53ds9zQf5WYp_eWA8DWiukR-fSMYBsNh-Qn3WbI__IuH5Im2Ol-Oo2Zn2qP3PxPczjdMux3S_P3WvcNUuwmVelPzmCMewPDBtQnk-wL4RU1z3GYtv20DUjae-MbQlyatSVGEBsNgk-x-Go8cxt98g1lnU7EklNE7km8lib6pBXL37MQOf753XLkwWzcOCYMPFQea96YC8yt0y8s0jqnLnB2scjK5yAsyfamFiQf2w21mMTpx2ngw5TsEW5ilRdYfCQtuCgAz5GReUYGfGHu__EZ8y1vJhSAUtIAIQuK4XKEymoh4ad1AMsHx01GIzGlNn8KdvF-6aodBPiA-3LKcbtQ_KlZnUex0=&vjs=3&p=5&fvj=1	Abundance Creative Arts	Laramie, WY	For more information about the position please submit a resume. Abundance is seeking a full time teacher....
Part-Time Clinical Secretary	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DkZ8rYv1FhApdZzQLKLurHdhd33JBbJadYplLTD0z1veTKKe3xxxyjFMSIEMU2xkTVYK5SyCLZgQCPcPWN5ObRoPb1eAFyqJOEdIUkMUFNazOSZhLM14RTQYjg5iNe24rIaSLVd2SuEnqZUegWgt8SaooDv77jEvMdYLBMqPB2AE0oFeXqULp3PgmlGc67EuICngtygxDLyA_eV73lf6hJG90dWztBYXir9UUyU46sxVhG1REzWD08F13ehfL7wNVo2kD5oAD37JMFUHkmE8aw-uIFRAGcZlMsclr5RiBPU__nbcHZ8CxkdfT8G0FjJ1b3Xhd8DRpMKm4RrQmHwc4lFTMI3oykeotQn6NBkRcsTcNfqpK-1ecvb2Z3K2anNxewlJ0PU3bylmEZMc7QGMCJrMomEpCiCArFNo9ChLCsR1LagKaLT_KVI9B3WKHmRakI-dHOKzC2zutaZNCKbbTAGPmxe89kGdht1u7yjoffc9bxcPiIF2cl-R0m2wZ4Zoc=&vjs=3&p=6&fvj=1	Northern Wyoming Mental Health Center	Sheridan, WY	Coordinate routine correspondence and communications, entering data and/or preparing correspondence, reports, etc., as directed....
Kindergarten Readiness UPSTART Program -WY	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AMhFqz_71x7P4dp4QHF0bpQIUKgiBTDzMBd6ANinIKJ02rT2Q_kVsTXRkgnvauWlJZTXc8IprgPcPa9JN9Qn0tFkvuj61PTFWSbJvzU4FItY2EUn9pNhap3Vrm_7APirpdmraG6O4lOX6G4iS2XCcx6sU7C_ouhCbGYbvvcG7pZcSCh6hYEqH0iyj2w1umKLDqXq7miwCHtnCEC7eyXORTu9oKgN_vUQa7Es5OxQ92tdwR07HHnOuUTQg0j6zUWj8-wiOEKUQWTHjTuifg4cAYmmNLEFL8YD6-drzwFIMlbNAP4V-lkR86P3LGi5RK-hH8R3FTz4Uf1gBq90u_1n2N0oq1qR8JjXYXSeYkd2VfUfGTgKkYrGlSNLKGZRgwtl6wppwKzoKbWkI6Z16f-kJTikkU9teh8V8cRGSpGu7sKy1fbehUjzhOoLVqy7AFJY37N95qaTBaeQR9SbZd4ReuDAREU-X-wNbGIVF2UfOLM_E39VgL4NHgu1CJfUAhZK4-2y6KF-dhKA==&vjs=3&p=7&fvj=1	Waterford Research Institute	Rawlins, WY	Equipment Needed*– Computer with Word and Excel and Internet connectivity and a cell phone. UPSTART children are asked to spend 15-20 minutes a day, 5 days a...
Statistical/Data Science Intern	https://www.indeed.com/rc/clk?jk=5baa36b09efee573&fccid=1365d66febf53e1b&vjs=3	WEST Inc	Laramie, WY 82070	Is looking for an statistical and data science interns with interest or experience in data husbandry, QA/QC, data programming, analysis, visualization, or...
Software Tester	https://www.indeed.com/rc/clk?jk=b0306fcbe97f459c&fccid=3c371b712ace44cf&vjs=3	DISH Network	Cheyenne, WY 82001	3 or more years’ experience designing and executing test campaigns supporting both business features as well as performance and operational requirements for...
