job_title	post_url	company	location	summary
EXPERIENCED Cable line maint. tech	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEfWlDcbQ_2d6h38S7hXnJpxYF45KU0gaNae_kYgZ7QGNq3KCOMQuNOoumE5VS4Xp5oGfp7Tj7VJlj5SrFpKi3vOYGmL1SfPebvLOkNgsqkMe4Dbr5V3JPYYB5ocyNUibf5-TOaeD4sw-dHlbe-pC-lYt92b_E6aLvqUP6e8mmt5Jd1MjU1Zi3qLJ8yj__UKxC3_gsXK8chlgByzA4y99ZBBR_BAmipjt6-IlByV5lK2Vwm6ybWxWlMEjOnfzrSF_5vu9n-HiWZ-0SJm4Z3sRb-plCV1cRLAUiK7lHtRLTX8HwZ4VvaUE3BeXMeGregSpJDal3IimH4vtX4QxGFtyRISEQ6DlmfSPe5q6UMY7nxsWUbUqd-_IHHOe4VmfFMou5K-a3Pll_YUCMAshc4-IVCyMnHKe1-12k-ijIVaUD_Os1SvuLLpgE0iTxBmj-gyYDItZXeU-4z4CErUqmeNPTjkru4aPRiVLMU1DaVTN-sldhZXtMVBZVB9xnKify6-1P7CHzoXUb2A==&vjs=3&p=1&fvj=1	DEEP SOUTH COMMUNICATIONS LLC.	Mena, AR	Seeking a lineman with experience in aerial strand and fiber construction. Must be able to work from bucket, hooks, or ladders. Must be able to work both...
Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIjmZj9UN-z2dWU7pBnTWfT0K8OnoKCCGVXEASWKt4NcIVvaWLmos7k9EbvlWt_4ZMhSYrk8bzsBkKPoHmuD60kPM09ZvFinhVe-nXxYuLAge2yc89cj4ABqAYCwN3LodZ4Vn1NWZkAXTVuRm6PXUdpJ5Wydb6c1j46kGxrmXL9fZMpfPcz1KWm69hKnwOqOF6p8sDiEdfIxCf5Kn_v_FZWWgpOl6lY-qZRoq479gVp76cDO3ngQkS-BnO5Iw7rZbemUeJst2ALSiT7dJJSfrrGb1CZzUf7kFsd0_qJmjLcK3JMyh2u9GSAGoFf4GRxfGorE8hFxKsB3SNtZbLoY8HGbxIJ8fadhu8WB0xIlbp8h5lnw7eH2DfWXW05RGIb8_3_AiPmP9jxBWdH2NIrvAg20wJfhYNININwceYZvNlrCyW0arhZeU3OZFOMP6EOg5bcqZUUK1LrF4h_AR0vZkNRAQ5SNVokdLq9kS1tP2Uos1toQfSY5sc&vjs=3&p=2&fvj=1	Word Machinery, Inc	Fayetteville, AR 72704	Database administration and programming. Participate in technical meetings, answer questions, and troubleshoot day-to-day issues related to data requirements...
Information Technology Technician	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUy8BMbl3eNUQatw7a3bgkRED4rU9rFAEiUluuCeJwVqbsl707nViakYYZFPHrbanSvOip-dfdwGiS8L4m9r_0ms2Cj7weTxi6UShie6uVAJZeTdzGMbgoOY4CqI-kYq5nXiBiiP5mvTGURUGQf-iGiJQDG-Nidnyxm_6OknyI5NorqBGvGxcVnlK25GgmvMH0Ou_5PGkjSb7-EsRpKJpEcRC8-sUNthWui1hrnmgxnFmHEHzRSaAbjsXEQ6IRXZwa_wert2OD6-RCSK-jVuYMlREu4hv1mXBmhnwQV3NFd4WKCJoLfG-3sLeHxYXbs7PNEsXxzS0oBqXLggZn2MUn05qKr-gbkzbxdNT1WLV10BCfJThQE3ptomn4clJqeHRvrfqyGjwOQoqTyQA4PUhj5lIL5beRDZ7qUYnsaQZT7CeOa3ejFlWPa_baLDK-DJhBOZTa1qIX1pkq1pi36p9VeNSlixJ46HKf0pobKI9bYznRK8emJGnJR9YHGJyXt3SqmqFEvWBS0Q==&vjs=3&p=3&fvj=1	Southwest Arkansas Electric Cooperative Corp	Texarkana, AR 71854	Administer computer software training for employees. Periodically inventory all computer hard drives for software audit....
Systems Analyst	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B90Du1TAJAg0_WJT6OJnNlk8axiB_EF6l4p8hzmJkL4-U90EjvcLiERgx3jsbg5NxIU8zpuppq7c2wIKlCi9KC9eKzwlpXAZAAxLdP7uZbzXQZtcfhaJtraPfPkC6dxh3BapI-a9IUhj_-HaltMJLIDGNpRzFERe4pKgDx3VxMObulz66yeEFgCCVNmggFff8rHCF95SsimHBaST45Jk1eZQ6PjgjpYNL40c3at_wTooAVx6ny4ME2oakRoMWCVQozikuHf2fqhUTA9a3IBfWK1QDJtgtw9ocALaSN85cz252wNrnTGV0ktvBmONBOYDEZDPwC6dWWVHj7rUpwR7A_zq3x7ubYe01n3wR-mx2TdbJdTeh2R8OBRv82ia7JMMPGQcZEXOkl3EuA30U1I5Tr3zWoDIDMiI2K4tx2on5WOQjcPE7RJ7HHia1CG6SpdfNasFp1LleXoEd-VN8jMFV4AiVjHfrqz-bC3z8eAiMaLA==&vjs=3&p=4&fvj=1	Compsys Inc.	North Little Rock, AR 72113	Implement and maintain a variety of computer, server, and software systems for various clients. Advanced troubleshooting of various hardware and software...
Entry Level Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-OREm-Hd2JiccH-YSnwQ5JVtNT6wGm_QWkOKnWdpkBGWMKJ22N8mzumhBqBplc3ww_7Zt1QlndDKbjwopsUZqLvaRiBdzavKiFRtJzaQm5OqqrayCeLVTn_EEJPdU67REUIEHlPT3T9gl3XXbheGLrTdQ_lJxSrF9aq7STTrfTqICZv7z5kJSLzV6cyJO3NMTIn-hPT-rrYHEi1HaRKNxUbuiW937H_l7vfQB8BjOgZFD3nIFxtAXXPYfFC14E9WC8YsjTY2OxvZnnOMLYvf--tN7YHgKJKdPGuVRN1XqrWBMcsfv0OEA1QHjYe5gzuzJGtWWlGJMapktT01Q_Dph1J96DKmf1g76Hej5pYYZk9EF5_S23KJsoujAoXZnCXDGHjy0LIYwhAsbLXnj03u6vx3rSsMyny57SquIZAgcRWQPZc00JfeExwknORX_Lhqte-yesL2aXDMrh76mmyqM3R37Ga1JxWpsg==&vjs=3&p=5&fvj=0	Smoothstack Inc.	United States	Junior Software Engineer / Entry-Level Software Developer. Interest in web programming and Object-Oriented design....
HVAC Technician	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BeoZBnRlsmhh33DGcn95sQoPTcZMbKGlZocGkagA04bLzBH1HqRFd-Ecgv65h2Ld4rwocxO4jetWSTZwh0s1gbHpjyrtF5qrtN-winUquIryHP4cJID8oCTw63YzhrtjhwkDwOKHVeLdAzaezPZc2txP_B9-wlXpM6hOjSJFq5fMEtK_92QAb0zSRey3KOhlk64ti82UpVZsffBjCiA9SsxCt7tQZZAvSIXo97zjLy2U3-0uxceWPQAOQ1I0ijsjPYxm8I_WRVuMmSl1caRv1ri4dWBm2FtyX0yS5nDBbGFJQ83vz2vTN3CHP52riDy49K72BpfVmOVK721MtrR7SQt8YGrPrVuzIQZOMqo0uUZ6g8rNPx2S_lpqhjAh0jvvvBDh1DF_QusD5hPjSO7cgFqs8cYZVgdxg-xX6-rQShAnGoF0g155iBJQiwL2mUlsC47xRzeMhFQAG7vs2VFXAP_NkZFAK30_He56kab0GmKdSEBOaanTeD&vjs=3&p=6&fvj=1	SCPT/Local 155	El Dorado, AR	Multiple companies looking for hvac service techs and installers. For Local 155 in Little Rock*....
Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DCHeKintXTa-1j5Eng5uRfeja2acXXKKCClOiN-1FakuT-dHP9JwMj8Wk26027zbkNp01Ck3bX_D4Gpqhi4SUZL6Y57ahNZwsCzOCmHNiEOy2A5nK2QRDOgPO2kBBlOHRTGiMVsaFVk8Th8nLt_t1VxEEqS9RhxZgFOxT5TSaU5T1Gb7MS4R3eUpctuLeACLwH8cpCiAZpW5M1Y8eOkmuU0EApTekspRfH_ICd7ENIVghKeNPHeSL-EyEWzOyU9B_HELqWLD75csIyeeo7nMBo5VJzKTIJJ9uxzDrBkrQ3DE7tREKut6vu7vd_yCazVDQ8Mg-_MKFoPvrQihpGfG0amyZWIPZaBb5su5CTcWnU6W2uzKhTYpfRK5xv2fK8G7FSH-KDbu-UxLlvVDj2vT3kU_nk1aiOPCV_wtSzq-QhJWoD5HPjbLhEb3WG4P09EIxVy3wk_lyU4ZGZejFQS8bzoEFRZqqFF2Drb-00Mst2M70aGuOb54d6&vjs=3&p=7&fvj=1	America's Car-Mart	Bentonville, AR	This position utilizes complex computer operations (intermediate programming in 3rd and 4th generation languages, relational databases, and operating systems)...
Software Engineer Intern - Data (2019 Summer Internship)	https://www.indeed.com/rc/clk?jk=22e6529cc1c55fb8&fccid=a131b75d087cbeb0&vjs=3	First Orion	Little Rock, AR	Assist in the design, implement, and test software features First Orion data products. First Orion is seeking a talented Software Developer Intern to join our...
Information Technology Support Specialist	https://www.indeed.com/rc/clk?jk=07f6d4c6d39c5120&fccid=cc5f3a7d808cf0a9&vjs=3	United States District Court	Fort Smith, AR	Announcement Number: 19-USDC-02 Court: U.S. District Court Western District of Arkansas City, State: Fort Smith, AR Court Website: https://www.arwd.uscourts...
Computer Programmer	https://www.indeed.com/company/Rainey-Electronics/jobs/Computer-Programmer-84834c53fc03b35e?fccid=f4800d0caea1e5f5&vjs=3	Rainey Electronics, Inc.	Little Rock, AR 72210	And develop video software for large indoor/outdoor video screens. Rainey Electronics, Inc....
