job_title	post_url	company	location	summary
Software Application Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DvgCESUq26b773fymjm_Ey9-lju5ZEiCsuEKz8plImrA9NGb4_hL2aD33axuIyJ1i2dgdrGpQaNFdIQj64MXZj6lkiY24roxgl4uwY2zzPMHLkqlokIPJJETzSkkEegUmf22WsJSbznpV_qX9pS6RL9NviOGKmwtF-NoYcfdkRkFo6vQ6pgES8neWLDCy4cHKtUIm0UgZIaHTD1XL8x4rwE2O3m1oEJYOispHd_8Wqta3XhSBLz9S_QrvfE6FE2q66HA6Jlyykj1oBOG2eEfS7AZjN7vW9x-LZ0NgugoDgSgbF-h2voOSbm68HX-xRexI26WJyC13iC-o-kf-amdX0hyp_dRrHXWMxgl0RBuiOYGbXEv5qdwSumq0Q4ipjXZs6uKKdAts6lzZjj2eA8Aou0nJQuLkGbMIDliAkp5EAmnTmX2CavUgpMfNQL5DLDyMwiyid4SwXW2k4jSk1ffWspPpDP3nKN-PEQOxbJ3RoKY_hLzz971okMMTiQOZY3Oe4_zSpZmVkqQ==&vjs=3&p=1&fvj=1	Ulrich Medical Concepts/CorrecTek,Inc.	Paducah, KY 42001	Bachelor's degree in computer science, computer programming, information technology, or a related field. Effectively participate in all stages of software...
Jr. Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMiXqla7c9ha0S33xUNnHUiBDEH0rcgNPSlmArwZ4cuhx2c-JnJU9AQEqeKi-Uf4H6XGhXZNcg_-4rmZVIi7tYXOVGnUlaAaVe7bblGT-2TfdFENA2n5YRNaH5lNfB_e-INBpPp8rQLOxgjK7P8WVO1QF6kMPkVJfcBTTycEaQRtSecLU3GnJBhK3zN-OZBwczuALTX19XEx-xeNDtcc7p-isdoS00MfH-VVGh-C9QxKEAAh-XQhEuCGtXrtTtBuvzJHkzj5PLFXIhjDMYchHqOVrroewKqQGPIi8QlQ5_n-yTJdmr6lJfFWZJVQNzRYdf7_55wTkNq_AlAG_ShFsyq7YEXUcipniAvIAjwdgDbWQfVLj1r-QygRVrRAkqdazyDs-cx_ZQH5uqsJZOg5SDk47RBWVrSOnEophXncW9eEUtBb5W6WxOGHQ8VZ-aNN7JqYjYX_WsuPndlHLmvpUgDJajui0hHRlOtZnTNPE4vS-qPW_zEVut0s7LlUdCNyU=&vjs=3&p=2&fvj=1	Federal Resources Supply Company	Lexington, KY	Utilizing a Software Development Life Cycle, the Software developer will work with technical and non-technical associates in defining business and technical...
Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BenFsJeCBkLnydvl7QnBZgHl_3omkWpkj_1-8KQ8xj279EuBSKRepoROvEbjZr052Q4OJXrdkGYF47lgjctrMZTiLaDbhZJTvQVY8e85tUdB5u_dLEePIA8ePcK8FkMtoGiVte-RGXGCuLi3-zDPF0HIlaWsVPxVGwnbHpMXUoyEmusTXGZ8v1kGKwOY9ZTgn_ZpURAqLXK8mgHcF0xn8Sdt9YOFvA4zjKDi_S8CBE6gakr-J95kZo6emPHBwP1Lt7_j2c727cIP2XnM8SQeue36Kedl7BFW9i3XvYdMvoQlwvvKGcRlJYns4qfQidOL7JavjgNMIkc9_vdTYPOWCiNGb9WnWdAcwCm5qdg4BpSMsJNiDcy6lkBJJES1z6ki6hwuPgqwLUx8UFxEXkHLnGxxUdE1aeFUsAQCNfrYY_NAgSIPlnWeMvaNg9AiYlz7-k2o6NyqBYZyT3TRdfFRqAMSSW5vY8lMYyTn9R-qu95JPqMNsEDqPi&vjs=3&p=3&fvj=1	CABEM Technologies	Lexington, KY 40509	Software Design and Development Life-cycle knowledge. Bachelors Degree in Computer Science or related discipline....
IT Programmer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ByKgfaUt2a0DAGdlaW_nu5zFiV6Iaxo2LDPRVURWTL-lObsVTCDKWtWv8rsPn-QdRIpV1hLvAzC7_AciexZcdxjx54_aW2-Ivw2S3DYShwwSAY9ylc4sneunb5Ebp4RtlK_JUulu6ikJlAg-4WF_hPAF57cvRozarTVNOVIsui3sWZ0H9fbdx8esWq4xdZG2-QGVjJb13es_EI0H54ozZFNMxbGpAzDkYMdezEsz8f4vzzdgtaNAspUIfbkMcWkfqS-tAwb5dmXEiJty5eI06WM4Fb46AunqWrXEF7-csKOCuyPws2_L6mDyZWLLkOwt-9SHvIVdJbPzGYCRHneKzCs8zVBYgCo6mjGxyDrat3cMfm-anpK5jdWWAkWj1zPIjD6rPZedOrPWUOqooTAlH7XKRNtLeA1ZxpZHe1rIRg47Gjq47Qyk0-jXEDC6EuD8MwXgdBbzxRfPiNnUoV8R4ct9XhgP8sUsOBz5F6cdeAeePDDU_5ldoy&vjs=3&p=4&fvj=1	Tarter Farm and Ranch Equipment	Dunnville, KY	 Working knowledge of LAN applications, software and hardware. Provides recommendations for updates to software or programs as needed....
Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aw6UZE71KxE3Mb0NtD_5osba_E5btjOysO6aAFC3aCaFm88XihNYToryTw99Y03WEgHczsjftmJBlwdoT5Np5BlKhoqR-tquTuD1nWwnyRw5F0iiZwekmA2-Zyd8n_iGHBcnAmaEK_dNehGThYXMur4QbrLEdp3SWgUNlkdSSBrfH3kQgPTjuho8wC_5OHis6D09C9k_8mjER7TDhkqtrZJJ_VMUGlJW3MwJ3YHv3wDfuZGOJ0uDQQZOc4bOdIhU6VMD9cd5FXS_vy_unrv4SE-Rrp85G_pAKIcGeHrHly3ydne7UDmCC6bqrzSFWiW6Q3BUqIfprRNOrQ4zAd5iuWte3dYaGu9rInDOYyon-YVSqymq3TUOLCTf0lkM7k-K9LoTzsUZqUFnGawXizM3VhawN3gYZrEgSVdv5zXP4DTMQ9b38J_Md0Lz7V0NbpvVwcOL-IbLl7WU9iZFij-_MQeYUfk5yiWJyLXRa8nqPdIEOVuGlw3T0V&vjs=3&p=5&fvj=1	The Jockey Club Technology Services	Lexington, KY	A strong understanding of complex computer science and software engineering principles. Software Engineer Description*....
C# .Net Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2MMxdYz7bcXGkMsBegKIvXSzlTpJJL68tHyY4-JFnzWWLo-W6XJjgFgm6pgNM145y59sxHBDQS7is5F4OA1cI2igQ2w78i5Ey6iuOvhhzltjs-pDyhBIIBvMpwO4DFZ3m1_mWHV_ZwuSOQ-owCvQ837Jf3lxnLNeR-Q8FRMGJNCuOX4svUn7R3KaDR1TRajnGFW7Hh5Vj4KX0Hrlf5sMSB4AzQ4DMlzDbmeEgnS21tbH_XFENHOwk8Mjqzs8E3e0FWFdfQ4stX_knEQPwt3qfQy7uTcWUB7Ye-QqpchdI8As2GaUknohe80moWWanzOEGpp6p22yht2_mlU8nHsMN8IufvDphG10Jcj4KOk4CsF9VxTVkYZTYpxwxgN3Yr6X02tsr8GCri3ZQgxoshJZYVbSEgsKknnkS85tGmZ3sQ8TooEKXna1IOJDfy6BNf6UIsYqz8whQMRQQjgU94yAyWthO010U8p_r5D500n9lZO_fGQ9iAkzh&vjs=3&p=6&fvj=1	Cambridge Technology Inc.	Louisville, KY 40223	Good Knowledge Of Object-Oriented Programming And RESTful Web-Services. Position - .Net Developer....
IT Tech I	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AT6kUKq8KufMXj6OCEVFpF5Vcc7FAvlgx1GVOdc6LIw_0KbCy8Ikro0bA87iJwosjH2VODZfZ5uGwhueJudfBKZWFyI8gxflrKDtqHVHeQv0ass25S8zwRl72ldYAKCAm1YnpFdDnr4idSeiiBsg37b0Qy6E_QlXpM9PEJf8J73j8TgQ8C8KER4_RraGf83aq0uzeYBNACU-ME3X_7XTe4MLnskDPOyTNQHXSF5iAqMxMstK_snyL_vYXp5FBTVS3Z290qV6V22Cltr90muxMm5KUt1Z82VjCJFDxcE81pcG_V0nTH03P6JF0QQBHJ-0LWxcg3un6Ma1D4kvmaZRb2wpV8SLKMjBj7ZHBV6XvKeVM148euFKq2_JYyZzDpBSFN1Bian-77qiDnynxCS6qD8sgst7hRhA-53UuGoVyInK0sqfLvQqGam1hzZ0MPL4UkLtbGI4Vu52BJZY4IGXAWpmiUxmKLU3bYwWwdlRDvPA==&vjs=3&p=7&fvj=1	Framebridge	Richmond, KY 40475	Provide orientation and guidance to users on how to operate new software and computer equipment. Check computer hardware (HDD, mouses, keyboards etc.)....
Variable Data Software Engineer	https://www.indeed.com/rc/clk?jk=7c4a1b3a6bc3a227&fccid=faf3aa38a02a86cf&vjs=3	Strategic Marketing Services	Louisville, KY	Work with graphic design, database, and variable data composition software to produce templated variable data documents. Variable Data Printing....
Software Developer	https://www.indeed.com/rc/clk?jk=241c1d754cc47144&fccid=02ab41a8726385cd&vjs=3	Bastian Solutions	Louisville, KY 40223	Computer Science, Computer Engineering, Software Engineering, IT, MIS, CIS or related field. Developing professional mobile software that indicates management...
Software Engineer	https://www.indeed.com/company/NFuzionIT/jobs/Software-Engineer-92dd85837ea8a25e?fccid=894c624bde7e2966&vjs=3	NFuzionIT	Louisville, KY	Bachelor's degree in Computer Science, Information Technology, Electrical Engineering or other related field or equivalent work experience....
