job_title	post_url	company	location	summary
Information Technology Technician	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BLb3qvNS6im2gztS3jsLRe1-vpDgAQQKbiFjMDKKpc1IbP926IdhwHqqnhOB1ZaPUSqcYzfFRDGSoPZPWc-mR-Zryh74Gb-UiqKA5WP-8-QQXd2qg33oGsGgBjDRwjFJGMmnaiEjhPot0lPgA6yD97y993LA9xJ9rOQOsno4Hc9wI_FrAA3WfAKsMzAneWrO7iK8VCqd9nqtKNkwHEvlb6STEGaEyyz6L3zS40Ol8zdPbAsJH2r1c_9SqdinzDQjhCKJBFUubTkMtSih99VHo2lR5ut8ewUTvQ0tLv8wL2QExH8t7X-8uZxU67KQPhv3gpsp540udpyv15ET1Pl5RojXQwQcUxtq8Z9zNR0mAdsC_VvQq0_IXEjT4ONlG3gognPBLFbRCjx8ARbtug4kmmTgrmiAavNVoBOd03iT4Zg2cginTigVy5aGgN2KXU_o8K5T8zxEfKmDddratUzPq0YCTjRDVr-bwzrSMqASZuLiG2S1ig3lx9VwTSRNLuy4-_95rAqyagHA==&vjs=3&p=1&fvj=1	VCOM - Virginia Campus	Blacksburg, VA 24060	Experience with computer hardware demonstrating an ability to diagnose and repair computer hardware. Advanced computer proficiency in Windows environments....
Director of Information Systems	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BtTJ_g8aOfnufwFRvdYeiUY9y0DthUi8D4FHvPa6p-zQgT24j19MwaYpILuVMaq01Xew0IGd8o7o1nn9FexdQ2hZ_J3oVVySNivoS-fV2DDWCC4sapxloJmjQymCeKopnZ_Q7T-eBzC9tvGy3AqsoJic0gX6ZlegESUxdvHBgvMAEUs456Kpv5zHxSmiT2GEagHPMXZj_5tKZdNOMQJu68ksvW6SrOraTiICumXAPiWFnKnx-wVaXiEmWjftMvAL-msPU_41SoJuccV-WtWhFUm10Rjo-zUEeTqQrPaYdENRoxRMHUldR5p_CzsEXehYmJ_EibnrEPiBKf5ENgZH90zeiLG9jtF_blrxuy3r3JYXK2CBu7LCrwYC4CnC9j-BcjKvvY8VBMinuQqWQ1uCUQhhc5lSdH8eHQxCNQalivmR9xSgkOw4q0RX5zLBJMddMxGrphdnFeUyhlJZN4Wec73lCxh07j5Pk9-WWaMde8SB4zkiEEDvN8xkTETvw9fcxMO4iYcyPCVkRCVjKJUc8zFnL8-Bwv9vf-w5u_4tJhlmSaoc7zIU3JNzN1RAVMGBIsCgS1QDHcvD-MCIP4zkKlKBgxdS1_ciN8srKvlu1YWw83d4QrkTsOk0RYLJqmfd5pgvN2ypSrqd1VLPs0OOCrmL7CJbARp3J4Etkz660v1m0IJZszcLd3&vjs=3&p=2&fvj=0	Friendship Retirement Community	Roanoke, VA	Experience with Health Care Information Technology is preferred. Friendship Retirement Community is looking for a Director of Information Systems to join our...
Entry Level Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-OREm-Hd2JiccH-YSnwQ5JVtNT6wGm_QWkOKnWdpkBGWMKJ22N8mzumhBqBplc3ww_7Zt1QlndDKbjwopsUZqLvaRiBdzavKiFRtJzaQm5OqRRjZ8tk4jZ59pD__M0EnsSVt3fee61LNp2_ibhrKtQT6ytu5UH8JivI9izUYi9jLGRv7LGfjW5zaOPGYmOFI6Kz3rKNfJrq5j2QzBIxMVqbddOtmETyeWbNcJj49z2aWjvulJhC12DASlbdf376-_3DK4I5_etxw-tONMRbAPg_EQq0WBKpCkQa_MT-UkZrDiHdps6YtY5Fy7kFmSt48rU48cc9AnmR2JH53IoJCtSFyYgxdxSHHfKnGQEopTsWsKtHBJqNgxIMSAyUjxH0C-TBK0hrD1YXB5DsZQFXr0ME6O_qilLzTVzDtg4xh73C6gR3uaeoJ8XAYyge53m_LBJc-zIzlkAhle5H3rE7e0CnoftCn2UkVzg==&vjs=3&p=3&fvj=0	Smoothstack Inc.	United States	Junior Software Engineer / Entry-Level Software Developer. Interest in web programming and Object-Oriented design....
ERP Programmer/Analyst	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DuEVqhu0eVfpjhATy6X8OSfc8iVl-_2tUIXLOZ4xrbNAZkguYhNZ-uNm3HEdyp_mcPz4eJMUK2FbP4aPWnjbq5-51bChJjcNzf6rXhdVgFG6AkSIHO6N55pm-AfGJSiZOt-QkATPuG1Oxk-z5rNCAgtcdG3n3tCEk_XPZ4NOBM47el7FxH5ynOs4KmmCfMLmp01PmXgZsLL02Ild87_HpqL9FT78L98Pk7T0AlQwA4Q8rYqsLTmuDQmBYyewkYco7w2TsgJLuVAyYKtmkcqXmcghg_QOSx8QItZAb2PYtDJgQpS3cxLNysD0nwqhFgMoa_kAXaYl25s4Kx8cJukIRGw2NF-6nYvs3GKBb6Z9eLh-tH5Wo0yB39irG0Obs5qFJQS7SmJ7ZmaFMvRA6A9y2jnOGJE6oZLmj2XToeLHKgybM0bMZPAtsmfkf4LqmRp57nnPGo6T2go0qK46E8SKIvHRs7fAPirMGDCJveaoqOwrJXfn-wYmVd&vjs=3&p=4&fvj=1	Town of Culpeper	Culpeper, VA 22701	Supplemented by three to five years of experience that includes project management, computer programming, software configuration, computer application...
Jr. Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BjsSjOIlTv9-uzbJQyXNDTn75o4e_K33aliYqolQE8Ejp68m8cf7p6sUZ-NHTG_m6KydBh_O9_IPL_bBx8dGMARHIGcf5yrtE5bIoZ6NC-fNntrwxlilDle3u-CfSWwGfyMnmyeF9SOCyroTEQXX0WhNISHzvapm-SllSRe8VzGo5Q_dLeXzj4T_DL2fUf4LZzZIk3VRGsKyS7Axxe_MOrRBGN8idWTUVmWpPeOp6zip1t94eq2qezeD6rcXjzax2z3jezJ5cAwxN97qFoE-NgAq2K1p09UGnlzUCWAzg_x-L2jcRNV2hZkmh5UXU_seLMkT2JVNgGLpo_fBpDAueTOoOpfUN6L8lEmPg-C0v3oH3ftQX2ANid3LTWLtJpsEUWDyyfU65tkodLU5NOKPZMwRq2TKJkdwdgJIe-TJWp2BnYEbAzdxggRf_fClVpRMqkTf2r6zGYjbz6mLaNLR0NgcnXvL2HpbTPhnOdG2AgYdX8BtsvNTFV&vjs=3&p=5&fvj=1	The Acquisition Logistics Company	Fort Eustis, VA 23604	Develops software solutions by studying information needs; Following the software development lifecycle. Bachelor Degree in relevant computer field....
Data Analyst	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUuFwcvNvZ5AV7zvvGoGodURh1XeXGyJ0YLQm6j6-qra9wwQmDif6msavA8Nm4l3MsqzrfbRBZ5XuXfUE_-MI0PlC9mZhz-qcKOmszFVjzZKqtDEpme0Z5iC7DJxAXAJryc7ne1f0xVi4L5bQLhHwc7juJId8ktTm8crGWtLpxqnaDEhIohnpUWRZla3E4mRTpj3TqJQ-Np9p8FgcOm1A6B_USWD13YiDHv3R1WwPR9i79LU5EaDWr5xD_5ilAjw6Gyo0yI-lwM0OsFT-pB1hLKF3_xdbbzBN_iLASDXD2bnNJHp9zVKr6yDF96jLSOlFhvXKed79V-rAiKwNqe9IIW0mrCtX8JZqTP4Nk5uF3t54KDNP7VM5pqjz6nvX03LVv5WK0Vxf4hnEHdZZogJv1ah_erHHxvs-bbPndWnHyfZzVoRhQhLTm9nrxyRMZFBkC6guuJQZIw2-D0T1lZGAWlQjaTwMzmAx3idK04dEkHw==&vjs=3&p=6&fvj=1	Boyd Caton Group, Inc.	Charlottesville, VA	The primary role is to communicate results of automated data validation for financial, service, asset, and safety data to public transit industry contacts....
Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AspkseL8WdPmh4zqSLNu536q7tDvG6vF8a-5DHv762_04TS7_wvpa-04dNt9AWhrCLXCQRlL0xDHEunFv6REGr6co5RiHau4pSy_9F9JYo6t9h2K_oTg5et4XOlzMml2VzMjJYCPJGEvx2FSpK5e9hB_G_Vsbr288_qH1PZUB1GTtMl9_SqY7ZWFs364X-wizhFnNVQqob3mBlx-CT8mv_OMKiyZaPTrlnRmeu5HauYBAR-xKLtVQ1s5QsoCw-YlFbsCIA0k-ECRYXDneK4162YhJdT3T3OoNCe6EsLk9Tt8LxlAIj5JmgrE9kNZ0Cy5MXRPgGGGZhYizATvKadOztlIG3oT5moTbFTKcCPHHJxG8SF7EkJTY5dChLdDn6I8jdzQwv9hDoe2xnnvrl_PxPzk8F1rRp6eJqmRWr-cFmiepf6v8F2CZGAODGPCTI8L9sPMznolb60lOm215KEtCRiMEnzbfNjPT9t_PtMZBIxh1OkynQHr3J&vjs=3&p=7&fvj=1	PRA Group, Inc.	Richmond, VA	Master’s Degree in Computer Science, Engineering or Information Technology preferred. Support of on-going and future software projects....
Software Engineering Intern - Summer 2019	https://www.indeed.com/rc/clk?jk=8fd9f2b3a99659ef&fccid=c9ad7ce122ee96b8&vjs=3	Aclara	Herndon, VA	Interns will work closely with our software development team to deliver strategic software initiatives for our customers....
Computer Programmer	https://www.indeed.com/rc/clk?jk=91cffd6df22c6648&fccid=5f97070037022901&vjs=3	Lusso Tech	Reston, VA	Write computer programs to store, locate, & retrieve specific documents, data, & information. Create, modify, & test the code, forms, & script that allow...
Software Developer	https://www.indeed.com/rc/clk?jk=75ae3d8d7328d248&fccid=ac68c451df069a12&vjs=3	Critical Impact Software	Tysons, VA	Excellent object-oriented programming skills. Bachelor’s Degree in Computer Science or equivalent experience required....
