job_title	post_url	company	location	summary
Telecom Tech I&R	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ByLru7GthcRdZhnigYZZBYWRjh3-DZI5NtOTlLcamexhWU-CY41fMlUGY93URuxkD9NjFvyAuKkWuBh3FW9uSmWzp5jHw4plaBgimO6mNxORRR0vqeZGzLdtUtciKsb6mMU5rGU54BY8rAXymhNoz-CnThvf-i0tkq6Rrc4x1szOTzZW7Vfhr2vh3tqVRHYZuJ4FjiXAeLjqTm14I9RF8c1DikvfhqnOGu-qjahq91ISnH6OXdP-hX-J6p05La2jKQDv8Z9CzbtSveygh1pFhb_zlAHJ52cYaLD3SPZG-i4yysgiFl7BstqssBdrNbLz6s-KJUA-Dz_IyX3xsF1PLrlpcv_8AtfIw69aAWMLNTSbzoghl85a62BglXw5yCOmTZpRROKr-5TxRWoFDl_J1dWToxQN63x67n6wiE8XGGppDTBtKDTMH7X3oUKRsW5T_87rxeDvfCM42tPvStZ7Cqd2N9b349XwcHM0VHjypcPrq_ftovHoXo&vjs=3&p=1&fvj=1	Pend Oreille Telephone Company	Cusick, WA 99119	Install, maintain, repair Voice, Data & Wireless systems. Telecom Technician I&R FT Permanent....
SSAS, CUBE, DAX, Azure &Tabular Position	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMfhoofdijX29RlD-ZT5IWlLzglKzsXWIgcg0lceaR5XuGcpz6qgxlOxihRQYgIyt3kiWlggTYIXXZpfmj8RqIVraSsZ1kNJVA-GX2O5daoyqj5FhI6FwTC1HNR5tOGL53HMPbN-LZznrBcAhAZgZFvhBGCvdPD2aHML7jcoXsXyUg8gjR2rZOyotrToTEP-7UsRznX-3JYcwTiu10Kw1210NBifiSDq53-DyY66bOmXOGUWNVcsMXUwNR1YgzOoGJqkCCRFXe4Q-qfWH62cjACoXE85pmeBEU3c6oIGvxe_FSpm76CyJltMrhUMqhYF1uFx_Ad_di0qbYELITrlph5dBNAszhMlM7FjDyNgMfxyEC-vZXX3zVq2f0ixSKM3GqDVedXmPYJzEX7-4pvz2um5sbeVAAVBU4VfrxowpmDE9VBhhp5aRbG6vwP3A0P1xgfGluhnR3-voZ_Cf2Vl2SibtOLifDHVRsM1DotgSuBeP1GQfytNy9CqxYU6pS7uVCFKZtzLP2Iw==&vjs=3&p=2&fvj=1	Quadrant Resource LLC	Bellevue, WA	It must describe the data sources, data model structure, number of source records, model size, and performance tuning options....
Software Developer - C#	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt9NTAJmjNG3tLdnKe3VUIvJs2Kfa978M6RFehYVrnq8HQu1N_WyKx6FCB5qDR5HZnUpUQO71cPt4m70i3BQraNScM89fbSNaIP30aeZjg-cPof-dS7B7O7a7Q11_HYDyOKAgNc8SCmh6lk72uHeOVTTBJcdwKOKuOUslpt-NeJ6p67r6eep3HJKyQJVUFNo42xytg3hU9xjkBxq_CPfDutc6_1V798C5xd6IqQST_eWdX631y2HAGws9dE8oLrqUVkpPdF3Ub2YnwN52Bft7QpV2fOUBS8Wcg38Xz23oiQQo0twP34efflbuejvx_c63wI3NpC9gKrL4rXdZbMr8vOQl3CrHW4g1GKCEAXbMoSonYLYyKiI2v73czpOmRRW676fPllxTVeHrJ9Ihr3L7rVz5KqGs6b6acAyOB4aPsA6jOOU5jhl8alTTuhy0BVc0P7B6v7gB9-xqPh5CHbhauDEe44eW9s-Og_NTc3VdKEqVWKVDDigjUsOb0ExHXwtSs-1PyRaXsesmRx8SCPRvYXozepUdljvxvGHUh9M8I8V_pw_nOtN6NCfINN73nbqNnvIBXBj93ZbM_eUFlhGdfgcR9IzeH8Y7Jdvl1QLdAbN1UkeUZUyb2Wq10Rtaw0N2k3Zs3gevhpnW96ZSbnBK1Bdx1uaN6u11AXiBOOqDpCGqf0s83JseDUdLIPCOV94zxHf-jeMDGi7ruuJGYgyVg0ot0hnpH-A6w5BQ41APS2jrDS-zEbugdYLWDWqRSeY0D-sPnQfMTk30dCayvvshGq6a8L14sSRA2qhxW7zkM5nheLdRCoMYcCk=&vjs=3&p=3&fvj=0	Liberty Mutual Insurance	Seattle, WA 98101 (Downtown area)	Understanding of shared software concepts. Proficient in two or more programming languages and tools; Resolves customer complaints with software and responds to...
Full Stack SDE (Software Developer) 3	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfwBVoFzLnKQAQGgUEFmSd32Ek1ls6cvMww8bVptQG8rbJ61rIIo5-vk7TVtFCo6N8TGA44glIq4nV6Uk0tEXsQg1g3ajso8jbvKp8Z55WuWbJSA9A1Z-JfG5UdmDQ0x_H_px0V5cYb5AZ-n37qyR3bwoVzq-_PKrS3EIo0yf3354_NLMqi5kvuYpKkVLA5-_I3IWQ_HaVHLxmpIdGWKz_aR9at8BuE8LFk7h5rkeIkxdQF2-ilaHcRsnpzyKPnOSMZ4FQewNrF-O2swhIO4k0mm_fIWHxTWUkGWUT93yOeu4nDqhjaV2YpGUGqE5BeaHioA7qmn57QnBlKy4KMGvGvUpKDeDRWUenKvNuTe0pqNHDy4qmn53lx6J22wmMwJP73_Z4KTa5IIkXwEi9iutpM_AmopnKG7YGZmAvzCxMAZUaAGWWVT-QIcXleooqpdmKmTHxjcTZ9mgmyC2qhyEsXzyR7qM2GKb40u6zFNiQcl00GFY4DgCCjn2BHZ174aJBuFQYoXXxpQ==&vjs=3&p=4&fvj=1	Aptly Technology	Redmond, WA	Analyze telemetry data to identify bottlenecks and issues in the product and solve them. Microsoft Core commerce team is looking for a Software Development...
Entry Level Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_NMCRWe3Oq_S97jS10DTcZeFeTKw9wokoXGvR9yhuE8KCNeJ8aBAliWQIMUZqEDoQOj5pD0LKKqctLw8Xd8BBALJXTSwowUP4UcZTaXbBn09DP2g9ct5bweFkCxZa6GdP2CQS2YIbpjpCrxDC9LRbtFS2bwShsTVEriQPPRvm-TitNzcriHYb26kwxYk_dVUqzVOq1SNdUJahggh0GrmmpCMuItJFPl_BniGLxkiiPQHphlEYfmZDBZXQB34aZVegAO4BLaxTRDfMSDEKnVScwfrPhNGAbq_5w1M7FeLTq1PV_DIfahcQ8jVgpQ9WYToNNTMBo6nSzfulO040m_xixPRj0dgtsJVmhBBa6VnDjLSdB3zmuwgFoPVie-TMOrFG3N2_w0PMzt7azeZ75Xoya0gfzVRJn3rJzCDtpJAVNs8I3V7KgqU2jPgXkSirW3yI8NRTZZburOwiuvqAYREjcoq2quVs5GEU2ZivHIYSPJi23c79TbIOVxVhc_8bOHR8t2nTOGHCUg==&vjs=3&p=5&fvj=1	Opanga Networks	Seattle, WA 98104 (First Hill area)	You will work with a team of professional software engineers to deliver top-quality software to our end users....
Senior Software Engineer - SharePoint and Automation	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BI7GwvuQtior0-PTDjdFXco9JN29ESz8Ziwfw9Lc-b5lJ3rDN_5Q-jcUheDBjSOBMhz82N4n8N3YuUPYKLx5hv_MwTjZuMCbwsiBVym-WpBjNjQW9O287K9RXaTnBRp_nHXkxWz7NWqZDmwycXPQ6oA27RDSxQnIrRhBl-d4mH9-x-089o4gO6UKg_GL7L9vc37VUPV1Vv9lZNd6T-7bo8A4l53_0N1Zqe9CjYLrotlcNlqAB-J0BjwhBzR9J3G9xYuZdStlG0JYAOOqlFYkmn0-vZ-arPRLs3s2XWKVPi1XACyIY3M7vCVGF3Jofj3MMIrYsf-sOnaxOxxlLbs5Jqg1BmWpQtBU2QgvVS_3KT1EmzdMznojQYkPkhBNEoP9nvRTsDZKn1GqJ9m6LV0DmQRjJAbljTfGdBjQN-lpgFJ8yO-g1H6erIv6yi_bCLPSZgFT9dg2KSgqj0vfXlBBAXkT_Yp2fKw9LUUTKMHYSYyEaLUYI4WZ0tUPykdXy8tkizc9z44wI3Dkx1u1ZJ2_HKbK39rGstZdq4NB5vq3enfWrfyOXBSOPeGWi6IWvCHcG3n_UJPtgAC368C3C5qKy1&vjs=3&p=6&fvj=0	WSECU	Olympia, WA	Strong coding skills in object-oriented programming, C#, JavaScript, jQuery, HTML, CSS. The automation engineer should possess a high degree of knowledge on...
Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BuEdPik9PyaerD74m7JcU5DAxp3igM6C24DZTiVGsdMCt0PUxRukJsUhiDn-s9QUuvlGXCadt1ofKjB6QVRfEsX2PgUhe8kXnY2cfVWzDdd-NdQAUbihGKQFXGrQzsaYiyYCjN9xWuxq5Rt2_AALvttaXyiwp9cHuEFXueJYsOSkcNOrisfyylUHZMnE0ZHyTq3AJBfQmrDj2ekqskpzakiF6pbJJv1PjM1JUZWisvrkRCES-LUKeyX8bb50TudgsAJHXeFReJ_6jmBp1rpM5a9jJ-pFTbNOx5beUXmEdJhZOsEGhmveQWupI_jCj2cL3CkkpTmjIj3deBKsVTEAFj5naPgg7JOZN83yZY2r1zECzQ0UGOGIxvxPwwiCf9QmqVMBhjt4apnppLNFEX88Uyp-1Ru-bneT9pSCPAsr9oNHR4HB06vW6AgVNqpChKqPXFVMPlHNGpoRkliLwB9MZgNc-B1h-zw1YGsrecSQv7CnSeqGlLZWu1&vjs=3&p=7&fvj=1	Gensco	Tacoma, WA 98424	Completion of college program in information technology or related studies. High degree of honesty, ethics and integrity with prior work experience handling...
Intern - IT Software Engineer	https://www.indeed.com/rc/clk?jk=1a9290d587d417b6&fccid=316a3c39a575da92&vjs=3	Nintendo of America Inc.	Redmond, WA 98052	Understand Software development lifecycle. Working knowledge of a programming language like java or python. The worldwide pioneer in the creation of interactive...
Software Engineering Intern, BS, Fall 2019	https://www.indeed.com/rc/clk?jk=6d44f59d72184ec9&fccid=a5b4499d9e91a5c6&vjs=3	Google	Kirkland, WA 98033 (Highlands area)	Experience in Software Development and coding in a general purpose programming language. Web application development, Unix/Linux environments, mobile...
Artificial Intelligence Intern	https://www.indeed.com/rc/clk?jk=b33d617bee91ad1e&fccid=d8be85d73018fac8&vjs=3	Huawei	Bellevue, WA	Experience working with computer vision, or natural language processing, and the fusion of multi-modal information....
